3_lemme;freq;verbe
rayable;0.07;rayer
recasable;0.07;recaser
recevable;1.15;recevoir
rechargeable;0.02;recharger
recommandable;1.11;recommander
reconductible;0.08;reconduire
reconnaissable;5.23;reconnaitre
recouvrable;0.07;recouvrir
recyclable;0.15;recycler
redevable;4.57;redevoir
redoutable;29.79;redouter
regardable;0.84;regarder
regrettable;6.92;regretter
rejetable;0.07;rejeter
relevable;0.07;relever
remarquable;26.46;remarquer
remboursable;0.38;rembourser
remplaçable;0.62;remplacer
remédiable;0.01;remédier
renouvelable;0.16;renouveler
reproductible;0.07;reproduire
repérable;1.43;repérer
respectable;13.85;respecter
respirable;1.33;respirer
responsable;67.83;répondre
retirable;0.01;retirer
revendable;0.08;revendre
risible;4.49;rire
réalisable;1.31;réaliser
récoltable;0.01;récolter
récupérable;1.3;récupérer
récusable;0.14;récuser
réfutable;0.01;réfuter
réglable;0.75;régler
réparable;1.26;réparer
résiliable;0.08;résilier
résistible;0.01;résister
résoluble;0.03;résoudre
résorbable;0.01;résorber
rétractable;0.14;rétracter
réutilisable;0.03;réutiliser
réversible;0.75;réverser
révocable;0.43;révoquer
rééligible;0.03;réélire
saisissable;0.21;saisir
secourable;2.11;secourir
semblable;61.85;sembler
sensible;65.63;sentir
serviable;4.1;servir
situable;0.14;situer
skiable;0.01;skier
soignable;0.16;soigner
soluble;0.75;soudre
solvable;0.36;soudre
sortable;0.36;sortir
souhaitable;5.11;souhaiter
soupçonnable;0.07;soupçonner
soutenable;0.14;soutenir
sublimable;0.07;sublimer
submersible;0.18;submerger
successible;0.07;succéder
superposable;0.21;superposer
supportable;7.95;supporter
supposable;0.07;supposer
séparable;0.14;séparer
taillable;0.14;tailler
taxable;0.01;taxer
tenable;0.71;tenir
tolérable;1.95;tolérer
traduisible;0.15;traduire
traitable;0.19;traiter
transformable;0.15;transformer
transférable;0.02;transférer
transmissible;0.8;transmettre
transplantable;0.07;transplanter
transportable;1.13;transporter
transposable;0.14;transposer
traversable;0.15;traverser
trouvable;0.11;trouver
téléchargeable;0.01;télécharger
utilisable;3.31;utiliser
valable;19.5;valoir
variable;3.62;varier
vendable;0.18;vendre
viable;2.78;vivre
visible;39.58;voir
vivable;1.76;vivre
vénérable;8.91;vénérer
vérifiable;0.42;vérifier
échangeable;0.08;échanger
éducable;0.22;éduquer
égalable;0.01;égaler
éjectable;0.45;éjecter
éligible;0.32;élire
épousable;0.07;épouser
épouvantable;20.34;épouvanter
étirable;0.01;étirer
évaluable;0.07;évaluer
évitable;0.49;éviter
