;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abEsE;abEsat;;abEsEr;abEsa;abEs6rô;abEs6rE;abEs6re;;;abEs6ra;abEsjô;;abEsje;abEsE;abEsE;abEsE;abEse;abEsasjô;;abEsasje;;abEsas;;abEsô;abEse;abEs;abEsâ;;abEs6rE;abEs6rje;abEs6rE;abEs6rE;abEs6rE;abEsô;abEs;abEse;abEs;abEs;abEs;abEse;abEse;abEse;abEse;;abEs;abEsje;;;abEs
1;abandonner;abâdOnam;abâdOnE;abâdOnat;abâdOna;abâdOnEr;abâdOna;abâdOn6rô;abâdOn6rE;abâdOn6re;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;abâdOnje;abâdOnE;abâdOnE;abâdOnE;abâdOne;abâdOnasjô;abâdOnas;abâdOnasje;abâdOnas;abâdOnas;abâdOna;abâdOnô;abâdOne;abâdOn;abâdOnâ;abâdOn6rjô;abâdOn6rE;abâdOn6rje;abâdOn6rE;abâdOn6rE;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;abâdOnjô;abâdOn;abâdOnje;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;abazurdisE;;;abazurdir;;abazurdis;;;;;;;;;;;;;;;;;;;;;;abazurdi;abazurdi;abazurdi;;;;;abazurdis;
3;abattre;abatim;abati;abatit;abati;abatir;abati;abatrô;abatrE;abatre;abatra;abatrô;abatra;abatjô;abatE;abatje;abatE;abatE;abatE;abatr;;abatis;abatisje;abatis;abatis;abati;abatô;abate;aba;abatâ;abatriô;abatrE;abatrie;abatrE;abatrE;abatrE;abatô;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;;abat;abatje;abat;abat;abat
4;abdiquer;;abdikE;;;;abdika;;;;;;abdik6ra;;abdikE;;;abdikE;abdikE;abdike;;;;;;;;abdike;abdik;abdikâ;;abdik6rE;;;;abdik6rE;;abdik;abdike;;;abdik;;abdike;;abdike;;;;;;
5;aberrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abErâ;;;;;;;;;;;;;;;;;;;;;;
6;abhorrer;;;;;;;;;;;;;;abOrE;;;;abOrE;abOre;;;;;;;;;;abOrâ;;;;;;;;abOr;abOre;;;abOr;;abOre;abOre;abOre;;;;;;
7;abjurer;;abZyrE;;;;;;;;;;;;;;;;;abZyre;;;;;;;;abZyre;abZyr;abZyrâ;;;;;abZyr6rE;;abZyrô;abZyr;abZyre;;;abZyr;;;;abZyre;;;abZyrje;;abZyr;abZyr
8;abolir;;;;;;abOli;;;abOlire;abOlira;;abOlira;abOlisjô;abOlisE;;;abOlisE;abOlisE;abOlir;abOlisjô;;abOlisje;;;;abOlisô;abOlise;;abOlisâ;abOlirjô;abOlirE;;;abOlirE;abOlirE;abOlisô;abOli;;abOli;abOlis;abOli;abOli;abOli;abOli;abOli;;abOlis;;;;
9;abonder;;abôdE;;;;abôda;;;;abôd6ra;abôd6rô;;;abôdE;;;abôdE;abôdE;abôde;;;;;abôdas;;;abôde;;abôdâ;;;;;abôd6rE;;;abôd;;;abôd;abôd;;;;;;;;;;
10;abonner;;abOnE;;;abOnEr;;;;;abOn6ra;abOn6rô;;;;;;;;abOne;;;;;;abOna;;abOne;abOn;abOnâ;;;;;;;;abOn;abOne;;;abOn;abOne;abOne;abOne;abOne;;;;;;
11;aborder;abOrdam;abOrdE;abOrdat;;abOrdEr;abOrda;abOrd6rô;abOrd6rE;abOrd6re;;abOrd6rô;abOrd6ra;abOrdjô;abOrdE;abOrdje;abOrdE;abOrdE;abOrdE;abOrde;abOrdasjô;;abOrdasje;abOrdas;;abOrda;abOrdô;abOrde;abOrd;abOrdâ;abOrd6rjô;abOrd6rE;abOrd6rje;abOrd6rE;abOrd6rE;abOrd6rE;abOrdô;abOrd;abOrde;abOrd;abOrd;abOrd;abOrde;abOrde;abOrde;abOrde;abOrdjô;;abOrdje;;abOrd;
12;aboucher;;;;;;;;abuS6rE;;;;;;abuSE;;;abuSE;abuSE;abuSe;;;;;;;;;;abuSâ;;;;;;;;;;;;;;abuSe;abuSe;abuSe;;;;;;
13;abouler;;abulE;;;;;;;;;;;;;;;;;abule;;;;;;;;abule;abul;;;;;;;;;;;abul;;abul;;;;;;abul;;;;
14;abouter;;;;;;;;;;;;;;;;;;abutE;;;;;;;;abutô;;;;;;;;;;;;;;;;;;;;;;;;;
15;aboutir;abutim;abuti;abutit;;abutir;abuti;abutirô;abutirE;abutire;abutira;abutirô;abutira;abutisjô;;abutisje;;abutisE;abutisE;abutir;abutisjô;abutis;abutisje;abutis;abutis;abuti;abutisô;abutise;;abutisâ;abutirjô;abutirE;;;abutirE;abutirE;;abuti;abutise;abuti;abutis;abuti;;;;abuti;;abutis;abutisje;abutis;;abutis
16;aboyer;abwajam;;abwajat;abwaja;abwajEr;abwaja;;;;;abwarô;abwara;;;;;abwajE;abwajE;abwaje;;abwajas;abwajasje;;abwajas;;abwajô;abwaje;abwa;abwajâ;;abwarE;abwarje;abwarE;abwarE;abwarE;abwajô;abwa;;abwa;abwa;abwa;;;;;abwajô;abwa;;abwa;;
17;abraser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abraze;;;;;;
18;abreuver;;abr6vE;;;abr6vEr;abr6va;;;;;;abr6v6ra;;;;;abr6vE;abr6vE;abr6ve;;;;;;;abr6vô;abr6ve;abr9v;abr6vâ;;;;;abr6v6rE;;;abr9v;abr6ve;;abr9v;abr9v;abr6ve;abr6ve;abr6ve;abr6ve;;;;;;
19;abricoter;;;;;;;;;;;;;;;;;;;;;;;;;;;abrikOte;;;;;;;;;;;;;;;;;;;;;;;;
20;abriter;abritam;abritE;abritat;abrita;abritEr;abrita;abrit6rô;abrit6rE;abrit6re;;abrit6rô;abrit6ra;abritjô;abritE;abritje;;abritE;abritE;abrite;abritasjô;abritas;;;;;abritô;abrite;abrit;abritâ;;;;;abrit6rE;abrit6rE;abritô;abrit;abrite;abrit;abrit;abrit;abrite;abrite;abrite;abrite;abritjô;;abritje;;abrit;
21;abroger;;;;;;;;;;;abrOZ6rô;;;;;;;;abrOZe;;;;;;;;;;;;;;;;;;;;;abrOZ;;abrOZe;abrOZe;abrOZe;abrOZe;;;abrOZje;;;
22;abrutir;abrytim;;abrytit;;;abryti;;;;;;abrytira;abrytisjô;abrytisE;;;abrytisE;abrytisE;abrytir;;;abrytisje;abrytis;;abryti;abrytisô;;abryti;abrytisâ;;;;;abrytirE;;;abryti;;abryti;abrytis;abryti;abryti;abryti;abryti;abryti;;;;;;
23;abréger;;abrEZE;;;;abrEZa;;abrEZ6rE;;;abrEZ6rô;abrEZ6ra;;;;;abrEZE;abrEZE;abrEZe;;;;abrEZas;;abrEZa;abrEZô;abrEZe;abrEZ;abrEZâ;;;;abrEZ6rE;;abrEZ6rE;abrEZô;abrEZ;;abrEZ;abrEZ;abrEZ;;abrEZe;;abrEZe;;;;;;
24;absenter;;absâtE;absâtat;;absâtEr;absâta;absât6rô;absât6rE;absât6re;;;absât6ra;;absâtE;;absâtE;absâtE;absâtE;absâte;;absâtas;;;absâtas;;;absâte;;absâtâ;;absât6rE;;;;absât6rE;;absât;;absât;;absât;;absâte;absâte;absâte;absâtjô;absât;;;;absât
25;absorber;absOrbam;absOrbE;absOrbat;;absOrbEr;absOrba;absOrb6rô;absOrb6rE;absOrb6re;;;absOrb6ra;absOrbjô;absOrbE;absOrbje;;absOrbE;absOrbE;absOrbe;absOrbasjô;absOrbas;absOrbasje;;;absOrba;absOrbô;absOrbe;absOrb;absOrbâ;absOrb6rjô;absOrb6rE;;;absOrb6rE;absOrb6rE;absOrbô;absOrb;absOrbe;absOrb;absOrb;absOrb;absOrbe;absOrbe;absOrbe;absOrbe;;absOrb;absOrbje;;;
26;absoudre;;;;;;;;absudrE;;;;absudra;;absOlvE;;;absOlvE;absOlvE;absudr;;;;;;;;absOlve;absu;;;;absudrie;;;absudrE;;absu;;;absOlv;absu;absut;absut;;;;;;absOlv;;absOlv
27;abstenir;;abstê;;;abstêr;abstê;abstjêdrô;abstjêdrE;abstjêdre;abstjêdra;abstjêdrô;abstjêdra;abst6njô;abst6nE;abst6nje;;abst6nE;abst6nE;abst6nir;abstêsjô;;abstêsje;;abstês;abstê;abst6nô;abst6ne;abstjê;abst6nâ;abstjêdriô;abstjêdrE;abstjêdrie;;abstjêdrE;abstjêdrE;abst6nô;abstjê;abst6ne;abstjê;abstjEn;abstjê;abst6ny;abst6ny;abst6ny;abst6ny;;abstjEn;;abstjEn;;abstjEn
28;abstraire;;;;;;;;;abstrEre;;;;;;;;;;abstrEr;;;;;;;abstrEjô;;abstrE;;;;;;;abstrErE;;abstrE;;;;abstrE;abstrEt;abstrEt;abstrE;abstrE;;;;;;
29;abuser;abyzam;abyzE;abyzat;abyza;abyzEr;abyza;abyz6rô;abyz6rE;abyz6re;abyz6ra;abyz6rô;abyz6ra;abyzjô;abyzE;abyzje;abyzE;abyzE;abyzE;abyze;abyzasjô;;abyzasje;;abyzas;;abyzô;abyze;abyz;abyzâ;;abyz6rE;abyz6rje;abyz6rE;abyz6rE;abyz6rE;abyzô;abyz;abyze;abyz;abyz;abyz;abyze;abyze;abyze;abyze;abyzjô;abyz;abyzje;abyz;abyz;
30;abâtardir;;;;;;;;abatardirE;;;;;;;;;;;abatardir;;;abatardisje;;;;;;;abatardisâ;;;;;;;;;;;;;abatardi;;;abatardi;;;;;;
31;abêtir;;;;;;abEti;;;;;;;;;;;;abEtisE;abEtir;;abEtis;;;;;;;;;;abEtirE;;;;;;;;abEti;;;;;;abEti;;;;;;
32;abîmer;abimam;abimE;abimat;abima;abimEr;abima;abim6rô;abim6rE;abim6re;abim6ra;abim6rô;abim6ra;abimjô;;abimje;abimE;abimE;abimE;abime;abimasjô;abimas;;abimas;abimas;abima;abimô;abime;abim;abimâ;abim6rjô;abim6rE;abim6rje;abim6rE;;abim6rE;abimô;abim;abime;abim;abim;abim;abime;abime;abime;abime;abimjô;abim;abimje;abim;;abim
33;acagnarder;;akaJardE;;;;;;;;;;;;;;;;akaJardE;akaJarde;akaJardasjô;;;;;;;;;;;;;;;;;;;;;;;akaJarde;;akaJarde;;;;;;
34;accabler;;akablE;;akabla;akablEr;akabla;akabl6rô;akabl6rE;akabl6re;akabl6ra;akabl6rô;akabl6ra;akabljô;akablE;;akablE;akablE;akablE;akable;akablasjô;;akablasje;akablas;;akabla;;akable;akabl;akablâ;akabl6rjô;;;akabl6rE;akabl6rE;;;akabl;akable;;akabl;akabl;akable;akable;akable;akable;akabljô;akabl;akablje;;akabl;
35;accaparer;;;;;;akapara;;;;akapar6ra;akapar6rô;;akaparjô;;;;akaparE;akaparE;akapare;;akaparas;;;;;;akapare;akapar;akaparâ;;;;akapar6rE;;akapar6rE;;akapar;akapare;;;akapar;akapare;akapare;akapare;akapare;;;;;;
36;accentuer;;aksâtyE;;;aksâtyEr;aksâtya;;;;;;aksâtyra;;aksâtyE;;;aksâtyE;aksâtyE;aksâtye;aksâtyasjô;;;aksâtyas;aksâtyas;aksâtya;aksâtyô;aksâtye;aksâty;aksâtyâ;aksâtyrjô;;;aksâtyrE;;aksâtyrE;;aksâty;aksâtye;aksâty;aksâty;aksâty;aksâtye;aksâtye;aksâtye;aksâtye;;aksâty;;;aksâty;aksâty
37;accepter;aksEptam;aksEptE;aksEptat;aksEpta;aksEptEr;aksEpta;aksEpt6rô;aksEpt6rE;aksEpt6re;aksEpt6ra;aksEpt6rô;aksEpt6ra;aksEptjô;aksEptE;aksEptje;aksEptE;aksEptE;aksEptE;aksEpte;aksEptasjô;aksEptas;aksEptasje;aksEptas;aksEptas;aksEpta;aksEptô;aksEpte;aksEpt;aksEptâ;aksEpt6rjô;aksEpt6rE;aksEpt6rje;aksEpt6rE;aksEpt6rE;aksEpt6rE;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;aksEpte;aksEpte;aksEpte;aksEpte;aksEptjô;aksEpt;aksEptje;aksEpt;aksEpt;aksEpt
38;accidenter;;;;;;;;;;;;;;;;;;;aksidâte;;;;;aksidâtas;;;;;;;;;;;;;;;;;aksidât;;aksidâte;;aksidâte;;;aksidâtje;;;
39;acclamer;;;aklamat;;;aklama;;;;;aklam6rô;aklam6ra;;;aklamje;;aklamE;aklamE;aklame;;;;aklamas;aklamas;aklama;aklamô;aklame;aklam;aklamâ;aklam6rjô;;aklam6rje;aklam6rE;;aklam6rE;aklamô;aklam;aklame;;aklam;aklam;aklame;aklame;aklame;aklame;aklamjô;;;;;aklam
40;acclimater;;aklimatE;;;;aklimata;;;;;;;;aklimatE;;;;;aklimate;;;;;;;;aklimate;;;;;;;;aklimat6rE;;aklimat;aklimate;aklimat;aklimat;aklimat;;;aklimate;aklimate;;;;;;
41;accointer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akwête;akwête;;;;;;
42;accoler;;;;;;akOla;;;;;;;akOljô;;;;;akOlE;akOle;;akOlas;;;;;akOlô;;;akOlâ;;akOl6rE;;;;;;;;akOl;akOl;akOl;akOle;akOle;akOle;akOle;;akOl;;;;
43;accommoder;;akOmOdE;akOmOdat;akOmOda;akOmOdEr;akOmOda;;akOmOd6rE;akOmOd6re;;akOmOd6rô;akOmOd6ra;akOmOdjô;akOmOdE;;akOmOdE;akOmOdE;akOmOdE;akOmOde;;akOmOdas;;akOmOdas;;akOmOda;;;akOmOd;akOmOdâ;akOmOd6rjô;akOmOd6rE;akOmOd6rje;;akOmOd6rE;akOmOd6rE;akOmOdô;akOmOd;akOmOde;;akOmOd;akOmOd;akOmOde;akOmOde;akOmOde;akOmOde;akOmOdjô;;akOmOdje;;akOmOd;
44;accompagner;akôpaJam;akôpaJE;akôpaJat;akôpaJa;akôpaJEr;akôpaJa;akôpaJ6rô;akôpaJ6rE;akôpaJ6re;akôpaJ6ra;akôpaJ6rô;akôpaJ6ra;akôpaJô;akôpaJE;akôpaJe;akôpaJE;akôpaJE;akôpaJE;akôpaJe;akôpaJasjô;akôpaJas;akôpaJasje;akôpaJas;akôpaJas;akôpaJa;akôpaJô;akôpaJe;akôpaJ;akôpaJâ;akôpaJ6rjô;akôpaJ6rE;akôpaJ6rje;akôpaJ6rE;akôpaJ6rE;akôpaJ6rE;akôpaJô;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ;akôpaJe;akôpaJe;akôpaJe;akôpaJe;akôpaJô;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ
