;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
657;claquemurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;klak6myrâ;;;;;;;;;;;;;;;;;;;
658;claquer;;;;;klakEr;klaka;;;;;;;;;;;klakE;klakE;klake;;;;;;;;klake;klak;klakâ;;;;;;klak6rE;;klak;klake;klak;klak;klak;;;;;klak;;
659;clarifier;;;;;;;;;;;;;;;;;;;klarifje;;;;;;;klarifjô;;klarifi;;;;;;;;;klarifi;;;;;;;;;;;
660;classer;;;;;;klasa;;;;;;;;klasE;;klasE;klasE;klasE;klase;;;;;;;;klase;klas;;;;;;;;;klas;;klas;;klas;;;;;;;
661;claudiquer;;;;;;;;;;;;;;;;;;klOdikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
662;cligner;;;;;;kliJa;;;;;;;;kliJE;;;;kliJE;kliJe;;;;;;;;;kliJ;kliJâ;;;;;;;kliJô;kliJ;kliJe;;kliJ;kliJ;;;;;;;
663;clignoter;;;;;;;;;;;;;;;;;kliJOtE;;;;;;;;;;;;kliJOtâ;;;;;;;;;;;kliJOt;kliJOt;;;;;;;
664;cliqueter;;;;;;;;;;;;;;;;;;;klik6te;;;;;;;;;;klik6tâ;;;;;;;;klikEt;;;klikEt;;;;;;;;
665;clocher;;;;;;;;;;;;;;;;;;klOSE;;;;;;;;;;klOS;klOSâ;;;;;;;;;;;klOS;klOS;;;;;;;
666;cloisonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;klwazOnâ;;;;;;;;;;;;;;;;;;;
667;clopiner;klOpinam;;;;;;;;;;;;;;;;;;;;;;;;;;;;klOpinâ;;;;;;;;;;;;klOpin;;;;;;;
668;cloquer;;;;;;;;;;;;;;;;;;;klOke;;;;;;;;;;;;;;;;;;klOk;;;;klOk;;;;;;;
669;clore;;;;;;;;;;;;;;;;;;;klOr;;;;;;;;;klo;;;;;;;;;klo;;;kloz;klo;;;kloz;;;;kloz
670;clouer;;kluE;;;kluEr;klua;;;;;;;;;;;kluE;kluE;klue;;;;;;;kluô;;klu;kluâ;;;;;;;;klu;klue;;klu;klu;;;;;;;
671;clôturer;;klOtyrE;;;;;;;;;;;;;;;klOtyrE;;klOtyre;;;;;;;;;;;;;;;;;;;;;;klOtyr;;;;;;;
672;coaguler;;;;;;;;;;;;;;;;;;;kOagyle;;;;;;;;;;;;;;;;;;;;;kOagyl;;;;;;;;
673;coasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOasâ;;;;;;;;;;;;;;;;;;;
674;cocher;;;;;;;;;;;;;;;;;;;kOSe;;;;;;;;kOSe;kOS;;;;;;;;;kOS;;;;;;;;;;;
675;cochonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOSOne;;;;;;;;;;
676;coder;;;;;;;;;;;;;;;;;;;kOde;;;;;;;;;kOd;;;;;;;;;kOd;;;;kOd;;;;;;;
677;codifier;;;;;;kOdifja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
678;coffrer;;;;;;;;;;;;;;;;;;;kOfre;;;;;;;;kOfre;kOfr;;;;;;;;;;;;;kOfr;;;;;;;
679;cogiter;;;;;;;;;;;;;;;;;;;kOZite;;;;;;;;;kOZit;;;;;;;;;;;;;;;;;;;;
680;cogner;;;;;;kOJa;;;;;;;;kOJE;;;kOJE;kOJE;kOJe;;;;;;;;kOJe;kOJ;kOJâ;;;;;;;;kOJ;;kOJ;kOJ;kOJ;;;;;;;kOJ
681;cohabiter;;;;;;;;;;;;;;;;;kOabitE;;kOabite;;;;;;;;;;;;;;;kOabit6rE;;;;;;;;;;;;;;
682;coiffer;;kwafE;;;;kwafa;;;;;;;;;;kwafE;;kwafE;kwafe;;;;;;;;;kwaf;kwafâ;;;;kwaf6rE;;;;kwaf;;;kwaf;kwaf;;;;;;;
683;coincer;;;;;;kwêsa;;kwês6rE;;;;kwês6ra;;;;;;kwêsE;kwêse;;;;;;;;;kwês;kwêsâ;;;;;;;;kwês;kwêse;;kwês;kwês;;;;;;;kwês
684;collaborer;;;;;;kOlabOra;;;;;;;;kOlabOrE;;kOlabOrE;;kOlabOrE;kOlabOre;;;;;;;kOlabOrô;kOlabOre;kOlabOr;;;;;;;;kOlabOrô;kOlabOr;;;kOlabOr;kOlabOr;;;;;;;
685;collationner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOlasjOn;;;;;;;
686;collecter;;;;;;;;;;;;;;;;;;;kOlEkte;;;;;;;;;;;;;;;;;kOlEktô;;;;;kOlEkt;;;;;;;
687;collectionner;;;;;;;;;;;;;kOlEksjOnjô;kOlEksjOnE;;kOlEksjOnE;;kOlEksjOnE;kOlEksjOne;;;;;;;;kOlEksjOne;kOlEksjOn;kOlEksjOnâ;;;;;;;;kOlEksjOn;;;kOlEksjOn;kOlEksjOn;;;;;;;
688;coller;;;;;;kOla;;;kOl6re;;;kOl6ra;kOljô;;;kOlE;kOlE;kOlE;kOle;;;;;;;;kOle;kOl;kOlâ;;;;kOl6rE;;;;kOl;kOle;kOl;kOl;kOl;;;;;kOl;;kOl
689;colmater;;;;;;;;;;;;;;;;;;;kOlmate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
690;coloniser;;;;;;;;;;;;;;;;;;;kOlOnize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
691;colorer;;;;;;;;;;;;;;;;;kOlOrE;;kOlOre;;;;;;;;;kOlOr;;;;;;;;;;;;kOlOr;kOlOr;;;;;;;
692;colorier;;;;;;;;;;;;;;;;;;;kOlOrje;;;;;;;;;;;;;;;;;;;;;;kOlOri;;;;;;;
693;colporter;;;;;;;;;;;;kOlpOrt6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOlpOrt;;;;;;;
694;coltiner;;;;;;;;;;;;;;;;;;kOltinE;kOltine;;;;;;;;;kOltin;;;;;;;;;kOltin;;;;kOltin;;;;;;;
695;combattre;;;;;kôbatir;;kôbatrô;kôbatrE;;;kôbatrô;;;;;;kôbatE;kôbatE;kôbatr;;;;;;;kôbatô;kôbate;kôba;kôbatâ;;;;;;;kôbatô;kôba;kôbate;kôba;kôbat;kôba;;;kôbat;;;;kôbat
696;combiner;;;;;;;;;;;;;;;;;;kôbinE;kôbine;;;;;;;;;kôbin;;;;;;;;;kôbin;;;kôbin;kôbin;;;;;;;
697;combler;;;;;;kôbla;;;;;;;;;;;kôblE;kôblE;kôble;;;;;;;;;kôbl;;;;;;;;;kôbl;;;;kôbl;;;;;;;
698;commander;;;;;;kOmâda;;kOmâd6rE;;kOmâd6ra;;kOmâd6ra;;kOmâdE;;kOmâdE;kOmâdE;kOmâdE;kOmâde;;;;;;;;kOmâde;kOmâd;kOmâdâ;;;;;;;;kOmâd;kOmâde;kOmâd;kOmâd;kOmâd;;;;;kOmâd;;kOmâd
699;commencer;;kOmâsE;;;kOmâsEr;kOmâsa;kOmâs6rô;kOmâs6rE;kOmâs6re;kOmâs6ra;kOmâs6rô;kOmâs6ra;kOmâsjô;kOmâsE;kOmâsje;kOmâsE;kOmâsE;kOmâsE;kOmâse;;;;;;kOmâsa;kOmâsô;kOmâse;kOmâs;kOmâsâ;;kOmâs6rE;;;kOmâs6rE;kOmâs6rE;kOmâsô;kOmâs;kOmâse;kOmâs;kOmâs;kOmâs;;;;;kOmâs;;kOmâs
700;commenter;;kOmâtE;;;;kOmâta;;;;;;;kOmâtjô;kOmâtE;;;kOmâtE;kOmâtE;kOmâte;;;;;;;;kOmâte;kOmât;kOmâtâ;;;;;;;;kOmât;kOmâte;;kOmât;kOmât;;;;;;;
701;commercer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOmErsâ;;;;;;;;;;;;;;;;;;;
702;commercialiser;;;;;;;;;;;;;;;;;;;kOmErsjalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
703;commettre;;kOmi;;;;kOmi;;;;kOmEtra;;;;;;;kOmEtE;kOmEtE;kOmEtr;;;;;;;kOmEtô;kOmEte;kOmE;kOmEtâ;;kOmEtrE;;kOmEtrE;kOmEtrE;kOmEtrE;;kOmE;kOmEte;kOmE;kOmEt;kOmE;;;kOmEt;;;;
704;communier;;;;;;;;;;;;;;;;;kOmynjE;;kOmynje;;;;;;;;;kOmyni;kOmynjâ;;;;;;;;kOmyni;;;;;;;;;;;
705;communiquer;;kOmynikE;;;;kOmynika;;;;;;;;;;;kOmynikE;kOmynikE;kOmynike;;;;;;kOmynika;kOmynikô;kOmynike;kOmynik;kOmynikâ;;;;;kOmynik6rE;;;kOmynik;;;kOmynik;kOmynik;;;;;;;
706;commuter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOmyt;;;;;;;
707;commémorer;;;;;;;;;;;;;;;;;;kOmEmOrE;kOmEmOre;;;;;;;;;;;;;;;;;;;;;;kOmEmOr;;;;;;;
708;comparaître;;;;;;kôpary;;;;;;;;;;;;;kôparEtr;;;;;;;;;;;;;;;;;;kôparE;;kôparE;;kôparE;;;;;;;
709;comparer;;;;;;kôpara;kôpar6rô;;;;;kôpar6ra;;kôparE;;kôparE;kôparE;kôparE;kôpare;;;;;;;kôparô;kôpare;kôpar;kôparâ;;;;;;;kôparô;kôpar;kôpare;kôpar;;kôpar;;;;;;;kôpar
710;compartimenter;;;;;;;;;;;;;;;;;kôpartimâtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
711;compatir;;;;;;kôpati;;;;;;;;kôpatisE;;;;;;;;;;;;;;kôpati;;;;;;;;;kôpati;;kôpati;;kôpati;;;;;;;
712;compenser;;;;;;;;;;;;kôpâs6ra;;;;;kôpâsE;kôpâsE;kôpâse;;;;;;;;;;kôpâsâ;;;;;;kôpâs6rE;;kôpâs;kôpâse;;kôpâs;kôpâs;;;;;;;
713;compiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôpilâ;;;;;;;;;;;;;;;;;;;
714;compisser;;;;;;;;;;;;;;;;;;;kôpise;;;;;;;;;;;;;;;;;;;;;;kôpis;;;;;;;
715;complaire;;;;;;;;;;;;;;;;;kôplEzE;;kôplEr;;;;;;;;;kôplE;;;;;;;;;kôplE;;;kôplEz;kôplE;;;;;;;
716;complexer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôplEks;;;;;;;;;;;
717;complimenter;;;;;;;;;;;;;;;;;kôplimâtE;;kôplimâte;;;;;;kôplimâta;;;;;;;;;kôplimât6rE;;;;;;;;;;;;;;
718;compliquer;;;;;;;;;;;;;;;;;;;kôplike;;;;;;;;kôplike;kôplik;kôplikâ;;;;;;;kôplikô;kôplik;kôplike;kôplik;kôplik;kôplik;;;;;;;
719;comploter;;;;;;;;;;;;;;;;;;;kôplOte;;;;;;;;kôplOte;;kôplOtâ;;;;;;;;kôplOt;kôplOte;;kôplOt;kôplOt;;;;;;;
720;compléter;;;;;;kôplEta;;;;;;;;;;;kôplEtE;kôplEtE;kôplEte;;;;;;;;;kôplEt;kôplEtâ;;;;;kôplEt6rE;;;kôplEt;;;;kôplEt;;;;;;;
721;comporter;;kôpOrtE;;;;;;;;;;kôpOrt6ra;;;;;kôpOrtE;kôpOrtE;kôpOrte;;;;;;;;kôpOrte;kôpOrt;kôpOrtâ;;;;;;;kôpOrtô;kôpOrt;kôpOrte;kôpOrt;kôpOrt;kôpOrt;;;;;kôpOrt;;
722;composer;;kôpOzE;;;;kôpOza;;;;;;;kôpOzjô;kôpOzE;;;kôpOzE;kôpOzE;kôpOze;;;;;;;;kôpOze;kôpoz;kôpOzâ;;;;;;;kôpOzô;kôpoz;;;kôpoz;kôpoz;;;;;;;
723;comprendre;kôprim;kôpri;;kôpri;kôprir;kôpri;;kôprâdrE;kôprâdre;kôprâdra;kôprâdrô;kôprâdra;kôpr6njô;kôpr6nE;kôpr6nje;kôpr6nE;kôpr6nE;kôpr6nE;kôprâdr;;kôpris;;;;kôpri;kôpr6nô;kôpr6ne;kôprâ;kôpr6nâ;;kôprâdrE;kôprâdrie;kôprâdrE;kôprâdrE;kôprâdrE;kôpr6nô;kôprâ;kôpr6ne;kôprâ;kôprEn;kôprâ;;;kôprEn;;kôprEn;kôprEn;kôprEn
724;compresser;;;;;;;;;;;;;;;;;;;kôprEse;;;;;;;;;kôprEs;;;;;;;;;;;;;kôprEs;;;;;;;
725;comprimer;;;;;;;;;;;;;;;;;;kôprimE;kôprime;;;;;;;;;;;;;;;;;;kôprim;;;;kôprim;;;;;;;
726;compromettre;;;;kôprOmi;;;;;;;;;;;kôprOmEtje;;kôprOmEtE;kôprOmEtE;kôprOmEtr;;;;;;;;kôprOmEte;kôprOmE;;;;;;;;;kôprOmE;kôprOmEte;;kôprOmEt;kôprOmE;;;;;kôprOmEt;;kôprOmEt
727;comptabiliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtabiliz;;;;;;;;;;;
728;compter;;;;;;kôta;;kôt6rE;;kôt6ra;;kôt6ra;kôtjô;kôtE;;kôtE;kôtE;kôtE;kôte;;;;;;;kôtô;kôte;kôt;kôtâ;;kôt6rE;;;;kôt6rE;kôtô;kôt;kôte;kôt;kôt;kôt;;;;kôtje;kôt;;
729;compulser;;;;;;;;;;;;;;;;;;;kôpylse;;;;;;;;kôpylse;;kôpylsâ;;;;;;;;;;;;kôpyls;;;;;;;
730;concentrer;;;;;;kôsâtra;;kôsâtr6rE;;;kôsâtr6rô;;;;;;;kôsâtrE;kôsâtre;;;;;;;kôsâtrô;kôsâtre;kôsâtr;kôsâtrâ;;kôsâtr6rE;;;;;kôsâtrô;kôsâtr;kôsâtre;kôsâtr;kôsâtr;kôsâtr;;;;;kôsâtr;;
731;concerner;;;;;;;;;;;;;;;;;kôsErnE;kôsErnE;;;;;;;kôsErna;;;kôsErn;kôsErnâ;;;;;kôsErn6rE;;;kôsErn;;;kôsErn;kôsErn;;;;;;;
732;concerter;;;;;;;;;;;;;;;;;;;kôsErte;;;;;;;kôsErtô;;;;;;;;;;;;;;kôsErt;kôsErt;;;;;;;
733;concevoir;;kôsy;;kôsy;kôsyr;kôsy;;;;;;;;kôs6vE;kôs6vje;;kôs6vE;kôs6vE;kôs6vwar;;;;;;;;;kôswa;;;;;;;kôs6vrE;;kôswa;kôs6ve;kôswa;;kôswa;;;;;;;
734;concilier;;;;;;;;;;;;;;;;;;kôsiljE;kôsilje;;;;;;;;;;kôsiljâ;;;;;;;;;;;;;;;;;;;
735;conclure;kôklym;;;;;kôkly;;;;;;;kôklyjô;;;;kôklyE;kôklyE;kôklyr;;;;;;;kôklyô;kôklye;kôkly;;kôklyrjô;;;;;;kôklyô;kôkly;kôklye;kôkly;kôkly;kôkly;;;kôkly;;kôkly;;kôkly
736;concorder;;;;;;;;;;;;;;;;;;;kôkOrde;;;;;;;;;kôkOrd;;;;;;;;;;;;;kôkOrd;;;;;;;
737;concourir;;;;;;;;;;;;;;;;;;;kôkurir;;;;;;;;;;;;;;;;;;;;;;kôkur;;;;;;;
738;concrétiser;;;;;;;;;;;;;;;;;;;kôkrEtize;;;;;;;;;;;;;;;;;;;;;;kôkrEtiz;;;;;;;
739;concurrencer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôkyrâs;;;;;;;
740;concéder;;;;;;;;;;;;;;;;;kôsEdE;kôsEdE;kôsEde;;;;;;;;;;;;;;;;;;kôsEd;;;;;;;;;;;
741;condamner;;;;;;kôdana;;;;kôdan6ra;kôdan6rô;kôdan6ra;;kôdanE;;;kôdanE;kôdanE;kôdane;;;;;;;kôdanô;;kôdan;kôdanâ;;;;;;;kôdanô;kôdan;kôdane;;kôdan;kôdan;;;;;;kôdan;
742;condenser;;;;;kôdâsEr;;;;;;;;;;;;;kôdâsE;kôdâse;;;;;;;;;;;;;;;;;;;;;;kôdâs;;;;;;;
743;condescendre;;;;;;;;;;;;;;;;;;;kôdEsâdr;;;;;;;;;;kôdEsâdâ;;;;kôdEsâdrE;;;;;;;;;;;;;;;
744;conditionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôdisjOn;;;;;;;
745;conduire;;kôdHizi;;;kôdHizir;kôdHizi;;kôdHirE;kôdHire;kôdHira;kôdHirô;kôdHira;;kôdHizE;;kôdHizE;kôdHizE;kôdHizE;kôdHir;;;;;;;kôdHizô;kôdHize;kôdHi;kôdHizâ;;kôdHirE;;kôdHirE;;kôdHirE;;kôdHi;kôdHize;kôdHi;kôdHiz;kôdHi;;;kôdHiz;;;;kôdHiz
746;confectionner;;;;;;;;;;;;;;kôfEksjOnE;;;kôfEksjOnE;;kôfEksjOne;;;;;;;;;;;;;;;;;;kôfEksjOn;;;;kôfEksjOn;;;;;;;
747;confesser;;;;;;kôfEsa;;;;;;;;kôfEsE;;;;kôfEsE;kôfEse;;;;;;;;kôfEse;kôfEs;kôfEsâ;;;;;;kôfEs6rE;;kôfEs;kôfEse;;;kôfEs;;;;;;;
748;confier;kôfjam;;;;;kôfja;;kôfirE;;;;;;kôfjE;;;kôfjE;kôfjE;kôfje;;;;;;kôfja;kôfjô;kôfje;kôfi;kôfjâ;;kôfirE;;;kôfirE;kôfirE;kôfjô;kôfi;kôfje;;kôfi;kôfi;;;;;;;
749;confiner;;;;;;;;;;;;;;;;;;;kôfine;;;;;;;;;;kôfinâ;;;;;;;;;;;;kôfin;;;;;;;
750;confire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôfi;;;;;;;
751;confirmer;;;;;;kôfirma;;kôfirm6rE;;;kôfirm6rô;kôfirm6ra;;;;;;kôfirmE;kôfirme;;;;;;;;kôfirme;kôfirm;kôfirmâ;;;;;;;;kôfirm;kôfirme;kôfirm;kôfirm;kôfirm;;;;;;;
752;confisquer;;;;;;kôfiska;;;;;;;;;;;;;;;;;;;;;;kôfisk;;;;;;;;;kôfisk;kôfiske;;kôfisk;kôfisk;;;;;;;
753;confluer;;;;;;;;;;;;;;;;;kôflyE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
754;confondre;;;;;kôfôdir;kôfôdi;;;;;;;kôfôdjô;kôfôdE;;kôfôdE;kôfôdE;kôfôdE;kôfôdr;;;;;;;;kôfôde;kôfô;kôfôdâ;;;;;;kôfôdrE;;kôfô;kôfôde;kôfô;kôfôd;kôfô;;;kôfôd;;;;
755;conformer;;;;;;;;;;;;;;;;;kôfOrmE;;kôfOrme;;;;;;kôfOrma;;;;kôfOrmâ;;;;;;;;kôfOrm;;;;kôfOrm;;;;;;;kôfOrm
756;conforter;;;;;;;;;;;;;;;;;;;kôfOrte;;;;;;;;;;;;;;;;;;kôfOrt;;;;kôfOrt;;;;;;;
757;confronter;;kôfrôtE;;;kôfrôtEr;;;;;;;;;;;;kôfrôtE;;kôfrôte;;;;;;;;;kôfrôt;;;;;;;;;kôfrôt;;;;kôfrôt;;;;;;;
758;conférer;;;;;;;;;;;kôfEr6rô;;;;;;;kôfErE;kôfEre;;;;;;;;;;kôfErâ;;;;;kôfEr6rE;;;kôfEr;;;;kôfEr;;;;;;;
759;congeler;;;;;;;;;;;;;;;;;;;kôZ6le;;;;;;;;;;;;;;;;;;;;;;kôZEl;;;;;;;
760;congestionner;;;;;;;;;;;;;;;;;;kôZEsjOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
761;congratuler;;;;;;;;;;;;;;;;;kôgratylE;;kôgratyle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
762;congédier;;;;;;;;;;;;;;;;;;kôZEdjE;;;;;;;;;;kôZEdi;;;;;;;;;kôZEdi;;;;kôZEdi;;;;;;;
763;conjecturer;;;;;;;;;;;;;;;;;;;kôZEktyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
764;conjuguer;;;;;;;;;;;;;;;;;;;kôZyge;;;;;;;;;kôZyg;;;;;;;;;;;;;kôZyg;;;;;;;
765;conjurer;;;;;;kôZyra;;;;;;;;;;;;;kôZyre;;;;;;;;;kôZyr;;;;;;;;;kôZyr;;;;kôZyr;;;;;;;
766;connaître;kOnym;kOny;;kOny;kOnyr;kOny;kOnEtrô;kOnEtrE;kOnEtre;kOnEtra;kOnEtrô;kOnEtra;kOnEsjô;kOnEsE;kOnEsje;kOnEsE;kOnEsE;kOnEsE;kOnEtr;;;;;kOnys;kOny;kOnEsô;kOnEse;kOnE;kOnEsâ;kOnEtriô;kOnEtrE;kOnEtrie;kOnEtrE;;kOnEtrE;kOnEsô;kOnE;kOnEse;kOnE;kOnEs;kOnE;;;kOnEs;kOnEsje;kOnEs;;kOnEs
767;connecter;;;;;;;;;;;;;kOnEktjô;;;;;;kOnEkte;;;;;;;;kOnEkte;kOnEkt;;;;;;;;;;kOnEkte;;;;;;;;;;
768;conquérir;;;;;;kôki;;;;;;;;;;;;;kôkErir;;;;;;;;;;kôkErâ;;;;;;;;;kôkEre;;kôkjEr;kôkjEr;;;;;;;
769;consacrer;;kôsakrE;;;;kôsakra;;kôsakr6rE;;kôsakr6ra;;;;;;kôsakrE;kôsakrE;kôsakrE;kôsakre;;;;;;;kôsakrô;kôsakre;kôsakr;kôsakrâ;;;;;kôsakr6rE;;kôsakrô;kôsakr;kôsakre;;kôsakr;kôsakr;;;kôsakr;;;;
770;conseiller;;;;;;kôsEja;;kôsEj6rE;;;;;;kôsEjE;;kôsEjE;;kôsEjE;kôsEje;;;;;;;kôsEjô;kôsEje;kôsEj;kôsEjâ;;kôsEj6rE;;;;;kôsEjô;kôsEj;kôsEje;kôsEj;kôsEj;kôsEj;;;;;;;kôsEj
771;consentir;;kôsâti;;;;kôsâti;;;;;;kôsâtira;kôsâtjô;kôsâtE;;;kôsâtE;kôsâtE;kôsâtir;;;;;;kôsâti;;kôsâte;kôsâ;;kôsâtirjô;kôsâtirE;;;;kôsâtirE;;kôsâ;kôsâte;kôsâ;;kôsâ;;;kôsât;;;;kôsât
772;conserver;;;;;;kôsErva;;;;;;kôsErv6ra;;;;;kôsErvE;kôsErvE;kôsErve;;;;;;;kôsErvô;;kôsErv;kôsErvâ;;;;;;kôsErv6rE;;kôsErv;;;kôsErv;kôsErv;;;;;;;
773;considérer;;kôsidErE;;;;kôsidEra;;;;;;;kôsidErjô;kôsidErE;;kôsidErE;kôsidErE;kôsidErE;kôsidEre;;;;;;;kôsidErô;kôsidEre;kôsidEr;kôsidErâ;;;;kôsidEr6rE;;;kôsidErô;kôsidEr;kôsidEre;kôsidEr;kôsidEr;kôsidEr;;;kôsidEr;;;;kôsidEr
774;consigner;;;;;;;;;;;;;;;;;;kôsiJE;kôsiJe;;;;;;;;;;;;;;;;;;kôsiJ;kôsiJe;;;kôsiJ;;;;;;;
775;consister;;;;;;;;;;;;;;;;;kôsistE;kôsistE;kôsiste;;;;;;;;;kôsist;kôsistâ;;;;;;kôsist6rE;;;;;kôsist;kôsist;;;;;;;kôsist
776;consoler;;;;;kôsOlEr;;;;;kôsOl6ra;;kôsOl6ra;;kôsOlE;;kôsOlE;kôsOlE;kôsOlE;kôsOle;;;;;;;;;kôsOl;;;;;;;kôsOl6rE;;kôsOl;;;kôsOl;kôsOl;;;;;;;
777;consolider;;;;;;;;;;;;;;;;;kôsOlidE;kôsOlidE;kôsOlide;;;;;;;;;;;;;;;;;;kôsOlid;;;kôsOlid;kôsOlid;;;;;;;
778;consommer;;;;;;;;;;;;;;;;;kôsOmE;kôsOmE;kôsOme;;;;;;;;;;;;;;;;;;kôsOm;;;kôsOm;kôsOm;;;;;;;
779;conspirer;;;;;;;;;;;;;;;;;kôspirE;;;;;;;;;;;;;;;;;;;;;kôspire;;;kôspir;;;;;;;
780;conspuer;;;;;;;;;;;;;;;;;kôspyE;;;;;;;;;;;;kôspyâ;;;;;;;;;;;;;;;;;;;
781;constater;;kôstatE;;;kôstatEr;kôstata;;kôstat6rE;kôstat6re;;;;;;;;;kôstatE;kôstate;;;;;;;;kôstate;kôstat;kôstatâ;;;;;kôstat6rE;;kôstatô;kôstat;kôstate;;kôstat;kôstat;;;;;;;kôstat
782;consterner;;;;;;kôstErna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
783;constiper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôstip;;;;;;;;;;;
784;constituer;;;;;kôstityEr;kôstitya;;;;;;kôstityra;;kôstityE;;;kôstityE;kôstityE;kôstitye;;;;;;;kôstityô;kôstitye;kôstity;kôstityâ;;;;;kôstityrE;kôstityrE;;kôstity;;;kôstity;kôstity;;;;;;;
785;construire;;kôstrHizi;;;;kôstrHizi;kôstrHirô;kôstrHirE;kôstrHire;kôstrHira;;kôstrHira;kôstrHizjô;kôstrHizE;;;kôstrHizE;kôstrHizE;kôstrHir;;;;;;kôstrHizi;;kôstrHize;kôstrHi;kôstrHizâ;;;;;;kôstrHirE;kôstrHizô;kôstrHi;kôstrHize;kôstrHi;kôstrHiz;kôstrHi;;;kôstrHiz;;;;kôstrHiz
786;consulter;;kôsyltE;;;kôsyltEr;kôsylta;;;;;;;;kôsyltE;;kôsyltE;kôsyltE;kôsyltE;kôsylte;;;;;;;;kôsylte;kôsylt;kôsyltâ;;;;kôsylt6rE;;;;kôsylt;;;kôsylt;kôsylt;;;;;;;
787;consumer;;;;;;;;;;;;kôsym6ra;;;;;kôsymE;kôsymE;kôsyme;;;;;;;;;kôsym;;;;;;;;;kôsym;;;kôsym;kôsym;;;;;;;
788;contacter;;;;;;kôtakta;;kôtakt6rE;;;;kôtakt6ra;;;;;;;kôtakte;;;;;;;kôtaktô;kôtakte;kôtakt;;;;;;;;kôtaktô;kôtakt;kôtakte;;;kôtakt;;;;;;;
789;contaminer;;;;;;;;;;;;;;;;;;;kôtamine;;;;;;;;;kôtamin;;;;;;;;;kôtamin;;;;kôtamin;;;;;;;
790;contempler;kôtâplam;kôtâplE;;;kôtâplEr;kôtâpla;;;;;;;kôtâpljô;kôtâplE;;kôtâplE;kôtâplE;kôtâplE;kôtâple;;;;;;;kôtâplô;kôtâple;kôtâpl;kôtâplâ;;;;;;;kôtâplô;kôtâpl;kôtâple;;kôtâpl;kôtâpl;;;;;;;
791;contenir;;;;;;kôtê;;;;;;;;;;;kôt6nE;kôt6nE;kôt6nir;;;;;;;;;kôtjê;kôt6nâ;;;;;kôtjêdrE;kôtjêdrE;;kôtjê;;;kôtjEn;kôtjê;;;;;;;kôtjEn
792;contenter;;kôtâtE;;;;kôtâta;kôtât6rô;kôtât6rE;kôtât6re;;;kôtât6ra;;kôtâtE;kôtâtje;;kôtâtE;kôtâtE;kôtâte;;;;;;;kôtâtô;kôtâte;kôtât;kôtâtâ;;kôtât6rE;;kôtât6rE;;;kôtâtô;kôtât;;kôtât;kôtât;kôtât;;;;;;;kôtât
793;conter;;;;;;;;;;;;;;;;;;;kôte;;;;;;;;;;kôtâ;;;;;;;;kôt;;;kôt;;;;;;;kôt;
794;contester;;;;;;;;;;;;;;;;;;;kôtEste;;;;;;;;kôtEste;kôtEst;;;;;;;;kôtEstô;kôtEst;;kôtEst;kôtEst;kôtEst;;;;;;;
