;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
231;demeurer;;;;;;;;;;;;;;;;d6m6rE;;;;;;;d6m9r;;;;;;;;;;;;;;;;;;;;;;;
232;descendre;;;;dEsâdi;;;;;;;;;;;;;dEsâdr;;;;dEsâdô;;dEsâ;;;;;;;;;dEsâ;;dEsâ;dEsâd;dEsâ;;;dEsâdy;;;;;;;
233;devenir;;;;d6vê;;;;d6vjêdra;;d6vjêdra;;d6v6nE;;;;d6v6nE;d6v6nir;;;;;;;;;;;;;;;;;d6vjê;;d6vjê;d6v6ny;d6v6ny;;d6v6ny;;d6vjEn;;;;
234;deviner;;;;;;;;;;;;;;;;d6vinE;;;;;;;d6vin;;;;;;;;;;;;;;;;;;;;;;;
235;devoir;;;;dy;;;d6vre;;d6vrô;d6vra;;d6vE;;;;d6vE;;;;;d6vô;d6ve;dwa;d6vâ;;d6vrE;d6vrie;d6vrE;;d6vrE;d6vô;dwa;d6ve;dwa;dwav;dwa;;;;dy;;;;;dwav;dwav
236;dicter;;;;;;;;;;;;;;;;;;;;;;;dikt;;;;;;;;;dikt;;;;;;;;;;;;;;
237;diffuser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;difyze;;;;;;;;
238;dire;di;;;di;;dirE;;;;dira;;dizE;;dizE;;dizE;dir;;;;dizô;dit;di;;;;;dirE;;dirE;dizô;di;dit;di;diz;di;dit;;;di;;diz;;;diz;diz
239;diriger;;;;;;;;;;;;diriZE;;;;;;;;;;;;;;;;;;;;diriZ;;;;diriZ;;;;;;;;;;
240;discerner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;disErn;;;;;;;;;;;;;;
241;discipliner;;;;;;;;;;;;;;;disiplinE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;discuter;;;;;;;;;;diskyt6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;disparaître;;;;dispary;;;;;;;;;;;;;disparEtr;;;;;;;;;;;;;;;;;;disparEs;;;dispary;;dispary;;disparEs;;;;
244;disposer;;;;;;;;;;;;;;;;dispOzE;;;;;;;;;;;;;;;;;;;;dispoz;;;;;;;;;;
245;disputer;;;;;;;;;;;;;;;;;;;;;;;;dispytâ;;;;;;;;;;;;;;;;;;;;;;
246;dissimuler;;;;;;;;;;;;;;disimylE;;;;;;;;;;;;;;;;;;disimyl;;;;;;;;;;;;;;
247;dissiper;;;;;;;;;;;;;;;;;;;;;;;;disipâ;;;;;;;;;;;;;;;;;;;;;;
248;distiller;;;;;;;;;;;;;;;;;distile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;distinguer;;;;;;;;;;;;;;;;;distêge;;;;;;;;;;;;;;;;;;;;;;;distêge;;;;;;
250;distraire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;distrE;;;;;;
251;divorcer;;;;;;;;;;;;;;;;;divOrse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;dominer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dOmin;;;;;;;;;;
253;donner;;;;dOna;;;;;dOn6rô;;;;;;dOnE;dOnE;dOne;;;;;dOne;dOn;;;;;;;;;dOn;;dOn;;dOn;dOne;dOne;;dOne;;dOn;;;dOn;dOn
254;dormir;;;;dOrmi;;;;;;;;;;;dOrmE;;dOrmir;;;;;dOrme;;;;;;;;;;dOr;;dOr;;dOr;;;;;;;;;dOrm;
255;doubler;;;;;;;;;;;;;;;;;duble;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;douer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;due;;;;;;;;
257;douter;;;;;;;;;;;;;;;;;;;;;;dute;dut;;;;;;;;;dut;;;;dut;;;;;;;;;;
258;dresser;;;;;;;;;;;;;;;;;drEse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;droguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;drOge;;;;;;;;;;;;;
260;durer;;;;;;;;;;;;;;;;dyrE;;;;;;;;;;;;;;;;dyr;;;;dyr;;;;;;;;;;
261;dynamiter;;;;;;;;;;;;;;;;;dinamite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;débarquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbark;;;;;;;;;;
263;débarrasser;;;;;;;;;;;;;;;;;dEbarase;;;;;;dEbaras;;;;;;;;;;;;;;;;;;;;;;;
264;déborder;;;;;;;;;;;;;;;;;;;;;;;;dEbOrdâ;;;;;;;;;;;;;;;;dEbOrde;;;;;;
265;déboucher;;;;;;;;;;;;;;;;;dEbuSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;déboutonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbutOne;;;;;;;;
267;débrouiller;;;;;;;;;;;;;;;;;dEbruje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;déchaîner;;;;;;;;;;;;;;;;dESEnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;déchirer;;;;;;;;;;;;;;;;;;;;;;;;dESirâ;;;;;;;;;;;;;;;;;;;;;;
270;décider;;;;;;;;;;;;;;;;;dEside;;;;;;;;;;;;;;;dEsid;;dEsid;;;;;;dEside;;;;;;dEsid
271;décimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsime;;;;;;
272;déclarer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEklare;;;;;;
273;déclencher;;;;dEklâSa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;décliner;;;;;;;;;;;;;;;;dEklinE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;décoller;;;;;;;;;;;;;;dEkOlE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;déconner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOn;;;;;;;;;;;;;;
277;déconseiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkôsEje;;;;;;
278;décorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOre;;;;;;;;
279;décortiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkOrtik;;;;;;;;;;
280;découcher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkuS;;;;;;;;;;;;
281;découper;;;;;;;;;;;;;;;;;;;;;;;;dEkupâ;;;;;;;;;;;;;;;;;;;;;;
282;décourager;;;;;;;;;;;;;;;;;dEkuraZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;découvrir;;;;;;;;;;;;;;;;dEkuvrE;dEkuvrir;;;;;;dEkuvr;dEkuvrâ;;;;;;;;;;;;;;;;;;;;;;
284;décrire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkrive;;;;;;;;;;;;;
285;décroiser;;;;;;;;;;;;;;;;;;;;;;;dEkrwaz;;;;;;;;;;;;;;;;;;;;;;;
286;dédier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEdi;;;;;;;;;;;;;;
287;défaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfE;;;;;;;;;;
288;défendre;;;;;;;;;;;;;;;;;dEfâdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;défiler;;;;;;;;;;;;;;;;dEfilE;dEfile;;;;;;;;;;;;;;;dEfil;;;;;;;;;;;;;;
290;défoncer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEfôs;;;;;;;;;;
291;dégager;;;;;;;;;;;;;;;;;;;;;;dEgaZe;dEgaZ;;;;;;;;;dEgaZ;dEgaZe;;;dEgaZ;;;;;;;;;;dEgaZ
292;dégainer;;;;;;;;;;;;;;;;;dEgEne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;dégoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgOt;;;;;;;;;;;;;;
294;dégouliner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgulin;;;;;;;;;;
295;dégoûter;;;;;;;;;;;;;;;;dEgutE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;déguster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEgyst;;;;;;;;;;;;;;
297;déjeuner;;;;;;;;;;;;;;;;;dEZ6ne;;;;;;;;;;;;;;;dEZ9n;;;;;;;;;;;;;;
298;délivrer;;;;;;;;;;;;;;;;;dElivre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;démarrer;;;;;;;;;;;;;;;;;dEmare;;;;;;;;;;;;;;;;dEmare;;;;;;;;;;;;;
300;démontrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEmôtre;;;;;;
301;dénoncer;;;;;;;;;;;;;;;;;dEnôse;;;;;;;;;;;;;;;;;;dEnôs;dEnôs;;;;;;;;;;
302;dénuder;;;;;;;;;;;;;;;;;dEnyde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;dépasser;;;;;;;;;;;;;;;;;;;;;;;dEpas;;;;;;;;;;;;;;;;;;;;;;;
304;dépendre;;;;;;;;;;;;;;;;dEpâdE;;;;;;;;;;;;;;;;;;dEpâ;;;;;;;;;;;;
305;dépenser;;;;;;;;;;;;;;;;;dEpâse;;;;;;;;;;;;;;;;;;;;;;;dEpâse;;;;;;
306;déplacer;;;;;;;;;;;;;;;;dEplasE;;;;;;;dEplas;;;;;;;;;;;;;;;dEplase;;;;;;;;dEplas
307;déplaire;;;;;;;;;;;;;;;;dEplEzE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;déplorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEplOr;;;;;;;;;;;;;;
309;déposer;;;;dEpOza;;;;;;;;;;;;;;;;;;;dEpoz;;;;;;;;;;;;;;;;;;;;;;;
310;dépêcher;;;;;;;;;;;;;;;;;;;;;;;dEpES;;;;;;;;;dEpES;;;;;;;;;;;;;;
311;dérailler;;;;;;;;;;;;;;;;;dEraje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;déranger;;;;;;;;;;;;;;;;;dErâZe;;;;;;dErâZ;;;;;;;;;;;;;dErâZ;;;;;;;;;;
313;dériver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEriv;;;;;;;;;;
314;dérouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dErule;;;;;;
315;désamorcer;;;;;;;;;;;;;;;;;dEzamOrse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;désespérer;;;;;;;;;;;;;;;;;dEzEspEre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;désigner;;;;;;;;;;;;;;;;;;;;;;;;dEziJâ;;;;;;;;dEziJ;;;;;;;;dEziJe;;;;;;
318;désirer;;;;;;;;;;;;;;;;dEzirE;;;;;;;;;;;;;;dEzir6rE;;dEzir;;dEzir;dEzir;;;;;;;;;;;
319;désoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEzOle;;dEzOle;;;;;;
320;détacher;;;;;;;;;;;;;;;;dEtaSE;;;;;;;;;;;;;;;;dEtaS;;;;;;;;;;;;;;
321;détendre;;;;;;;;;;;;;;;;;;;;;;dEtâde;;;;;;;;;;;;;;;;;;dEtâdy;;;;;;
322;détester;;;;;;;;;;;;;;;;;;;;;;;dEtEst;;;;;;;;;dEtEst;;;;;;;;;;dEtEst;;dEtEst;;dEtEst
323;détourner;;;;;;;;;;;;;;;;;;;;;;;dEturn;;;;;;;;;;;;;;;;;;;;;;;
324;détruire;;;;;;;;;;;;;;;;;dEtrHir;;;;;;;;;;;;;;;;;;;;;dEtrHit;;;;;;;;
325;développer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEv6lOpe;;;;;;;;
326;déverser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEvErs;;;;;;;;;;;
327;dévier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEvje;;;;;;;;
328;dévoiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEvwale;;;;;;;
329;dévorer;;;;;;;;;;;;;;;;;dEvOre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;dîner;;;;dina;;;;;;;;;;;;;dine;;;;;;;;;;;;;;;din;;;;;;;;;;;;;;
331;effacer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Efas;;;;;;;;;;
332;emballer;;;;;;;;;;;;;;;;;âbale;;;;;;;;;;;;;;;;;âbal;;âbal;;;;;;;;;;
333;embarrasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âbarase;;;;;;;;;
334;embaucher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âbOSe;;âbOSe;;;;;;
335;embrasser;;;;âbrasa;;;;;;;;âbrasE;;;;;âbrase;;;;;;;;;;;;;;;âbras;;;;;;;;;;âbras;;;;âbras
336;embêter;;;;;;;;;;;;;;;;;âbEte;;;;;;âbEt;;;;;;;;;;;;;âbEt;;;;;;;;;;
337;emmener;;;;;;;;;;;;;;;;;âm6ne;;;;;âm6ne;;;;;;;;;;âmEn;;;;;;âm6ne;;âm6ne;;;;;;âmEn
338;emmerder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âmErd;;;;âmErd;;;;;;;;;;
339;emplir;;;;;;;;;;;;;;;;;âplir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;employer;;;;;;;;;;;;;;;;;;;;;;;;âplwajâ;;;;;;;;âplwa;;;;;;;;;;;;;;
341;emporter;;;;;;;;;;;;;;;;;;;;;;;;âpOrtâ;;;;;;;;âpOrt;;;âpOrt;;;âpOrte;;;;;;;;âpOrt
342;empresser;;;;âprEsa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;emprunter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âprûte;;;;;;
344;empêcher;;;;;;;;;;;;;;;;;;;;;;;âpES;âpESâ;;;;;;;;;;;;âpES;;;;âpESe;;;;;;
345;enchanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âSâte;;;;;;
346;encourager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âkuraZ;;;;;;;;;;
347;enculer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âkyl;;;;;;;;;;
348;endormir;;;;;;;;;;;;;;;;;âdOrmir;;;;;;;;;;;;;;;;;;;;;;âdOrmi;;;;;;;
349;enfanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âfâte;;;;;;
350;enfermer;;;;;;;;;;;;;;;;âfErmE;;;;;;;;;;;;;;;;;;;âfErm;âfErm;;;;âfErme;;;;;;
351;enfiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âfil;;;;;;;;;;;;;;
352;enfoncer;;;;;;;;;;;;âfôsE;;;;;âfôse;;;;;;âfôs;;;;;;;;;;;;;;;;;âfôse;;;;;;
353;enfourcher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âfurS;;;;;;;;;;;;;;
354;enfreindre;;;;;;;;;;;;;;;;âfrEJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;enfuir;;;;âfHi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;engager;;;;;;;;;;;;;;;;;;;;;âgaZô;;;;;;;;;;;;;;;;;;;âgaZe;;;;;;
357;engloutir;;;;âgluti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;enjoindre;âZwaJi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;enlever;;;;;;;;;;;;;;;;;âl6ve;;;;;;;;;;;;;;;âlEv;;;;;;;;;;;;;;âlEv
360;ennuyer;;;;;;;;;;;;;;;ânHiE;;;;;;;;ânHi;ânHiâ;;;;;;;;ânHi;;;;;;;;ânHie;;ânHi;;;;
361;enrager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âraZ;;;;;;;;;;;;;;
362;enrichir;;;;;;;;;;;;;;;;;âriSir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;enrouler;;;;;;;;;;;;;;;;;ârule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;ensauvager;;;;;;;;;;;;;;;;âsOvaZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;enseigner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âsEJ;;;;;;;;;;
366;entendre;;;;;;;;;;;;;;;;;âtâdr;;;;;âtâde;âtâ;;;;;;;;;âtâ;âtâde;âtâ;;âtâ;;;âtâdy;âtâdy;;;;;;
367;enterrer;;;;;;;;;;;;;;;;;;;;;;;âtEr;;;;;;;;;;;;âtEr;;;;;;;;;;;âtEr
368;entortiller;;;;;;;;;;;;;;;;;;;;;;;âtOrtij;;;;;;;;;;;;;;;;;;;;;;;
369;entourer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âture;;;;;;
370;entraîner;;;;;;;;;;;;;;;;;âtrEne;;;;;;;;;;;;;;;;;;;;;;;âtrEne;;;;;;âtrEn
371;entreprendre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âtr6prEn;;;;;;;;;;;
372;entrer;;;;;;;;;;;;;;;;;âtre;;;;;;âtr;;;;;;;;âtrô;âtr;âtre;;;âtr;;;âtre;;;;;;;âtr
373;entrevoir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âtr6vy;;;;;;;
374;entêter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âtEt;;;;;;;;;;;;;;
375;envahir;;;;;;;;;;;;;;;;âvaisE;;;;;;;;;;;;;;;;;;;;;;âvai;;âvai;;;;;;
376;envelopper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âv6lOp;;;;;;;;;;;
377;envier;;;;;;;;;;;;;;;;;;;;;;;âvi;;;;;;;;;;;;;;;;;;;;;;;
378;envisager;;;;;;;;;;;;;;;;;âvizaZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
379;envoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âvOl;;;;;;;;;;
380;envoyer;;;;;;;;;;;;;;;;;âvwaje;;;;âvwajô;âvwaje;âvwa;;;;;;;;;âvwa;;;;âvwa;;;âvwaje;âvwaje;;âvwa;;;;âvwa
381;espérer;;;;;;;;;;;;;;EspErE;;;;;;;;;EspEr;EspErâ;;;;;;;;EspEr;;;;EspEr;;;;;;EspEr;;;;
382;esquiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eskiv;;;;;;;;;;
383;essayer;;;;;;EsErE;;;;;;;EsEje;;;;EsEje;;;;;;EsE,EsEj;EsEjâ;;;;EsEj6rE;;;;EsE,EsEj;EsEje;;;EsE;;;;EsEje;;;;;;EsE
384;estimer;;;;;;;;;;;;;;;;;;;;;;;Estim;;;;;;;;;Estim;;;;;;;;;;;;;;
385;estomper;;;;;;;;;;;;;;;;EstôpE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
386;exalter;;;;Egzalta;;;;;;;;;;;;;;;;;;;;;;;;;;;;Egzalt;;;;;;;;;;;;;;
387;examiner;;;;Egzamina;;;;;;;;;;;;;;;;;;;;Egzaminâ;;;;;;;Egzaminô;;;;;;;;;;;;;;;
388;exciter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eksit;;;;;;;;;;
389;exclamer;;;;;;;;;;;;;;;;EsklamE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;excuser;;;;;;;;;;;;;;;;;;;;;;Ekskyze;Ekskyz;;;;;;;;;Ekskyz;Ekskyze;;;Ekskyz;;;;Ekskyze;;;;;;Ekskyz
391;exercer;;;;;;;;;;;;;;;;EgzErsE;;;;;;EgzErse;;;;;;;;;;;;;;;;;;EgzErse;;;;;;
392;exhaler;;;;Egzala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;exister;;;;;;;;;;;;;;;;EgzistE;;;;;;;Egzist;;;;;;;;;;;;;Egzist;;;;;;;;;;Egzist
394;expier;;;;;;;;;;;;;;;;;Ekspje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;expliquer;;;;;;;;;;Esplik6ra;;;;;;;Esplike;;;;;;Esplik;;;;;;;;;Esplik;;;;Esplik;;;;;;Esplik;;;;Esplik
396;exploser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Esploz;;;;;;;;;;;;;;
397;exposer;;;;;;;;;;;;;;;;;EkspOze;;;;;;;;;;;;;;;;EkspOze;;;Ekspoz;;;;;;;;;;
398;exprimer;;;;;;;;;;;;;;;;;;;;;;;Esprim;;;;;;;;;;;;;;;;;;;;;;;
399;extirper;;;;Ekstirpa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;faciliter;;;;;;;;;;;;;;;;;fasilite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401;faillir;;;;faji;;fajirE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402;faire;;fi;;fi;;f6rE;;;f6rô;f6ra;;f6zE;;f6zE;f6zE;f6zE;fEr;;;;;fEt;fE;;;f6rE;;f6rE;;f6rE;;fE;fEt;fE;fô;fE;fEt;fEt;;fE;;fas;;;;fas
403;falloir;;;;;;;;;;fOdra;;;;;;falE;falwar;;;;;;;;;;;;;fOdrE;;;;;;fo;;;;;;;;;;
404;familiariser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;familjarize;;;;;;;;
405;fasciner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fasin;;;;;;;;;;
406;fatiguer;;;;;;;;;;;;;;;;;;;;;;;fatig;;;;;;;;;;;;;;fatige;;;fatige;;;;;;
407;faufiler;;;;;;;;;;fOfil6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408;feindre;;;;;;;;;;;;;;;;fEJE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;fendre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fâd;;;;;;;;;;;
410;fermer;;;;;;;;;;;;;;;;;fErme;;;;;;;fErmâ;;;;;;;;fErm;fErme;;;fErm;;fErme;;;;;;;;fErm
411;ferrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fEre;;;;;;;
412;festoyer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fEstwa;;;;;;;;;;;;;;
413;ficher;;;;;;;;;;;;;;fiSE;;;;;;;;;;;;;;;;;;fiS;;;;fiS;;;;;;fiS;;;;fiS
414;fier;;;;;;;;;;;;;;;;;fje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;figurer;;;;;;;;;;;;;;;;;;;;;;;figyr;;;;;;;;;;;;;;;;figyre;;;;;;;
416;filer;;;;;;;;;;;;;;;;;file;;;;filô;;;;;;;;;;;;;;;;;;;;;;;;;
417;finir;;;;fini;;finirE;;;;finira;;;;;;;finir;;;;;;;;;;;;;finirE;;fini;;;;fini;;fini;fini;fini;;finis;;;;finis
418;fixer;;;;fiksa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fiks;;;;
419;flairer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;flEr;;;;;;;;flEre;;;;;;
420;flamber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;flâbe;;;;;;;;
421;flatter;;;;;;;;;;;;;;;;;;;;;;;;flatâ;;;;;;;;;;;;;;;;;;;;;;
422;foncer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fôs
423;fonctionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fôksjOn;;;;;;;;;;
424;fonder;;;;;;;;;;;;;;;;;;;;;;;fôd;;;;;;;;;;;;;;;;;;;;;;;
425;fondre;;;;;;;;;;;;;;;;;fôdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;forcer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fOrs;;;;fOrs;;;;;;;;;;
427;former;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fOrm;;;;;fOrme;;;;;;
428;forniquer;;;;;;;;;;;;;;;;fOrnikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429;fouetter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fwEte;;;;;;
430;fouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fuje;;;;;;
431;fouler;;;;;;;;;;;;;;;;;fule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;fournir;;;;;;;;;;;;;;;;;;;;;;;furni;;;;;;;;;;;;;;;;;;;;;;;
433;fourrer;;;;;;;;;;;;;;;;;;;;;;;;furâ;;;;;;;;fur;;;;;;;;;;;;;;
434;foutre;;;;;;;;;;;;;;;;;futr;;;;;fute;;;;;;;;;;fu;;fu;fut;;;;;futy;;;;;;
435;franchir;;;;frâSi;;;;;;;;;;;;;frâSir;;;;;;;;;;;;;;;;;;;frâSi;;;;;;;;;;
436;frapper;;;;;;;;;;frap6ra;;;;;;;;;;;frapô;;frap;frapâ;;;;;;;;frap;;;;;;;;frape;;frap;;;;
437;frissonner;;;;;;;;;;;;;;;;;frisOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438;froisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;frwas;;;frwase;;;;;;;;;
439;frotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;frOt;;;;frOt;;;;;;frOt;;;;
440;frémir;;;frEmir;;;;;;;;;;;;;;frEmir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441;fréquenter;;;;;;;;;;;;;;;;;;;;;;;frEkât;;;;;;;;;;;;;;;;;;;;;;;
442;fuir;;;;fHi;;;;;;;;;;;;;fHir;fHis;;;;;;fHijâ;;;;;;;;;;;;;;;fHi;fHi;;;;;;
443;fumer;;;;;;;;;;;;;;;;;fyme;;;;;;fym;;;;;;;;;;;;;;;;;;;;;;;
444;fâcher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;faS;;;;;;;;;;
445;féliciter;;;;fElisita;;;;;;;;;;;;;fElisite;;;;;;fElisit;;;;;;;;;;;;;;;;;;;;;;;
446;gagner;;;;;;;;;;;;;;;;;gaJe;;;;;;gaJ;;;;;;;;;gaJ;;gaJ;;;;;;;;;;;;
447;ganter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gâte;;;;;;;;
448;garder;;;;;;;;;;;;;;;;;garde;;;;;garde;gard;gardâ;;;;;;;;gard;garde;;;;;;;garde;;gard;;gard;;gard
