;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
89;avoir;;;;y;Orô;OrE;Ore;Ora;Orô;Ora;avjô;avE;;avE;avE;avE;avwar;;;;;Eje;E;;;OrE;;;;;avô;E;ave;a;ô;a;;;y;y;;;Eje;;;
90;avouer;;;;;;;;;;;;;;;;;avue;;;;;avue;;;;;;;;;;;;;;;;;;;;;;;;
91;avérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;avEr;;;;;;;;;;
92;badigeonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;badiZOn;;;;;;;;;;;;;;
93;baigner;;;;;;;;;;;;;;;bEJE;;;;;;;;bEJ;;;;;;;;;;;;;bEJ;;;;;;;;;;
94;baiser;;;;;;;;;;;;;;;;;bEze;;;;;;bEz;;;;;;;;;;;;;;;;;;;;;bEz;;
95;baisser;;;;;;;;;;;;;;;;;;;;;;;bEs;;;;;;;;;;;;;;;;;;;;;;;
96;balader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;balad;;
97;balancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;balâs;;;;;;;;;;;;;;
98;balbutier;;;;balbysja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;baptiser;;;;;;;;;;;;;;;;;batize;;;;;;;;;;;;;;;;;;;;;;batize;;;;;;;batiz
100;barrer;;;;;;;;;;;;;;;;;bare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;basculer;;;;;;;;;;;;;;;;;baskyle;;;;;;;;;;;;;;;baskyl;;;;;;;;;;;;;;
102;battre;;;;;;;;;;;;;;;;;batr;;;;;;;;;;;;;;;;;;;ba;;baty;;;;;;;;
103;bichonner;;;;;;;;;;;;;;;;;;;;;;;;biSOnâ;;;;;;;;;;;;;;;;;;;;;;
104;biffer;;;;;;;;;;;;;;;;;;;;;;;bif;;;;;;;;;;;;;;;;;;;;;;;
105;blasphémer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blasfEm;;;;;;;;;;
106;blesser;;;;;;;;;;;;;;;;;blEse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;bloquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blOke;;;;;;
108;boire;;;;;;;;;;;;;;;;;bwar;;;;;;;;;;;bwarE;;;byvô;;;;;;;;;by;;;;;;
109;bosser;;;;;;;;;;;;;;;;;;;;;;;bOs;;;;;;;;;bOs;;bOs;;;;;;;;;;;;
110;boucher;;;;;;;;;;;;;;;;;buSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
