lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S
abstenir		2.52774352651			0.493218249075	6.22688039457	0.739827373613	0.246609124538		0.493218249075	0.739827373613		0.431565967941	2.1578298397	0.0616522811344		0.431565967941	4.99383477189	28.1750924784						1.66461159063	1.35635018496	3.88409371147	6.04192355117	3.26757090012	0.863131935882	0.184956843403			0.431565967941	0.55487053021	1.35635018496	6.04192355117	3.88409371147	6.04192355117	1.35635018496	3.14426633785	0.863131935882	3.20591861899	0.863131935882	6.04192355117		0.55487053021		0.123304562269		0.55487053021
absterger																																																			
abstraire																			15.3225806452																		1.41129032258				30.6451612903	6.25	4.23387096774	11.4919354839	30.6451612903						
abuser		0.144270403957			0.144270403957	0.45342126958		0.206100577082	0.164880461665			0.0824402308326		0.618301731245	0.0412201154163		0.638911788953	4.84336356142	20.5894476505							0.762572135202	4.67848309975	11.7477328937	2.16405605936		0.474031327288	0.0412201154163	0.474031327288		0.185490519373	0.762572135202	11.7477328937	4.67848309975	1.17477328937	3.91591096455	11.7477328937	0.206100577082	1.13355317395	1.15416323166	15.0247320692						
abâtardir								12.7272727273											12.7272727273										25.4545454545													12.7272727273			36.3636363636						
abécher																																																			
abêtir						5.38461538462												10.7692307692	42.3076923077																				5.38461538462						36.1538461538						
abîmer		0.298826040555				1.79295624333		0.0213447171825	0.0213447171825	0.298826040555	0.34151547492	0.384204909285	0.298826040555				0.640341515475	2.62540021345	24.2262540021								1.06723585912	9.32764140875	1.17395944504		0.192102454642		0.192102454642		0.59765208111	0.149413020277	9.32764140875	1.06723585912	1.96371398079	2.54002134472	9.32764140875	2.77481323372	7.44930629669	4.18356456777	17.7161152615						
acagnarder		9.21052631579																18.4210526316	18.4210526316																								9.21052631579		44.7368421053						
accabler		0.199543899658			0.570125427594	3.10718358039							0.199543899658	0.769669327252			4.13340935006	9.49258836944	12.0581527936						0.199543899658		0.883694412771	11.2884834664	2.251995439					0.399087799316			11.2884834664	0.883694412771		2.90763968073	11.2884834664	1.02622576967	8.06727480046	4.81755986317	14.1676168757						
accaparer						1.16448326055											4.94905385735	10.9170305677	12.8093158661									13.8282387191	3.34788937409						1.01892285298		13.8282387191	0.291120815138			13.8282387191	1.01892285298	5.82241630277	2.91120815138	14.2649199418						
accastiller																																																			
accentuer		0.328484279681			0.938526513374	9.19755983107								0.328484279681			5.72501173158	19.0520882215	12.6231816049						0.328484279681		0.563115908024	8.77522290005	8.3998122947						0.37541060535		8.77522290005	0.563115908024		2.86250586579	8.77522290005	1.36086344439	4.59877991553	1.6424213984	4.78648521821						
accepter	0.0247297392779	0.602345792412			0.137779975977	2.00664170141	0.0794884476789	0.697731929626	0.20137073412	0.162509715255	0.272027132057	1.04924750936	0.275559951954	0.870840104571	0.272027132057	0.870840104571	0.574083233237	2.02783862079	14.1312795874				0.0123648696389	0.0123648696389	0.252596622624	0.64827245107	2.59485621423	10.0756023458	0.763089097718	0.0653571680916	0.743658588285	0.448668126899	0.743658588285	0.266727902212	0.987423161167	0.64827245107	10.0756023458	2.59485621423	1.42549282838	1.35836925034	10.0756023458	0.284392001696	1.33187310111	0.358581219529	9.82477213312		10.0756023458				10.0756023458
accidenter																			4.25531914894																						17.0212765957		23.4042553191		55.3191489362						
acclamer						3.50515463918					0.309278350515	0.412371134021			0.103092783505		7.9381443299	5.9793814433	12.4742268041							1.23711340206	2.57731958763	10.3092783505	2.78350515464						0.824742268041	1.23711340206	10.3092783505			3.29896907216	10.3092783505	0.927835051546	2.47422680412	5.25773195876	17.7319587629						
acclimater		2.57352941176				2.57352941176													56.25								0.735294117647								2.57352941176		7.72058823529	0.735294117647	2.57352941176	0.367647058824	7.72058823529			5.51470588235	10.6617647059						
accointer																																												50.0	50.0						
accoler						2.30263157895												4.60526315789	8.88157894737										4.60526315789		0.328947368421									2.30263157895	4.60526315789	13.4868421053	18.0921052632	15.4605263158	25.3289473684						
accommoder		0.318906605923			0.774487471526	3.0979498861		0.911161731207	0.0911161731207		0.956719817768	0.364464692483	0.318906605923	1.27562642369			5.19362186788	10.2050113895	22.5512528474						0.637813211845			12.4829157175	2.77904328018	0.318906605923	1.64009111617			0.637813211845	1.73120728929	0.318906605923	12.4829157175			2.14123006834	12.4829157175		1.36674259681	1.86788154897	3.05239179954						
accompagner	0.0372409757136	0.348469129891			0.252706620913	2.55632697577	0.0665017423456	0.4309312904	0.244726411832	0.210145505812	0.175564599793	0.643736865906	0.00532013938765	0.574575053866	0.138323624079	0.574575053866	1.37259596201	4.71364349746	12.5289282579						0.143643763467	0.266006969383	1.42579735589	12.8800574575	1.49229909824		0.114382996835	0.0319208363259	0.114382996835	0.0718218817333	0.348469129891	0.266006969383	12.8800574575	1.42579735589	1.6386029314	1.63062272232	12.8800574575	0.563934775091	3.6176947836	1.45239805283	7.22474928843		12.8800574575	0.138323624079	1.6386029314		
accomplir					0.27274498344	6.69199298656	0.301967660238	0.457821936489	0.224040522112	0.0487044613287	0.107149814923	1.12994350282	0.487044613287	0.740307812196	0.0194817845315		0.66238067407	3.73076173778	30.7227742061						0.194817845315	0.409117475161	0.52600818235	4.10091564387	2.46444574323		0.13637249172			0.20455873758	0.574712643678	0.409117475161	4.10091564387	0.52600818235	4.10091564387	2.01636469901	6.69199298656	1.27605688681	3.52620300019	4.10091564387	15.1665692577		1.93843756088				1.93843756088
accorder		0.219485428606		0.0325163597935	0.22354997358	1.36162256635	0.0569036296387	0.186969068813	0.292647238142	0.0528390846645	0.138194529122	0.455229037109	0.101613624355	0.808844449864	0.121936349226	0.808844449864	1.05678169329	4.21086859326	10.2914278746					0.0569036296387	0.357679957729	0.495874486851	2.76795512742	11.7058895257	0.812908994838		0.154452709019	0.085355444458	0.154452709019	0.0812908994838	0.333292687884	0.495874486851	11.7058895257	2.76795512742	0.528390846645	1.54859163517	11.7058895257	0.642198105922	2.91021420152	0.922651709141	5.81229931309		11.7058895257	0.121936349226			11.7058895257
accorer																																																			
accoster						8.29081632653	0.127551020408		0.382653061224					0.892857142857	1.02040816327		1.78571428571	7.39795918367	25.7653061224							0.127551020408	1.78571428571	10.3316326531	3.57142857143								10.3316326531	1.78571428571		5.10204081633	10.3316326531	0.892857142857	3.69897959184		6.37755102041						
accoter					2.84552845528	10.9756097561											5.69105691057	5.69105691057	2.84552845528										13.8211382114							2.84552845528				2.84552845528	5.69105691057	5.69105691057	10.9756097561	8.13008130081	21.9512195122						
accouardir																																																			
accoucher						1.90422850742				0.392047045645		0.112013441613		0.140016802016			0.644077289275	1.62419490339	28.1993839261								0.784094091291	16.1299355923	1.59619154299						0.644077289275		16.1299355923	0.784094091291	1.84822178661	0.616073928871	16.1299355923		0.448053766452	0.224026883226	11.6493979278						
accouder		2.60387811634			1.49584487535	16.4542936288							0.387811634349	1.108033241			1.49584487535	3.37950138504	7.92243767313										5.26315789474							0.387811634349					6.86980609418	0.775623268698	14.0166204986	8.75346260388	29.0858725762						
accouer																																																			
accoupler					1.20898100173	1.3816925734					0.518134715026	0.863557858377		1.20898100173			4.83592400691	3.62694300518	27.115716753										2.24525043178						1.20898100173		7.08117443869			14.3350604491	7.08117443869	5.35405872193	1.3816925734	14.8531951641	5.69948186528						
accourcir																													100.0																						
accourir		6.96159122085			3.25788751715	7.20164609053		0.342935528121			0.377229080933	0.411522633745		0.514403292181	0.0342935528121		5.24691358025	8.88203017833	11.6598079561					0.240054869684	0.240054869684		1.74897119342	3.56652949246	1.23456790123		0.0685871056241			0.480109739369	0.82304526749	1.20027434842	3.56652949246	1.74897119342	3.56652949246	3.87517146776	11.9341563786	1.88614540466	1.64609053498	6.96159122085	8.29903978052		0.99451303155		0.0342935528121		0.99451303155
accoutrer																																									11.4754098361		11.4754098361	26.2295081967	50.8196721311						
accoutumer		0.661625708885				0.661625708885								0.661625708885			1.89035916824	1.89035916824	13.3270321361										1.32325141777						0.661625708885		5.38752362949			1.89035916824	5.38752362949	3.21361058601	13.7996219282	11.7202268431	37.5236294896						
accrocher		0.453402765308			0.282815586281	2.5588076854		0.233435087089	0.076315316933		0.00897827258036	0.0987609983839	0.219967678219	0.664392170946	0.076315316933	0.664392170946	2.150296283	4.89315855629	11.1240797271						0.0628479080625	0.0852935895134	3.72149398456	13.2743760101	2.25354641767		0.107739270964	0.0314239540312		0.0314239540312	0.049380499192	0.0852935895134	13.2743760101	3.72149398456	0.969653438678	1.80014365236	13.2743760101	2.96731908781	5.35105045789	4.55198419824	9.91201292871				0.969653438678		
accroire																			100.0																																
accroupir					1.1254789272	13.2902298851								0.191570881226			0.646551724138	0.526819923372	6.68103448276									7.35153256705	0.814176245211							0.335249042146	7.35153256705		7.35153256705	0.862068965517	13.2902298851	1.93965517241	9.05172413793	7.35153256705	21.4559386973		0.191570881226				0.191570881226
accroître					1.90088255261	5.63475899525					0.543109300747	0.81466395112					1.42566191446	6.44942294637	36.9993211134						0.475220638153		0.271554650373		1.22199592668						0.0678886625933		0.543109300747	0.271554650373		2.10454854039	19.5519348269	2.0366598778	8.01086218601	1.22199592668	9.97963340122						0.475220638153
accréditer						3.66492146597											4.18848167539	3.66492146597	40.3141361257										3.66492146597														9.42408376963	15.7068062827	19.3717277487						
accueillir		3.58868184955			1.31124913734	6.20255348516	0.172532781228	0.276052449965	0.267425810904	0.00862663906142	0.319185645273	1.32850241546		0.517598343685		0.517598343685	0.931677018634	5.4347826087	24.4824016563						0.172532781228	1.68219461698	0.957556935818	9.19599723948	1.38026224983			0.0172532781228		0.146652864044	0.776397515528	1.68219461698	9.19599723948	0.957556935818	0.250172532781	2.29468599034	9.19599723948	0.569358178054	2.48447204969	3.58868184955	10.0931677019						
acculer					1.08695652174	1.08695652174						0.155279503106		2.17391304348			3.10559006211	4.19254658385	15.6832298137						1.08695652174		0.621118012422		2.17391304348					1.08695652174			6.52173913043	0.621118012422		2.32919254658	6.52173913043	1.24223602484	5.90062111801	10.4037267081	34.0062111801						
acculturer																																																			
accumuler		0.204498977505			0.40899795501	0.40899795501			0.0292141396436					0.847210049664			5.25854513585	7.62489044698	13.3508618171								0.671925211803	7.3035349109	5.2293309962								7.3035349109	0.671925211803		5.0248320187	7.3035349109	9.75752264096	9.93280747882	8.1799591002	10.487876132						
accuser		0.319672655201			0.134262515184	2.14820024295	0.012786906208		0.0255738124161		0.140655968288	0.632951857298	0.0511476248322	0.613771497986	0.0831148903523	0.613771497986	1.39377277668	5.19148392047	10.9264113548						0.12786906208	0.191803593121	2.62131577265	12.3329710377	2.12262643054	0.0447541717282	0.313279202097	0.0639345310402	0.313279202097	0.108688702768	0.537050060738	0.191803593121	12.3329710377	2.62131577265	1.78377341602	1.9116424781	12.3329710377	0.300492295889	2.69164375679	1.61115018221	10.8241161051						12.3329710377
accéder	0.255754475703	0.511508951407				1.35184508586		0.109609061016		0.0730727073438		0.438436244063		0.876872488126			1.24223602484	10.6686152722	44.208987943								0.401899890391	8.65911582024	0.840336134454		0.58458165875			0.511508951407	0.292290829375	0.730727073438	8.65911582024	0.401899890391	0.146145414688	1.71720862258	8.65911582024										8.65911582024
accélérer		0.581992468333			0.342348510784	3.59465936323				0.0171174255392		0.0342348510784		0.65046217049	0.0171174255392		0.701814447107	4.74152687436	12.5299554947							0.256761383088	2.37932214995	19.4625128381	2.2252653201						0.256761383088	0.256761383088	19.4625128381	2.37932214995	0.65046217049	1.31804176652	19.4625128381	0.42793563848	4.21088668264	0.136939404314	3.25231085245				0.65046217049		
acenser																																																			
achalander																	87.5																											12.5							
acharner		0.191309100847			0.929215632687	3.3615742006		0.0546597430992				0.409948073244		1.31183383438			4.50942880568	9.15550696912	5.38398469527								0.464607816343	14.7308007652	4.07215086089						0.0273298715496		14.7308007652	0.464607816343	1.09319486198	3.580213173	14.7308007652	2.02241049467	5.35665482372	5.13801585133	8.28095107953						
acheminer	0.810185185185	1.62037037037			1.62037037037	4.86111111111					0.810185185185						3.125	10.3009259259	20.4861111111									9.49074074074	3.35648148148							3.125	9.49074074074			7.17592592593	9.49074074074	3.47222222222	2.19907407407	3.35648148148	5.20833333333						
acheter	0.0347935005741	0.436658432205			0.175707177899	1.29779757141	0.153091402526	1.63181517692	0.118297901952	0.3757698062	0.14787237744	0.821126613549	0.139174002296	0.488848683066	0.0730663512056	0.488848683066	0.487109008037	1.6787864027	29.9850387948					0.0121777252009	0.0347935005741	0.32183988031	2.04063880867	9.45513378101	0.461013882607	0.0121777252009	0.433179082147	0.0417522006889	0.433179082147	0.076545701263	0.38968720643	0.32183988031	9.45513378101	2.04063880867	1.41957482342	1.41609547337	9.45513378101	0.824605963606	2.53122716677	1.28214049616	17.5881145402				1.41957482342		
achever	0.0482592209583	0.379179593244			0.847983453981	8.21785591175	0.0413650465357	0.0413650465357	0.0137883488452		0.227507755946	0.875560151672	0.282661151327	0.372285418821	0.00689417442261		2.97138917615	8.94863840055	14.8155808342						0.420544639779	0.330920372285	0.73767666322	13.4643226474	1.78559117546					0.0965184419166	0.675629093416	0.330920372285	13.4643226474	0.73767666322	0.268872802482	1.95794553602	13.4643226474	0.193036883833	3.06790761806	0.337814546708	10.5756635643						
achopper		7.14285714286				7.14285714286								20.4081632653			7.14285714286	7.14285714286	1.02040816327																		14.2857142857				14.2857142857		7.14285714286		14.2857142857						
achromatiser																																																			
acidifier																																																			
aciduler																																										15.9090909091	2.27272727273	15.9090909091	65.9090909091						
aciseler																																																			
aciérer																																																			
aciériser																																																			
acoquiner						5.83941605839													38.6861313869																		8.02919708029				8.02919708029		11.6788321168	20.4379562044	7.29927007299						
acquiescer		4.21172453045			0.796812749004	26.1809903244					0.398406374502			2.04894706887			0.796812749004	6.48833238475	9.50483779169									15.3101878201	1.25213431986							0.398406374502	15.3101878201		0.113830392715	1.8782014798	15.3101878201										
acquitter		0.388672959467				2.60966129928		0.444197667962	0.555247084953			0.610771793448	0.444197667962	1.88784008884			1.11049416991	4.7196002221	16.3242642976						0.388672959467		0.888395335924	10.6052193226	1.1660188784		0.0555247084953				0.555247084953		10.6052193226	0.888395335924	1.1660188784	0.388672959467	10.6052193226		3.33148250972	1.88784008884	17.7679067185		10.6052193226				
acquérir		44.6670135276			0.364203954214	0.494276795005		0.208116545265			0.208116545265	0.0260145681582	0.182101977107	0.728407908429			0.780437044745	2.75754422477	24.9219562955									0.28616024974	0.650364203954					0.364203954214		0.208116545265	0.28616024974		0.28616024974	2.2372528616	5.46305931322	3.1737773153	10.4578563996				0.624349635796				0.624349635796
actionner		1.85873605948				4.36802973978					0.650557620818			0.743494423792			5.11152416357	7.52788104089	15.3345724907						0.650557620818		3.15985130112	12.9182156134	5.85501858736								12.9182156134	3.15985130112		0.371747211896	12.9182156134	0.650557620818	1.11524163569	1.30111524164	9.38661710037						
activer		0.197628458498			0.395256916996	0.762281197064		0.16939582157		0.0282326369283		0.367024280068					2.37154150198	3.1902879729	12.2247317899							1.8915866742	6.60643704122	12.4223602484	1.60926030491						0.0564652738566	1.8915866742	12.4223602484	6.60643704122	0.98814229249	2.14568040655	12.4223602484	0.310559006211	1.66572557877	0.423489553924	6.40880858272						12.4223602484
actualiser																			25.4901960784								7.8431372549														15.6862745098	15.6862745098	17.6470588235		17.6470588235						
acérer																																										30.081300813		41.4634146341	28.4552845528						
acétifier																																																			
adapter		0.217797137523			0.248911014312	0.466708151836	0.373366521469	0.373366521469	0.155569383945	0.124455507156	0.248911014312	0.777846919726		0.622277535781			0.466708151836	2.24019912881	29.0914747978						0.217797137523		0.435594275047	9.24082140635	1.61792159303		0.217797137523				0.248911014312		9.24082140635	0.435594275047	0.715619166148	1.4312383323	9.24082140635	3.95146235221	6.84505289359	3.57809583074	17.1748599876						
additionner														1.25448028674			1.25448028674	1.25448028674	13.2616487455								0.358422939068	14.8745519713	9.4982078853					3.76344086022	1.25448028674		14.8745519713	0.358422939068		5.91397849462	14.8745519713	7.3476702509	3.76344086022	3.76344086022	2.32974910394						
adhérer						0.185528756957								0.927643784787			2.5974025974	8.90538033395	24.4897959184								4.45269016698	14.9350649351	4.08163265306								14.9350649351	4.45269016698		5.10204081633	14.9350649351										
adirer																																																			
adjectiver																																																			
adjoindre						1.94174757282					0.970873786408	0.277392510402						0.970873786408	10.1248266297						0.970873786408				0.970873786408								2.91262135922				34.6740638003		2.77392510402	7.76699029126	34.6740638003		0.970873786408				
adjuger																		5.14705882353	1.10294117647								0.367647058824	6.98529411765	2.57352941176								6.98529411765				6.98529411765		1.47058823529	0.735294117647	67.6470588235						
adjurer		5.01253132832				3.50877192982		0.250626566416						3.50877192982			1.75438596491	15.5388471178	11.7794486216										13.5338345865						1.75438596491		17.2932330827				17.2932330827				8.77192982456						
admettre		12.1068130103			0.0468478115379	2.06130370767	0.107080712087	0.414937759336	0.281086869228	0.194083790657	0.0602329005488	0.435015392852	0.153928523625	0.722794806585	0.187391246152	0.722794806585	0.702717173069	2.57662963459	25.1974300629						0.227546513184	4.68478115379	1.80029447196	9.40971757462	2.58332217909		0.174006157141	0.0200776335163	0.174006157141	0.0936956230759	0.528711015928	4.68478115379	9.40971757462	1.80029447196	9.40971757462	0.562173738455	4.2029179494	0.495248293401	2.52308927854				0.522018471423		0.200776335163		0.522018471423
administrer		0.459317585302				3.08398950131	0.196850393701	1.0498687664				0.787401574803		0.984251968504			2.29658792651	5.11811023622	25.9842519685						0.459317585302		1.1154855643	11.3517060367	2.16535433071								11.3517060367	1.1154855643	0.524934383202	2.49343832021	11.3517060367	0.984251968504	3.93700787402	1.96850393701	11.2204724409						
admirer	0.0413223140496	0.56080283353			0.436835891381	1.80047225502		0.0649350649351	0.047225501771		0.106257378985	0.0708382526564	0.548996458087	5.58441558442	0.12987012987	5.58441558442	1.10979929162	7.36717827627	14.2502951594							0.613931523022	2.16646989374	16.0743801653	1.12160566706		0.106257378985		0.106257378985		0.177095631641	0.613931523022	16.0743801653	2.16646989374	0.726092089728	1.06847697757	16.0743801653	0.182998819362	1.06257378985	0.348288075561	3.61275088548						
admonester						10.7692307692												10.7692307692	1.53846153846						10.7692307692																33.8461538462			21.5384615385	10.7692307692						
adoniser																													100.0																						
adonner		1.60550458716				5.38990825688							1.60550458716	1.72018348624			8.83027522936	10.3211009174	17.8899082569										1.03211009174						0.802752293578		15.5963302752	0.114678899083		6.19266055046	15.5963302752	0.802752293578	0.229357798165	4.81651376147	7.45412844037						
adopter		0.814393939394			0.92803030303	2.91666666667	0.0378787878788	0.227272727273	0.30303030303		0.340909090909	0.265151515152	0.378787878788	0.265151515152			0.284090909091	3.82575757576	31.1363636364						0.776515151515	0.795454545455	0.568181818182	6.64772727273	1.64772727273					0.265151515152	0.681818181818	0.795454545455	6.64772727273	0.568181818182		0.984848484848	6.64772727273	1.47727272727	7.36742424242	1.32575757576	21.0795454545						
adorer		0.0247618492732			0.00291315873802	0.0189355317971	0.00145657936901	0.0524368572844	0.0742855478195	0.0873947621406	0.0451539604393	0.129635563842	0.0422408017013	1.27159378915	0.0480671191773	1.27159378915	0.492323826725	2.40044280013	2.1994348472							0.256357968946	0.182072421126	20.1663413639	0.0407842223323	0.0174789524281	1.08660820928	0.0116526349521	1.08660820928	0.0757421271885	0.202464532292	0.256357968946	20.1663413639	0.182072421126	0.675852827221	1.99114399744	20.1663413639	0.0670026509745	0.595740961925	0.134005301949	2.31887435546					1.99114399744	20.1663413639
adosser		0.846192135391			0.696864111498	11.100049776								0.746640119462			1.34395221503	3.38476854156	7.06819313091								0.199104031857	5.77401692384	0.746640119462								5.77401692384	0.199104031857		0.348432055749	5.77401692384	1.74216027875	13.1408661025	7.41662518666	33.6983573917						
adouber						18.4210526316													2.63157894737																										78.9473684211						
adoucir					0.386740331492	14.0883977901						1.27071823204					1.49171270718	7.56906077348	28.3977900552						0.386740331492		0.718232044199	2.20994475138	1.87845303867						0.883977900552		2.20994475138		2.20994475138	1.98895027624	14.0883977901	1.60220994475	7.5138121547	2.20994475138	8.01104972376		0.441988950276				0.441988950276
