;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
48;achever;aS6vam;;;;aS6vEr;aS6va;;;;;;;;;;;;aS6vE;;;;;;aS6ve;aSEv;aS6vâ;;;;;;aSEv6rE;aS6vô;aSEv;;;;aSEv;;aS6ve;;aS6ve;;;;;;
49;achopper;;;;;;;;;;;;;;;;;;aSOpE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;acquiescer;;;;;;akjEsa;;;;;;;;;;;akjEsE;;;;;;;;;;;;;;;;;;;;akjEs;akjEs;;;;;;;;;;
51;acquitter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akit;;;;;;;;akite;;;;;;
52;acquérir;;aki;;;;;;;;;;;;;;;;;akErir;;;;;;;;;;;;;;;;;;akjEr;;;;;;;akjEr;;;;
53;actionner;;aksjOnE;;;;;;;;;;;;;;;aksjOnE;aksjOnE;;;;;;;;;;;;;;;;;;;;;;;;aksjOne;;;;;;
54;activer;;;;;;;;;;;;;;;;;;aktivE;;;;;;;aktiv;;;;;;;;;;;;;aktiv;;;;;;;;;;aktiv
55;adapter;;;;;;;;;;;;;;;;;;;adapte;;;;;;;;;;;;;;;adapt;;;;;;;;adapte;;;;;;
56;additionner;;;;;;;;;;;;;;;;;;;;;;;;;adisjOn;;;;;;;;;;;;;;;;;;;;;;;
57;adhérer;;;;;;;;;;;;;;;;;;;adEre;;;;;;adEr;;;;;;;;;;;;;;;;;;;;;;;
58;adjuger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZyZe;;;;;;
59;adjurer;;;;;;;;;;;;;;;;;;;adZyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;admettre;;;;;;admi;;;;;;;;;;;;;admEtr;;;;admEtô;;admE;admEtâ;;;;;;;admEtô;admE;;admE;;;;admiz;;;;;;;;
61;administrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;administr;;;;;;;;;;
62;admirer;;;;;;admira;;;;;;;;admirE;;admirE;admirE;;admire;;;;;admire;admir;;;;;;;;;admir;admire;;;admir;;;;;;;;;;
63;adonner;;;;;;;;;;;;;;;;;adOnE;;adOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;adopter;;;;;;adOpta;;;;;;;;;;;;adOptE;adOpte;;;;;;;;;;;;;;adOptô;adOpt;adOpte;;;adOpt;;;;adOpte;;;;;;
65;adorer;;;;;;;;adOr6rE;;;;;;;;adOrE;;adOrE;adOre;;;;adOrô;adOre;adOr;;;adOr6rE;;;adOr6rE;;adOrô;adOr;;;adOr;adOr;;adOre;;adOre;;;;;adOr;adOr
66;adosser;;;;;;;;;;;;;;;;;;;adOse;;;;;;;;;;;;;;;;;;;;;;adOse;adOse;;;;;;
67;adoucir;;;;;;adusi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adusi;;;;;;;;;;
68;adresser;;;;;;adrEsa;;adrEs6rE;;;;;adrEsjô;adrEsE;;;;adrEsE;adrEse;;;;;adrEse;adrEs;adrEsâ;;;;;adrEs6rE;;;adrEs;;;;adrEs;;adrEse;;adrEse;;adrEs;;;;adrEs
69;advenir;;;;;;advê;;;;;;;;;;;;;adv6nir;;;advê;;;;;;;;;;;;;;;;;;;;;;;;;;
70;affadir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afadi;;;;;;;;
71;affaiblir;;;;;;;;;;;;;;;;;;;afEblir;;;;;;;;;;;;;;;;;;;;;afEbli;;afEbli;;;;;;
72;affairer;;;;;;;;;;;;;;;;;;afErE;;;;;;;afEr;;;;;;;;;;;afEr;;;;;;;;;;;;
73;affaisser;;;;;;;;;;;;;;;;;;;afEse;;;;;;;;;;;;;;;;;;;;;;afEse;;;;;;;
74;affaler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afale;afale;;;;;;
75;affamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afame;afame;afame;;;;;;
76;affecter;;;;;;;;;;;;;;;;;;afEktE;;;;;afEktô;;afEkt;afEktâ;;;;;;;afEktô;afEkt;;;;afEkt;afEkte;;;afEkte;;;;;;
77;affectionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afEksjOn;;;;;;;;;;;;;;
78;affermir;;;;;;afErmi;;;;;;;;;;;;;;;;;;;;afErmisâ;;;;;;;;;;;;afErmi;;;;afErmi;;;;;;
79;afficher;;;;;;afiSa;;;;;;;;;;afiSE;;afiSE;afiSe;;;;;;afiS;;;;;;;afiS6rE;;afiS;;;;;;;;;;;;;;
80;affirmer;;;;;;afirma;;;;;;;;;;afirmE;;afirmE;afirme;;;;;;afirm;afirmâ;;;;;;;;afirm;afirme;;afirm;afirm;;;;;;;;;;afirm
81;affliger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afliZ;;;;afliZe;;;;;;
82;affluer;;;;;;;;;;;;;;;;;aflyE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;affoler;;;;;;;;;;;;;;;;;;;;;;;;afOle;afOl;afOlâ;;;;;;;;afOl;;;;afOl;;;;afOle;;;;;;
84;affranchir;;;;;;afrâSi;;;;;;;;;;;;;;;;;;;afrâSi;;;;;;;;;afrâSi;;;;afrâSi;;;;afrâSi;;;;;;
85;affronter;;;;;;;;afrôt6rE;;;;;;;;;;;;;;;;;;afrôtâ;;;;;;;;afrôt;;;;afrôt;;;;;;;;;;
86;affûter;;;;;;;;;;;;;;;;;;;afyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;agacer;;;;;;agasa;;;;;;;;;;;agasE;agasE;;;;;;;;;;;;;;;;;;;agas;agas;;;;;;;;;;
88;agenouiller;;;;;;aZ6nuja;;;;;;;;;;;;;aZ6nuje;;;;;;aZ6nuj;;;;;;;;;;;;aZ6nuj;;;;;aZ6nuje;;;;;;
89;agglutiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aglytin;aglytin;;;aglytine;;;;;;;
90;aggraver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agrave;;;;;;
91;agir;;;;;;aZi;;;;;;;;;;;aZisE;aZisE;aZir;;;;aZisô;;aZi;;;;;;;aZirE;;aZi;aZise;aZi;aZis;aZi;;;;;;aZis;;;;aZis
92;agiter;;aZitE;;;;aZita;;;;;;;;aZitE;;;aZitE;aZitE;;;;;;;aZit;;;;;;;;;aZit;;;;aZit;aZite;aZite;;aZite;;;;;;
93;agonir;;;;;;;;;;;;;;;;;;;agOnir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;agoniser;;;;;;;;;;;;;;;;;;;;;;;;;agOniz;agOnizâ;;;;;;;;;;;;;;;;;;;;;;
95;agrandir;;;;;;;;;;;;;;;;;;agrâdisE;agrâdir;;;;;;agrâdi;agrâdisâ;;;;;;;;agrâdi;;;;;;agrâdi;agrâdi;;;;;;;
96;agresser;;;;;;;;;;;;;;;;;;;agrEse;;;;;;;;;;;;;;;;;;;agrEs;;agrEse;;agrEse;;;;;;
97;agripper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agrip;agripe;;;agripe;;;;;;
98;agréer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agrEe;;;;;;
99;agrémenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agrEmâte;;;;;;;;
100;aguerrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agEri;;;;;;
101;ahaner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aan;;;;;;;;;;;;;;
102;aider;;;;;;;;;;;Ed6rô;Ed6ra;;;;;;EdE;Ede;;;;;Ede;Ed;Edâ;;;;;;;Edô;Ed;Ede;Ed;Ed;Ed;;Ede;Ede;Ede;;Ed;Edje;Ed;Ed;Ed
103;aigrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Egri;;;;;;
104;aiguiser;;;;;;;;;;;;;;;;;;;;;;;;;Egiz;;;;;;;;;;;;;;;;;;;;;;;
105;aimanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Emâte;;;;;;
106;aimer;;;;;EmEr;Ema;;Em6rE;;Em6ra;;Em6ra;Emjô;EmE;Emje;EmE;EmE;EmE;Eme;;;;Emô;Eme;Em;;;Em6rE;Em6rje;Em6rE;;Em6rE;Emô;Em;Eme;Em;Em;Em;Eme;Eme;;Eme;Emjô;Em;Emje;Em;Em;Em
107;ajouter;;aZutE;;;;aZuta;;;aZut6re;;;aZut6ra;;aZutE;;aZutE;aZutE;aZutE;aZute;;;;aZutô;aZute;aZut;aZutâ;;;;;;;;aZut;aZute;;;aZut;;;;aZute;;;;;;aZut
108;ajuster;;;;;;aZysta;;;;;;;;;;;;;;;;;;;aZyst;;;;;;;;;;;;;;;;aZyste;;;;;;;
109;alerter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alErt;;;;alErt;;;alErte;;;;;;;
110;aligner;;;;;;;;;;;;;;;;;aliJE;;aliJe;;;;;;;;;;;;;;;aliJ;;;;aliJ;aliJe;;aliJe;aliJe;;;;;;
111;alimenter;;;;;;;;;;;;;;;;;alimâtE;;alimâte;;;;;;;;;;;;;;;;;;;alimât;;;;;;;;;;
112;aliter;;;;;;alita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;aliéner;;;;;;;;;;;;;;;;;;;aljEne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;allaiter;;;;;;;;;;;;;;;;;;alEtE;alEte;;;;;;;;;;;;;;;alEt;;;;;;;;;;;;;;
115;aller;alam;alE;;;alEr;ala;irô;irE;ire;ira;irô;ira;aljô;alE;alje;alE;alE;alE;ale;;;;alô;ale;va;alâ;irjô;irE;;irE;irE;irE;alô;vE;ale;va;vô;va;ale;ale;ale;ale;;aj;;aj;aj;aj
116;allier;;;;;;;;;;;;;;;;;;;alje;;;;;;ali;;;;;;;;;;;;;;alje;alje;alje;;;;;;;
117;allonger;;;;;;alôZa;;;;;;;;;;;;alôZE;alôZe;;;;;alôZe;alôZ;;;;;;;;;alôZ;;;alôZ;alôZ;;alôZe;;alôZe;;alôZ;;;;
118;allumer;;;;;;alyma;;;;;;;;;;;;alymE;alyme;;;;alymô;;alym;alymâ;;;;;;;;alym;alyme;alym;;alym;alyme;;;alyme;;;;;;
119;alléger;;;;;;;;;;;;;;;;;;;alEZe;;;;;;;;;;;;;;;;;;;;;alEZe;;alEZe;;;;;;
120;alourdir;;;;;;alurdi;;;;;;;;;;;;;;;;;;;;;;;;;;;;alurdi;;;;alurdi;alurdi;;alurdi;;;;;;;
121;alpaguer;;;;;;;;;;;;;;;;;;;alpage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;alterner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;altErn;;;;;;;;;;
123;altérer;;;;;;;;;;;;;;;;;;;altEre;;;;;;altEr;;;;;;;;;altEr;;;;;;altEre;;;;;;;;
124;amadouer;;;;;;;;;;;;;;;;;;;;;;;;;amadu;;;;;;;;;;;;;;;;;;;;;;;
125;amarrer;;;;;;;;;;;;;;;;;;;amare;;;;;;;;;;;;;;;;;;;;amare;;;amare;;;;;;
126;amasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amase;;;;;;
127;amener;;;;;am6nEr;;;;;;;;;;;am6nE;;am6nE;am6ne;;;;;am6ne;amEn;;;;;;;;;amEn;am6ne;amEn;;amEn;;am6ne;am6ne;am6ne;;amEn;;amEn;amEn;amEn
128;amenuiser;;;;;;;;;;;;;;;;;;am6nHizE;;;;;;;;;;;;;;;;;;;am6nHiz;;;;;;;;;;;
129;amidonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amidOne;;;;;;
130;amincir;;;;;;;;;;;;;;;;;amêsisE;;;;;;;;;;;;;;;;;;;;;;;amêsi;;;;;;;;
131;amnistier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amnistje;;;;;;;
132;amocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amOSe;amOSe;;;;;;;
133;amoindrir;;;;;;amwêdri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amwêdri;amwêdri;;;;;;
134;amollir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amOli;;;;;;;;;;
135;amorcer;;;;;;;;;;;;;;;;;;;amOrse;;;;;;;;;;;;;;;amOrs;;;;amOrs;;;;;;;;;;
136;amortir;;;;;;amOrti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amOrtis;;;;
137;amplifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âplifje;;;;;;;;
138;amputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âpyt;;;;;;;;;;;;;;
139;amuser;;;;;;;;amyz6rE;;amyz6ra;amyz6rô;;;;;amyzE;amyzE;amyzE;amyze;;;;;;amyz;amyzâ;;;;;;;;amyz;amyze;;amyz;amyz;;amyze;amyze;amyze;;amyz;;amyz;;amyz
140;améliorer;;;;;;;;;;;amEljOr6rô;;;;;;;;amEljOre;;;;;;amEljOr;;;;;;;;;amEljOr;;;;;amEljOre;;;;;;;;;
141;aménager;;;;;;;;;;;;;;;;;;;amEnaZe;;;;;;;;;;;;;;;;;;;;;amEnaZe;;amEnaZe;;;;;;
142;analyser;;;;;;;;;;;;;;;;;;;;;;;;;analiz;;;;;;;;;;;;;analiz;;;;analize;;;;;;
143;ancrer;;;;;;;;;;;;;;;;;;;âkre;;;;;;;;;;;;;;;;;;;;;âkre;;âkre;;;;;;
144;angliciser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âglisize;;;;;;
145;angoisser;;;;;;;;;;;;;;;;;;;;;;;;;âgwas;;;;;;;;;;;;;âgwas;;;;;;;;;;
146;animer;;animE;;;;;;;;;;;;;;;animE;animE;anime;;;;;;;;;;;;anim6rE;;;anim;;;;;;anime;;anime;;;;;;
147;annexer;;;;;;;;;;;;;;;;;;;anEkse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;annoncer;;;;;anôsEr;anôsa;;anôs6rE;;;;;;;;;anôsE;anôsE;anôse;;;anôsa;;;anôs;anôsâ;;;;;;;;anôs;anôse;;anôs;anôs;;anôse;;anôse;;;;;;
149;annuler;;;;;;;;;;;;;;;;;;;anyle;;;;;;;;;;;;;;;anyl;;;;anyl;;;;anyle;;;;;;
150;anticiper;;;;;;;;;;;;;;;;;;âtisipE;;;;;;;;;;;;;;;;;;;;;;âtisipe;;;;;;;;
151;anéantir;;;;;;anEâti;;;;;;;;;;;;;anEâtir;;;;;;;;;;;;;;;;;anEâti;;;;anEâti;anEâti;;;;;;;
152;apaiser;;;;;;;;;;;;;;;;;;apEzE;apEze;;;apEza;;;;apEzâ;;;;;;;;;;;apEz;apEz;apEze;;;apEze;;;;;;
153;apercevoir;;apErsy;;;apErsyr;apErsy;;;;;;apErs6vra;apErs6vjô;;;;apErs6vE;apErs6vE;apErs6vwar;;;apErsy;;;apErswa;apErs6vâ;;;;;;;;apErswa;;apErswa;apErswav;apErswa;;apErsy;apErsy;apErsy;;apErswav;;;;apErswav
154;apitoyer;;;;;;;;;;;;;;;;;;;apitwaje;;;;;;;;;;;;;;;apitwa;;;;;;;;apitwaje;;;;;;
155;aplanir;;;;;;;;;;;;;;;;;;;aplanir;;;;;;;;;;;;;;;;;;;;;;;aplani;;;;;;
156;aplatir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aplati;;aplati;;;;aplati;;;;;;
157;apostropher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apOstrOf;;;;;;;;;;;;
158;apparaître;;;;;;apary;;aparEtrE;;;;;;;;;aparEsE;aparEsE;aparEtr;;;;;;;;;;;;;aparEtrE;;;aparEse;;aparEs;aparE;;apary;apary;apary;;;;;;
159;appareiller;;;;;;;;;;;;;;;;;;;aparEje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;apparier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aparje;;;;;;;
161;appartenir;;;;;;;;;;;;apartjêdra;;apart6nE;;;apart6nE;apart6nE;apart6nir;;;apartê;;;apartjê;apart6nâ;;;;;;;;apartjê;;apartjê;apartjEn;apartjê;;;;;;;;;;
162;appauvrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apOvri;;;;;;
163;appeler;;;;;;ap6la;;apEl6rE;;;;apEl6ra;;ap6lE;ap6lje;ap6lE;ap6lE;ap6lE;ap6le;;;;ap6lô;ap6le;apEl;ap6lâ;;apEl6rE;;;;apEl6rE;ap6lô;apEl;ap6le;apEl;apEl;apEl;ap6le;ap6le;ap6le;ap6le;;apEl;;apEl;;apEl
164;appesantir;;;;;;ap6zâti;;;;;;;;;;;;;ap6zâtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;applaudir;;;;;;aplOdi;;;;;;;;;;;;;aplOdir;;;;;;;;;;;;;;;aplOdi;aplOdise;aplOdi;;aplOdi;aplOdi;;;aplOdi;;;;;;
166;appliquer;;;;;;;;;;;;;;;;;;aplikE;aplike;;;;;aplike;aplik;aplikâ;;;;;;;;aplik;;;;aplik;;aplike;;;;;;;;
167;apporter;;;;;;apOrta;;apOrt6rE;;;;;;;;apOrtE;apOrtE;apOrtE;apOrte;;;;;;apOrt;apOrtâ;;;;;;apOrt6rE;apOrtô;apOrt;apOrte;;apOrt;apOrt;;apOrte;apOrte;apOrte;;apOrt;;;;apOrt
168;apprendre;;apri;;apri;;apri;;;aprâdre;aprâdra;;aprâdra;;;;apr6nE;;apr6nE;aprâdr;;;;;apr6ne;aprâ;apr6nâ;;;aprâdrie;;;;;aprâ;apr6ne;aprâ;aprEn;aprâ;apriz;apriz;;;;aprEn;;aprEn;;aprEn
169;apprivoiser;;;;;;;;;;;;;;;;;;;aprivwaze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;approcher;;;;;;aprOSa;;;;;;;aprOSjô;aprOSE;;aprOSE;aprOSE;aprOSE;aprOSe;;;;;aprOSe;aprOS;;;;;;;;aprOSô;aprOS;aprOSe;;aprOS;aprOS;;aprOSe;;aprOSe;;aprOS;;aprOS;;
171;approfondir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aprOfôdi;;;;;;;;
