;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
12;aboucher;;;;;;;;;;;;;;abuSè;;;;;abuSe;;;;;;;;;;;;;;;;;;;;;;;;;abuSe;;;;;;;
13;abouler;;;;;;;;;;;;;;;;;;;abule;;;;;;;;abule;abul;;;;;;;;;;;;;abul;;;;;;;;;;
14;aboutir;;;;;abutir;abuti;;;;;abutirô;abutira;;;;;abutisè;abutisè;abutir;;;;;;;;;;abutisâ;;abutirè;;;abutirè;abutirè;;abuti;;abuti;abutis;abuti;;;;;;abutis;;;;abutis
15;aboyer;;;;;;abwaja;;;;;;abwara;;;;;abwajè;abwajè;abwaje;;;;;;;;;abwa;abwajâ;;;;;;;abwajô;abwa;;;abwa;abwa;;;;;;;;;;
16;abreuver;;;;;;abr6va;;;;;;abr6v6ra;;;;;abr6vè;abr6vè;abr6ve;;;;;;;;;abr9v;abr6vâ;;;;;;;;abr9v;;;abr9v;abr9v;;;abr6ve;abr6ve;;;;;;
17;abriter;;;;;abritEr;abrita;;;;;abrit6rô;;abritjô;;;;abritè;abritè;abrite;;;;;;;abritô;abrite;abrit;abritâ;;;;;;abrit6rè;abritô;abrit;abrite;abrit;abrit;abrit;abrite;abrite;abrite;abrite;;;;;;
18;abroger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abrOZ;;abròZe;abròZe;abròZe;abròZe;;;;;;
19;abrutir;;;;;;abryti;;;;;;abrytira;;;;;;abrytisè;abrytir;;;;;;;;;abryti;;;;;;;;;abryti;;abryti;abrytis;abryti;;abryti;abryti;abryti;;;;;;
20;abréger;;abrèZè;;;;;;;;;;;;;;;;abrèZè;abrèZe;;;;;;;abrèZô;abrèZe;abrEZ;;;;;;;abrèZ6rè;;abrEZ;;;abrEZ;abrEZ;;abrèZe;;abrèZe;;;;;;
21;absenter;;;;;;absâta;;absât6rè;;;;;;absâtè;;;absâtè;absâtè;absâte;;;;;;;;;;;;;;;;absât6rè;;absât;;;;absât;;absâte;;absâte;;;;;;absât
22;absorber;;;;;absOrbEr;absOrba;;;;;;absOrb6ra;absOrbjô;absOrbè;;;absOrbè;absOrbè;absOrbe;;;;;;;;absOrbe;absOrb;absOrbâ;;;;;;absOrb6rè;;absOrb;;;absOrb;absOrb;absOrbe;absOrbe;absOrbe;absOrbe;;;;;;
23;absoudre;;;;;;;;;;;;;;;;;absOlvè;absOlvè;absudr;;;;;;;;;absu;;;;;;;absudrè;;absu;;;absOlv;absu;;;;;;;;;;
24;abstenir;;abstê;;;;abstê;abstjêdrô;;;abstjêdra;;;abst6njô;abst6nè;;;;abst6nè;abst6nir;;;;;;;abst6nô;;abstjê;abst6nâ;;;;;;;;abstjê;;abstjê;;abstjê;;abst6ny;abst6ny;abst6ny;;abstjEn;;;;
25;abstraire;;;;;;;;;;;;;;;;;;;abstrEr;;;;;;;;;;;;;;;;;;;;;;abstrè;abstrEt;abstrEt;abstrè;abstrè;;;;;;
26;abuser;;;;;;abyza;;abyz6rè;;;;;;abyzè;;;abyzè;abyzè;abyze;;;;;;;abyzô;abyze;abyz;abyzâ;;;;abyz6rè;;abyz6rè;abyzô;abyz;abyze;abyz;abyz;abyz;;;abyze;abyze;;;;;;
27;abâtardir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abatardisâ;;;;;;;;;;;;;abatardi;;;abatardi;;;;;;
28;abêtir;;;;;;;;;;;;;;;;;;;abètir;;;;;;;;;;;;;;;;;;;;;;;;;;abèti;;;;;;
29;abîmer;;;;;;abima;;;;;;;;;;;;abimè;abime;;;;;;;;abime;abim;abimâ;;abim6rè;;;;abim6rè;;abim;;abim;abim;abim;abime;abime;abime;abime;;;;;;
30;acagnarder;;;;;;;;;;;;;;;;;;akaJardè;akaJarde;;;;;;;;;;;;;;;;;;;;;;;;;;akaJarde;;;;;;
31;accabler;;akablè;;;;akabla;;;;;;;;akablè;;;akablè;akablè;akable;;;;;;akabla;;akable;akabl;akablâ;;;;;akabl6rè;;;akabl;akable;;akabl;akabl;akable;akable;akable;akable;;;;;;
32;accaparer;;;;;;akapara;;;;;;;;;;;akaparè;akaparè;akapare;;;;;;;;;akapar;akaparâ;;;;;;;;akapar;;;;akapar;;akapare;akapare;akapare;;;;;;
33;accentuer;;;;;;aksâtya;;;;;;;;;;;aksâtyè;aksâtyè;aksâtye;;;;;;aksâtya;;;aksâty;aksâtyâ;;;;;;;;aksâty;;;aksâty;aksâty;aksâtye;aksâtye;aksâtye;aksâtye;;;;;;
34;accepter;;aksEptè;;;aksEptEr;aksEpta;aksEpt6rô;aksEpt6rè;aksEpt6re;aksEpt6ra;aksEpt6rô;aksEpt6ra;aksEptjô;aksEptè;aksEptje;aksEptè;aksEptè;aksEptè;aksEpte;;;;;;aksEpta;aksEptô;aksEpte;aksEpt;aksEptâ;aksEpt6rjô;aksEpt6rè;aksEpt6rje;aksEpt6rè;aksEpt6rè;aksEpt6rè;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;aksEpte;aksEpte;aksEpte;aksEpte;;aksEpt;;;;aksEpt
35;acclamer;;;;;;aklama;;;;;;;;;aklamje;;aklamè;aklamè;aklame;;;;;;;;aklame;aklam;;;;;;;aklam6rè;;aklam;;;;aklam;;aklame;aklame;aklame;;;;;;
36;acclimater;;;;;;;;;;;;;;;;;;;aklimate;;;;;;;;;;;;;;;;;;aklimat;aklimate;;;;;;;;;;;;;
37;accointer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akwête;;;;;;
38;accoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akòlâ;;;;;;;;;;;;akOl;akòle;akòle;akòle;akòle;;;;;;
39;accommoder;;;;;;;;akòmòd6rè;;;akòmòd6rô;;;akòmòdè;;;akòmòdè;akòmòdè;akòmòde;;;;;;;;;akòmOd;akòmòdâ;;akòmòd6rè;;;akòmòd6rè;akòmòd6rè;;akòmOd;;;akòmOd;akòmOd;;akòmòde;akòmòde;akòmòde;;;;;;
40;accompagner;;akôpaJè;;;akôpaJEr;akôpaJa;akôpaJ6rô;akôpaJ6rè;akôpaJ6re;akôpaJ6ra;akôpaJ6rô;akôpaJ6ra;;akôpaJè;akôpaJe;akôpaJè;akôpaJè;akôpaJè;akôpaJe;;;;;;akôpaJa;akôpaJô;akôpaJe;akôpaJ;akôpaJâ;;akôpaJ6rè;akôpaJ6rje;akôpaJ6rè;akôpaJ6rè;akôpaJ6rè;akôpaJô;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ;akôpaJe;akôpaJe;akôpaJe;akôpaJe;;akôpaJ;akôpaJe;akôpaJ;;
41;accomplir;;;;;akôplir;akôpli;akôplirô;akôplirè;akôplire;;akôplirô;akôplira;akôplisjô;akôplisè;;;akôplisè;akôplisè;akôplir;;;;;;;;akôplise;akôpli;akôplisâ;;akôplirè;;;akôplirè;akôplirè;akôplisô;akôpli;akôplise;akôpli;akôplis;akôpli;akôpli;akôpli;akôpli;akôpli;;akôplis;;;;akôplis
42;accorder;;akOrdè;;akOrda;;akOrda;;akOrd6rè;akOrd6re;;akOrd6rô;akOrd6ra;akOrdjô;akOrdè;akOrdje;akOrdè;akOrdè;akOrdè;akOrde;;;;;;akOrda;akOrdô;akOrde;akOrd;akOrdâ;;akOrd6rè;akOrd6rje;akOrd6rè;akOrd6rè;akOrd6rè;akOrdô;akOrd;akOrde;akOrd;akOrd;akOrd;akOrde;akOrde;akOrde;akOrde;;akOrd;akOrdje;;;akOrd
43;accoster;;;;;;akòsta;;;;;;;;;;;akòstè;akòstè;akòste;;;;;;;akòstô;;akOst;akòstâ;;;;;;;;akOst;akòste;;;akOst;;akòste;;akòste;;;;;;
44;accoter;;;;;;akòta;;;;;;;;;;;akòtè;;akòte;;;;;;;;;;akòtâ;;;;;;;;;;;akOt;;;akòte;akòte;akòte;;;;;;
45;accoucher;;;;;;akuSa;;;;;;;;;;;;akuSè;akuSe;;;;;;;;akuSe;akuS;akuSâ;;;;;;akuS6rè;;akuS;akuSe;akuS;akuS;akuS;;akuSe;akuSe;akuSe;;;;;;
46;accouder;;akudè;;;akudEr;akuda;;;;;;;;;;;;akudè;akude;;;;;;;;;;akudâ;;;;;;;;;;;;akud;;akude;akude;akude;;;;;;
47;accoupler;;;;;akuplEr;akupla;;;;;akupl6rô;;;akuplè;;;akuplè;akuplè;akuple;;;;;;;;;;akuplâ;;;;;;akupl6rè;;akupl;;;akupl;akupl;akuple;;akuple;akuple;;;;;;
48;accourir;;akury;;;akuryr;akury;;;;;akurrô;;;akurè;;;akurè;akurè;akurir;;;;;;;;akure;akur;akurâ;;;;;;akurrè;akurô;akur;akure;akur;akur;akur;akury;akury;akury;akury;;akur;;;;akur
49;accoutrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akutre;akutre;;;;;;;
50;accoutumer;;akutymè;;;;;;;;;;;;;;;;akutymè;akutyme;;;;;;;;;;;;;;;;;;akutym;;;akutym;akutym;akutyme;akutyme;akutyme;akutyme;;;;;;
51;accrocher;;akròSè;;;akròSEr;akròSa;;akròS6rè;;;;;akròSjô;akròSè;;akròSè;akròSè;akròSè;akròSe;;;;;;;;akròSe;akrOS;akròSâ;;;;;;akròS6rè;akròSô;akrOS;akròSe;akrOS;akrOS;akrOS;akròSe;akròSe;akròSe;akròSe;;;;akrOS;;
52;accroupir;;;;;akrupir;akrupi;;;;;;;;akrupisè;;;;akrupisè;akrupir;;;;;;;;;akrupi;;;;;;;;akrupisô;akrupi;;akrupi;akrupis;akrupi;;akrupi;akrupi;akrupi;;;;;;akrupis
53;accroître;;;;;;;;;;;;;;;;;akrwasè;akrwasè;akrwatr;;;;;;;;;;;;;;;;;;;;;akrwas;akrwa;akry;akry;;akry;;;;;;akrwas
54;accréditer;;;;;;;;;;;;;;;;;akrèditè;akrèditè;akrèdite;;;;;;;;;;akrèditâ;;;;;;;;;;;;;;akrèdite;;akrèdite;;;;;;
55;accueillir;;ak6ji;;;ak6jir;ak6ji;ak6j6rô;ak6j6rè;ak6j6re;;ak6j6rô;ak6j6ra;;ak6jè;;;ak6jè;ak6jè;ak6jir;;;;;;;ak6jô;ak6je;ak9j;ak6jâ;;;;;;ak6j6rè;ak6jô;ak9j;ak6je;;ak9j;ak9j;ak6ji;ak6ji;ak6ji;ak6ji;;;;;;
56;acculer;;;;;;akyla;;;;;;akyl6ra;;;;;akylè;;akyle;;;;;;akyla;;akyle;;;;;;;;;;akyl;;;akyl;akyl;akyle;;akyle;akyle;;;;;;
57;accumuler;;;;;;;;;;;;;;akymylè;;;akymylè;akymylè;akymyle;;;;;;;;;akymyl;akymylâ;;;;;;;;akymyl;akymyle;;akymyl;akymyl;akymyle;akymyle;akymyle;akymyle;;;;;;
58;accuser;;akyzè;;;akyzEr;akyza;;;;;;akyz6ra;;akyzè;akyzje;akyzè;akyzè;akyzè;akyze;;;;;;akyza;akyzô;akyze;akyz;akyzâ;;akyz6rè;akyz6rje;akyz6rè;;akyz6rè;;akyz;akyze;akyz;akyz;akyz;akyze;akyze;akyze;akyze;;;;;;akyz
59;accéder;;;;;;aksèda;;;;aksèd6ra;;aksèd6ra;;aksèdè;;;aksèdè;aksèdè;aksède;;;;;;;;;aksEd;aksèdâ;;;;;;;;aksEd;;;aksEd;aksEd;;;;;;;;;;aksEd
60;accélérer;;aksèlèrè;;;aksèlèrEr;aksèlèra;;;;;;;;aksèlèrè;;;aksèlèrè;aksèlèrè;aksèlère;;;;;;;;aksèlère;aksèlEr;aksèlèrâ;;;;;;;;aksèlEr;aksèlère;aksèlEr;aksèlEr;aksèlEr;;aksèlère;;aksèlère;;;;;;
61;acharner;;;;;aSarnEr;aSarna;;;;;;aSarn6ra;;aSarnè;;;aSarnè;aSarnè;aSarne;;;;;;;;;aSarn;aSarnâ;;;;;;;;aSarn;aSarne;aSarn;aSarn;aSarn;aSarne;aSarne;aSarne;aSarne;;;;;;
62;acheminer;;aS6minè;;;;aS6mina;;;;;;;;;;;aS6minè;aS6minè;aS6mine;;;;;;;;;aS6min;aS6minâ;;;;;;;aS6minô;aS6min;;;aS6min;aS6min;;aS6mine;aS6mine;;;;;;;
63;acheter;aS6tam;aS6tè;;;aS6tEr;aS6ta;aSèt6rô;aSèt6rè;aSèt6re;aSèt6ra;aSèt6rô;aSèt6ra;aS6tjô;aS6tè;aS6tje;aS6tè;aS6tè;aS6tè;aS6te;;;;;aS6tas;;aS6tô;aS6te;aSEt;aS6tâ;;aSèt6rè;aSèt6rje;aSèt6rè;aSèt6rè;aSèt6rè;aS6tô;aSEt;aS6te;aSEt;aSEt;aSEt;aS6te;aS6te;aS6te;aS6te;;;;aSEt;;
64;achever;;aS6vè;;;aS6vEr;aS6va;;aSèv6rè;;;aSèv6rô;aSèv6ra;aS6vjô;aS6vè;;;aS6vè;aS6vè;aS6ve;;;;;;aS6va;aS6vô;aS6ve;aSEv;aS6vâ;;;;;aSèv6rè;aSèv6rè;aS6vô;aSEv;aS6ve;aSEv;aSEv;aSEv;aS6ve;aS6ve;aS6ve;aS6ve;;;;;;
65;achopper;;aSòpè;;;;;;;;;;;;aSòpè;;;aSòpè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;acoquiner;;;;;;akòkina;;;;;;;;;;;;;akòkine;;;;;;;;;;;;;;;;;;;;;;;;akòkine;;;;;;;;
67;acquiescer;;akjèsè;;;akjèsEr;akjèsa;;;;;;;;akjèsè;;;akjèsè;akjèsè;akjèse;;;;;;;;;akjEs;;;;;;;;;akjEs;;;akjEs;akjEs;;;;;;;;;;
68;acquitter;;;;;;akita;;;;;;akit6ra;akitjô;akitè;;;akitè;akitè;akite;;;;;;akita;;akite;akit;akitâ;;;;;;akit6rè;;akit;;;akit;akit;;akite;akite;akite;;akit;;;;
69;acquérir;;aki;;;;;;;;;;;;;;;akèrè;akèrè;akèrir;;;;;;;;;;;;;;;akèrrè;;;akjEr;;akjEr;akjEr;akjEr;akiz;akiz;;;;akjEr;;;;
70;actionner;;;;;;aksjòna;;;;;;;;;;;aksjònè;aksjònè;aksjòne;;;;;;aksjòna;;;aksjòn;aksjònâ;;;;;;;;aksjòn;;;;aksjòn;aksjòne;aksjòne;;aksjòne;;;;;;
71;activer;;;;;;aktiva;;aktiv6rè;;;;;;;;;aktivè;aktivè;aktive;;;;;;;aktivô;aktive;aktiv;;;;;;;;aktivô;aktiv;aktive;aktiv;aktiv;aktiv;;aktive;;aktive;;;;;;aktiv
72;acérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asère;;asère;asère;;;;;;
73;adapter;;;;;;;;;;;adapt6rô;adapt6ra;;adaptè;;;;adaptè;adapte;;;;;;;;;adapt;adaptâ;;;;;;;;adapt;;adapt;adapt;adapt;adapte;adapte;adapte;adapte;;;;;;
74;additionner;;;;;;;;;;;;;;;;;adisjònè;;adisjòne;;;;;;;;;adisjòn;adisjònâ;;;;;adisjòn6rè;;;adisjòn;;;adisjòn;adisjòn;adisjòne;adisjòne;adisjòne;adisjòne;;;;;;
75;adhérer;;;;;;;;;;;;;;adèrè;;;adèrè;adèrè;adère;;;;;;;;;adEr;adèrâ;;;;;;;;adEr;adère;;adEr;adEr;;;;;;;;;;
76;adjoindre;;;;;;;;;;;;;;;;;;;adZwêdr;;;;;;;;;;adZwaJâ;;;;;;;;adZwê;;;;adZwê;;adZwêt;adZwê;adZwê;;;;;;
77;adjuger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZyZ;;;;adZyZ;;;;adZyZe;;;;;;
78;adjurer;;adZyrè;;;;adZyra;;;;;;;;adZyrè;;;;adZyrè;adZyre;;;;;;;;;;adZyrâ;;;;;;;;adZyr;;;;adZyr;;;;adZyre;;;;;;
79;admettre;;admi;;;admir;admi;;admètrè;;admètra;;admètra;admètjô;admètè;admètje;admètè;admètè;admètè;admEtr;;;;;;;admètô;admète;admè;admètâ;;;;admètrè;admètrè;admètrè;admètô;admè;admète;admè;admEt;admè;admiz;admiz;;;;admEt;;admEt;;admEt
80;administrer;;;;;;administra;;administr6rè;;;;;;administrè;;;administrè;administrè;administre;;;;;;administra;;administre;administr;administrâ;;;;;;;;administr;;administr;administr;administr;;administre;administre;administre;;;;;;
81;admirer;;admirè;;;admirEr;admira;;;;;admir6rô;;admirjô;admirè;;admirè;admirè;admirè;admire;;;;;;;admirô;admire;admir;admirâ;;;;admir6rè;;admir6rè;admirô;admir;admire;admir;admir;admir;admire;admire;admire;admire;;;;;;
82;admonester;;;;;;;;;;;;;;;;;;;;;;;;;admònEsta;;;;;;;;;;;;;;;;admònEst;;;;admònEste;;;;;;
83;adonner;;adònè;;;;adòna;;;;;;;;;;;adònè;adònè;adòne;;;;;;;;;;;;;;;;adòn6rè;;adòn;;;adòn;adòn;;;adòne;adòne;;;;;;
84;adopter;;adòptè;;;adòptEr;adòpta;;;;;adòpt6rô;;adòptjô;adòptè;;;;adòptè;adòpte;;;;;;;adòptô;adòpte;adOpt;adòptâ;;;;;;adòpt6rè;;adOpt;;;adOpt;adOpt;adòpte;adòpte;adòpte;adòpte;;;;;;
85;adorer;;;;;;;;;adòr6re;adòr6ra;adòr6rô;adòr6ra;adòrjô;adòrè;;adòrè;adòrè;adòrè;adòre;;;;;;;adòrô;adòre;adOr;adòrâ;;adòr6rè;adòr6rje;adòr6rè;adòr6rè;adòr6rè;adòrô;adOr;adòre;adOr;adOr;adOr;adòre;adòre;adòre;adòre;;;;;adOr;adOr
86;adosser;;adòsè;;;;adòsa;;;;;;;;;;;;adòsè;adòse;;;;;;;;;ados;adòsâ;;;;;;;;ados;;;ados;ados;;adòse;adòse;adòse;;;;;;
87;adoucir;;;;;;adusi;;;;;;adusira;;;;;;adusisè;adusir;;;;;;adusi;;;adusi;;;;;;;adusirè;;adusi;;adusi;adusis;adusi;adusi;adusi;adusi;adusi;;;;;;adusis
88;adresser;;adrèsè;;;adrèsEr;adrèsa;adrès6rô;adrès6rè;adrès6re;;adrès6rô;adrès6ra;;adrèsè;adrèsje;adrèsè;adrèsè;adrèsè;adrèse;;;;;;adrèsa;adrèsô;adrèse;adrEs;adrèsâ;;adrès6rè;;adrès6rè;adrès6rè;adrès6rè;;adrEs;adrèse;adrEs;adrEs;adrEs;adrèse;adrèse;adrèse;adrèse;;adrEs;;;;adrEs
89;aduler;;;;;;;;;;;;;;;;;adylè;adylè;adyle;;;;;;;;;;;;;;;;;;;;;adyl;;;adyle;;adyle;;;;;;
90;advenir;;;;;;advê;;;;;;advjêdra;;;;;;adv6nè;adv6nir;;;;;;advê;;;;;;;;;;advjêdrè;;;;;;advjê;;;;;;;;;;advjEn
91;affabuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afabyl;;;;afabyl;;;;;;;;;;
92;affadir;;;;;;;;;;;;;;;;;afadisè;afadisè;afadir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;affaiblir;;;;;;afèbli;;;;;;afèblira;;;;;afèblisè;afèblisè;afèblir;;;;;;;;;afèbli;afèblisâ;;;;;;;;afèbli;;afèbli;afèblis;afèbli;afèbli;afèbli;afèbli;afèbli;;;;;;
94;affairer;;afèrè;;;afèrEr;afèra;;;;;;;;afèrè;;;afèrè;afèrè;afère;;;;;;;;;afEr;;;;;;;;;afEr;;afEr;afEr;afEr;;afère;afère;afère;;;;afEr;;
95;affaisser;;;;;afèsEr;afèsa;;;;;;;;;;;afèsè;afèsè;afèse;;;;;;;;;afEs;afèsâ;;;;;afès6rè;;;;;;afEs;afEs;afèse;afèse;afèse;afèse;;;;;;
96;affaler;;;;;;afala;;;;;;;;;;;afalè;afalè;afale;;;;;;;;afale;afal;afalâ;;;;;;;;afal;;;afal;afal;afale;afale;afale;afale;;;;;;
97;affamer;;;;;;;;;;;;;;;;;;afamè;afame;;;;;;;;;afam;afamâ;;;;;;;;afam;;;afam;afam;afame;afame;afame;afame;;;;;;
98;affecter;afEktam;afEktè;;;;afEkta;;;;;;afEkt6ra;afEktjô;afEktè;afEktje;;afEktè;afEktè;afEkte;;;;;;afEkta;afEktô;;afEkt;afEktâ;;;;;;afEkt6rè;afEktô;afEkt;;;afEkt;afEkt;afEkte;afEkte;afEkte;afEkte;;;;;;
99;affectionner;;;;;;;;;;;;;;;;;afEksjònè;afEksjònè;;;;;;;;;;;;;;;;;;;afEksjòn;afEksjòne;;afEksjòn;afEksjòn;;;;;;;;;;
100;affermir;;;;;;afErmi;;;;;;;;;;;afErmisè;afErmisè;afErmir;;;;;;;;;;afErmisâ;;;;;;;;;;;;afErmi;;afErmi;afErmi;afErmi;;;;;;
101;afficher;;;;;;afiSa;;;;;;;afiSjô;afiSè;;afiSè;afiSè;afiSè;afiSe;;;;;;;;afiSe;afiS;afiSâ;;;;;;afiS6rè;;afiS;afiSe;;afiS;afiS;afiSe;afiSe;afiSe;afiSe;;;;afiS;;
102;affiler;;;;;;;;;;;;;;;;;;;afile;;;;;;;;;;;;;;;;;;;;;;afil;;;;;;;;;;
103;affilier;;;;;;;;;;;;;;;;;afiljè;;afilje;;;;;;;;;;;;;;;;;;;;;;;;;;afilje;;;;;;
104;affiner;;;;;;;;;;;;;;;;;;afinè;afine;;;;;;;;;;afinâ;;;;;;;;afin;;;afin;afin;afine;;;afine;;;;;;
105;affirmer;;;;;afirmEr;afirma;;;;;;;afirmjô;afirmè;;afirmè;afirmè;afirmè;afirme;;;;;;;;afirme;afirm;afirmâ;;;;;;;afirmô;afirm;afirme;afirm;afirm;afirm;afirme;afirme;afirme;afirme;;;;;;afirm
106;affleurer;;;;;;afl6ra;;;;;;;;;;;afl6rè;afl6rè;afl6re;;;;;;;;;afl9r;afl6râ;;;;;;;;;;;afl9r;afl9r;;;;;;;;;;
107;affliger;;;;;;afliZa;;;;;;;;;;;;;afliZe;;;;;;;;;afliZ;afliZâ;;;;;;;;afliZ;;;afliZ;afliZ;;afliZe;afliZe;afliZe;;;;;;
108;affluer;;;;;aflyEr;aflya;;;;;;;;;;;aflyè;aflyè;aflye;;;;;;;;;;;;;;;;;;;;;afly;afly;;;;;;;;;;
109;affoler;;;;;;afòla;;;;;;afòl6ra;;afòlè;;;afòlè;afòlè;afòle;;;;;;afòla;;afòle;afOl;afòlâ;;;;;;afòl6rè;;afOl;afòle;afOl;afOl;afOl;afòle;afòle;afòle;afòle;;;;;;
110;affranchir;;;;;;afrâSi;;;;;;;;;;;;afrâSisè;afrâSir;;;;;;;;;afrâSi;afrâSisâ;;;;;;;;afrâSi;;afrâSi;;afrâSi;afrâSi;afrâSi;afrâSi;afrâSi;;;;;;afrâSis
111;affriander;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afriâde;;;;;;
112;affrioler;;;;;;;;;;;;;;;;;;;afriòle;;;;;;;;;;afriòlâ;;;;;;;;;;;;;;;;;;;;;;
113;affronter;;;;;afrôtEr;afrôta;afrôt6rô;afrôt6rè;;afrôt6ra;;afrôt6ra;;;;afrôtè;afrôtè;afrôtè;afrôte;;;;;;;afrôtô;afrôte;afrôt;afrôtâ;;;;;afrôt6rè;afrôt6rè;afrôtô;afrôt;afrôte;afrôt;afrôt;afrôt;;afrôte;afrôte;afrôte;;;;;;afrôt
114;affréter;;;;;;;afrèt6rô;;;;;;;;;;;;afrète;;;;;;;;afrète;;;;;;;;;;afrEt;;;;;;;;afrète;;;;;;afrEt
115;affubler;;;;;;afybla;;;;;;;;;;;;afyblè;afyble;;;;;;;;;;afyblâ;;;;;;;afyblô;afybl;;;;afybl;afyble;afyble;afyble;afyble;;;;;;
116;affûter;;;;;;afyta;;;;;;;;;;;;;afyte;;;;;;afyta;;;afyt;;;;;;;;;afyt;;;;afyt;afyte;afyte;afyte;afyte;;;;;;
117;agacer;;;;;;agasa;;;;;;agas6ra;;agasè;;;agasè;agasè;agase;;;;;;;;;agas;agasâ;;;;;;;;agas;agase;agas;agas;agas;agase;agase;agase;agase;;;;;;
