;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abèsè;;;abèsEr;abèsa;;;;;;abès6ra;;;;;;abèsè;abèse;;;;;;;;abèse;abEs;abèsâ;;abès6rè;;abès6rè;abès6rè;;;abEs;abèse;;abEs;abEs;;abèse;abèse;abèse;;;;;;
1;abandonner;;abâdònè;;;abâdònEr;abâdòna;abâdòn6rô;abâdòn6rè;abâdòn6re;abâdòn6ra;abâdòn6rô;abâdòn6ra;abâdònjô;abâdònè;abâdònje;abâdònè;abâdònè;abâdònè;abâdòne;;;;;;abâdòna;abâdònô;abâdòne;abâdòn;abâdònâ;;abâdòn6rè;abâdòn6rje;abâdòn6rè;;abâdòn6rè;abâdònô;abâdòn;abâdòne;abâdòn;abâdòn;abâdòn;abâdòne;abâdòne;abâdòne;abâdòne;;;;abâdòn;abâdòn;abâdòn
2;abasourdir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;abazurdi;abazurdi;;;;;;
3;abattre;;abati;;;abatir;abati;;abatrè;;;abatrô;abatra;;abatè;;;abatè;abatè;abatr;;;;;;;abatô;abate;aba;abatâ;;;;;;abatrè;abatô;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;;abat;;abat;;abat
4;abdiquer;;abdikè;;;;;;;;;;;;;;;;abdikè;abdike;;;;;;;;;abdik;;;abdik6rè;;;;;;abdik;;;;abdik;;abdike;;abdike;;;;;;
5;aberrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abèrâ;;;;;;;;;;;;;;;;;;;;;;
6;abhorrer;;;;;;;;;;;;;;abòrè;;;;abòrè;abòre;;;;;;;;;;;;;;;;;;abOr;;;;abOr;;abòre;;abòre;;;;;;
7;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;abZyre;abZyr;;;;;;;;;abZyr;abZyre;;;abZyr;;;;;;;;;;
8;abolir;;;;;;abòli;;;;abòlira;;;;;;;abòlisè;abòlisè;abòlir;;;;;;;;;;abòlisâ;;;;;;;;abòli;;;abòlis;abòli;;abòli;abòli;abòli;;;;;;
9;abonder;;;;;;abôda;;;;;;;;;;;abôdè;abôdè;abôde;;;;;abôdas;;;;;abôdâ;;;;;;;;abôd;;;abôd;abôd;;;;;;;;;;
10;abonner;;;;;;;;;;;;;;;;;;;abòne;;;;;;;;;abòn;;;;;;;;;abòn;abòne;;;abòn;;abòne;abòne;abòne;;;;;;
11;aborder;abOrdam;abOrdè;;;abOrdEr;abOrda;;;;;abOrd6rô;abOrd6ra;abOrdjô;;abOrdje;;abOrdè;abOrdè;abOrde;;;;;;;abOrdô;abOrde;abOrd;abOrdâ;abOrd6rjô;abOrd6rè;;;;;abOrdô;abOrd;abOrde;abOrd;abOrd;abOrd;;abOrde;abOrde;abOrde;;;;;;
