lexeme	NAME	GWEIGHT	fi1P	ii1P	ps1P	ps2P	ps2S	ai1P	fi1S	ii2S	inf	is3P	pI1P	pc1S	pi2P	pi2S	ppFS	ppMP	ps3P	fi2S	fi3S	pc3P	pi1S	ii1S	pI2P	pP	pi1P	pi3P	ai2P	ii2P	is1P	is1S	is2P	is2S	is3S	pI2S	pc3S	pi3S	ps3S	ai1S	ai2S	ai3P	ai3S	fi2P	fi3P	ii3P	ii3S	pc1P	pc2P	pc2S	ppFP	ppMS	ps1S
amidonner	amidonner	1.000000									10.714286				0.892857		16.071429	25.892857							0.892857			0.892857																		3.125000					15.625000	25.892857	
amocher	amocher	1.000000									9.912536				0.291545		21.865889	10.641399					2.040816		0.291545											2.040816		2.040816									1.020408					49.854227	
anathématiser	anathématiser	1.000000																																													50.000000					50.000000	
aniser	aniser	1.000000															25.000000																			31.250000															21.875000	21.875000	
annoter	annoter	1.000000									2.884615						14.423077	10.576923					8.653846	13.461538		6.730769												8.653846									13.461538					21.153846	
anodiser	anodiser	1.000000																																																		100.000000	
apeurer	apeurer	1.000000									9.813084						17.289720	20.560748																				3.738318					3.271028			3.271028	6.542056				0.467290	35.046729	
appointer	appointer	1.000000									8.974359						34.615385	1.282051																				17.948718								8.974359	8.974359					19.230769	
arabiser	arabiser	1.000000																								66.666667																										33.333333	
armer	armer	1.000000					0.816671				5.589975		0.478738	0.112644	3.872149	0.816671	9.405801	20.571670				0.098564	6.406646		3.872149	0.394255	0.478738	0.520980							0.098564	6.406646		6.406646		0.098564			2.252887		0.014081	0.197128	0.985638				2.956914	27.147282	
aromatiser	aromatiser	1.000000									1.351351						10.810811	1.351351																																	18.918919	67.567568	
arpéger	arpéger	1.000000																																																		100.000000	
aseptiser	aseptiser	1.000000															9.090909									9.090909																										81.818182	
assermenter	assermenter	1.000000									5.769231				3.846154		17.307692	11.538462							3.846154																											57.692308	
assortir	assortir	1.000000							0.090580		6.340580			0.090580			15.126812	12.681159					12.681159	0.634058		0.634058		0.634058								12.681159		2.445652					2.445652			1.268116	1.539855				12.409420	18.297101	
assourdir	assourdir	1.000000									3.378378					8.880309	8.687259	8.880309		0.675676		0.675676	8.880309			6.177606		3.378378										6.081081				0.675676	6.081081			2.606178	4.054054				2.606178	28.281853	
atrophier	atrophier	1.000000									9.523810					0.793651	27.777778	17.460317				0.793651						8.730159										11.111111									5.555556					18.253968	
