;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abEsE;abEsat;;abEsEr;abEsa;;abEs6rE;;;;abEs6ra;;;;abEsE;abEsE;abEsE;abEse;;;;;abEsas;;abEsô;abEse;abEs;abEsâ;;abEs6rE;;abEs6rE;abEs6rE;abEs6rE;;abEs;abEse;abEs;abEs;abEs;abEse;abEse;abEse;abEse;;;abEsje;;;abEs
1;abandonner;abâdOnam;abâdOnE;abâdOnat;abâdOna;abâdOnEr;abâdOna;abâdOn6rô;abâdOn6rE;abâdOn6re;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;abâdOnje;abâdOnE;abâdOnE;abâdOnE;abâdOne;abâdOnasjô;abâdOnas;abâdOnasje;abâdOnas;abâdOnas;abâdOna;abâdOnô;abâdOne;abâdOn;abâdOnâ;abâdOn6rjô;abâdOn6rE;abâdOn6rje;abâdOn6rE;abâdOn6rE;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;abâdOnjô;abâdOn;abâdOnje;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;;;;abazurdir;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;abazurdi;abazurdi;;;;;;
3;abattre;;abati;abatit;abati;abatir;abati;abatrô;abatrE;abatre;abatra;abatrô;abatra;abatjô;abatE;abatje;abatE;abatE;abatE;abatr;;;abatisje;abatis;abatis;abati;abatô;abate;aba;abatâ;abatriô;abatrE;abatrie;abatrE;abatrE;abatrE;abatô;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;;abat;abatje;abat;abat;abat
4;abdiquer;;abdikE;;;;abdika;;;;;;abdik6ra;;abdikE;;;abdikE;abdikE;abdike;;;;;;;;abdike;abdik;abdikâ;;abdik6rE;;;;abdik6rE;;abdik;abdike;;;abdik;;abdike;;abdike;;;;;;
5;aberrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abErâ;;;;;;;;;;;;;;;;;;;;;;
6;abhorrer;;;;;;;;;;;;;;abOrE;;;;abOrE;abOre;;;;;;;;;;abOrâ;;;;;;;;abOr;abOre;;;abOr;;abOre;abOre;abOre;;;;;;
7;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;abZyre;abZyr;abZyrâ;;;;;abZyr6rE;;abZyrô;abZyr;abZyre;;;abZyr;;;;abZyre;;;;;;abZyr
8;abolir;;;;;;abOli;;;abOlire;abOlira;;abOlira;abOlisjô;abOlisE;;;abOlisE;abOlisE;abOlir;;;abOlisje;;;;abOlisô;;;abOlisâ;;;;;;abOlirE;abOlisô;abOli;;abOli;abOlis;abOli;abOli;abOli;abOli;abOli;;;;;;
9;abonder;;abôdE;;;;abôda;;;;;;;;abôdE;;;abôdE;abôdE;abôde;;;;;abôdas;;;abôde;;abôdâ;;;;;;;;abôd;;;abôd;abôd;;;;;;;;;;
10;abonner;;abOnE;;;abOnEr;;;;;abOn6ra;;;;;;;;;abOne;;;;;;abOna;;abOne;abOn;abOnâ;;;;;;;;abOn;abOne;;;abOn;abOne;abOne;abOne;abOne;;;;;;
11;aborder;abOrdam;abOrdE;;;abOrdEr;abOrda;abOrd6rô;abOrd6rE;;;abOrd6rô;abOrd6ra;abOrdjô;abOrdE;abOrdje;;abOrdE;abOrdE;abOrde;;;abOrdasje;abOrdas;;abOrda;abOrdô;abOrde;abOrd;abOrdâ;abOrd6rjô;abOrd6rE;abOrd6rje;abOrd6rE;abOrd6rE;abOrd6rE;abOrdô;abOrd;abOrde;abOrd;abOrd;abOrd;abOrde;abOrde;abOrde;abOrde;;;abOrdje;;abOrd;
12;aboucher;;;;;;;;;;;;;;abuSE;;;abuSE;abuSE;abuSe;;;;;;;;;;abuSâ;;;;;;;;;;;;;;abuSe;abuSe;abuSe;;;;;;
13;abouler;;abulE;;;;;;;;;;;;;;;;;abule;;;;;;;;abule;abul;;;;;;;;;;;abul;;abul;;;;;;abul;;;;
14;abouter;;;;;;;;;;;;;;;;;;abutE;;;;;;;;abutô;;;;;;;;;;;;;;;;;;;;;;;;;
15;aboutir;abutim;abuti;;;abutir;abuti;abutirô;abutirE;;abutira;abutirô;abutira;abutisjô;;abutisje;;abutisE;abutisE;abutir;;abutis;;abutis;abutis;abuti;;;;abutisâ;;abutirE;;;abutirE;abutirE;;abuti;abutise;abuti;abutis;abuti;;;;;;abutis;;;;abutis
16;aboyer;abwajam;;;abwaja;abwajEr;abwaja;;;;;abwarô;abwara;;;;;abwajE;abwajE;abwaje;;;;;;;;;abwa;abwajâ;;abwarE;;abwarE;abwarE;abwarE;abwajô;abwa;;abwa;abwa;abwa;;;;;abwajô;abwa;;abwa;;
