;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abEsE;;;abEsEr;abEsa;;abEs6rE;;;;abEs6ra;;;;;abEsE;abEsE;abEse;;;;;;;;abEse;abEs;abEsâ;;abEs6rE;;abEs6rE;;abEs6rE;;abEs;abEse;;abEs;abEs;;abEse;abEse;abEse;;;;;;
1;abandonner;abâdOnam;abâdOnE;;abâdOna;abâdOnEr;abâdOna;abâdOn6rô;abâdOn6rE;abâdOn6re;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;abâdOnje;abâdOnE;abâdOnE;abâdOnE;abâdOne;;;;;;abâdOna;abâdOnô;abâdOne;abâdOn;abâdOnâ;;abâdOn6rE;abâdOn6rje;abâdOn6rE;abâdOn6rE;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;;;;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;;;;abazurdir;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;abazurdi;abazurdi;;;;;;
3;abattre;;abati;;;abatir;abati;abatrô;abatrE;abatre;abatra;abatrô;abatra;abatjô;abatE;;;abatE;abatE;abatr;;;;;;;abatô;abate;aba;abatâ;;abatrE;;abatrE;abatrE;abatrE;abatô;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;;abat;;;;abat
4;abdiquer;;;;;;abdika;;;;;;abdik6ra;;abdikE;;;abdikE;abdikE;abdike;;;;;;;;;abdik;;;;;;;;;abdik;;;;abdik;;;;abdike;;;;;;
5;abhorrer;;;;;;;;;;;;;;;;;;abOrE;abOre;;;;;;;;;;abOrâ;;;;;;;;abOr;abOre;;;abOr;;abOre;abOre;;;;;;;
6;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;abZyre;abZyr;;;;;;;;;abZyr;abZyre;;;abZyr;;;;abZyre;;;;;;
7;abolir;;;;;;abOli;;;;;;abOlira;abOlisjô;abOlisE;;;abOlisE;abOlisE;abOlir;;;;;;;abOlisô;;;abOlisâ;;;;;;abOlirE;;abOli;;;;abOli;abOli;abOli;abOli;abOli;;;;;;
8;abonder;;abôdE;;;;abôda;;;;;;;;abôdE;;;abôdE;abôdE;abôde;;;;;abôdas;;;;;abôdâ;;;;;;;;abôd;;;abôd;abôd;;;;;;;;;;
9;abonner;;abOnE;;;;;;;;;;;;;;;;;abOne;;;;;;abOna;;abOne;abOn;;;;;;;;;;abOne;;;;;abOne;abOne;abOne;;;;;;
10;aborder;;abOrdE;;;abOrdEr;abOrda;abOrd6rô;abOrd6rE;;;abOrd6rô;abOrd6ra;abOrdjô;abOrdE;abOrdje;;abOrdE;abOrdE;abOrde;;;;;;;abOrdô;abOrde;abOrd;abOrdâ;abOrd6rjô;abOrd6rE;;;abOrd6rE;abOrd6rE;abOrdô;abOrd;abOrde;abOrd;abOrd;abOrd;abOrde;abOrde;abOrde;abOrde;;;;;;
11;aboucher;;;;;;;;;;;;;;abuSE;;;;abuSE;abuSe;;;;;;;;;;abuSâ;;;;;;;;;;;;;;abuSe;;abuSe;;;;;;
12;abouler;;;;;;;;;;;;;;;;;;;;;;;;;;;abule;abul;;;;;;;;;;;;;abul;;;;;;;;;;
13;abouter;;;;;;;;;;;;;;;;;;abutE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;aboutir;abutim;abuti;;;abutir;abuti;;abutirE;;;abutirô;abutira;;;;;abutisE;abutisE;abutir;;;;;;;;;;abutisâ;;abutirE;;;abutirE;abutirE;;abuti;abutise;abuti;abutis;abuti;;;;;;abutis;;;;abutis
15;aboyer;;;;;abwajEr;abwaja;;;;;;abwara;;;;;abwajE;abwajE;abwaje;;;;;;;;;abwa;abwajâ;;;;;;abwarE;;abwa;;abwa;abwa;abwa;;;;;;;;;;
16;abreuver;;;;;;abr6va;;;;;;abr6v6ra;;;;;abr6vE;abr6vE;abr6ve;;;;;;;;;abr9v;abr6vâ;;;;;abr6v6rE;;;abr9v;;;abr9v;abr9v;;abr6ve;abr6ve;abr6ve;;;;;;
17;abriter;;;;;abritEr;abrita;abrit6rô;;;;abrit6rô;abrit6ra;abritjô;abritE;;;abritE;abritE;abrite;;;;;;;abritô;abrite;abrit;abritâ;;;;;;abrit6rE;abritô;abrit;abrite;abrit;abrit;abrit;abrite;abrite;abrite;abrite;;;;;;
18;abroger;;;;;;;;;;;;;;;;;;;abrOZe;;;;;;;;;;;;;;;;;;;;;abrOZ;;abrOZe;abrOZe;abrOZe;abrOZe;;;;;;
19;abrutir;;;;;;abryti;;;;;;;;abrytisE;;;;abrytisE;abrytir;;;;;;;;;abryti;abrytisâ;;;;;;;;abryti;;abryti;;abryti;;abryti;abryti;abryti;;;;;;
20;abréger;;;;;;abrEZa;;;;;;abrEZ6ra;;;;;abrEZE;abrEZE;abrEZe;;;;;;;abrEZô;abrEZe;abrEZ;;;;;;;;;abrEZ;;;abrEZ;abrEZ;;abrEZe;;abrEZe;;;;;;
21;absenter;;absâtE;;;;absâta;;;;;;absât6ra;;absâtE;;;absâtE;absâtE;absâte;;;;;;;;;;;;;;;;absât6rE;;absât;;;;absât;;absâte;absâte;absâte;;;;;;absât
22;absorber;;absOrbE;;;absOrbEr;absOrba;;;;;;absOrb6ra;;absOrbE;;;absOrbE;absOrbE;absOrbe;;;;;;;;;absOrb;absOrbâ;;;;;absOrb6rE;;absOrbô;absOrb;absOrbe;;absOrb;absOrb;absOrbe;absOrbe;absOrbe;absOrbe;;;;;;
23;absoudre;;;;;;;;;;;;;;;;;absOlvE;absOlvE;absudr;;;;;;;;;absu;;;;absudrie;;;absudrE;;absu;;;absOlv;absu;;;;;;;;;;absOlv
24;abstenir;;abstê;;;abstêr;abstê;abstjêdrô;;;;abstjêdrô;;abst6njô;;abst6nje;;;abst6nE;abst6nir;;;;;;abstê;abst6nô;abst6ne;abstjê;abst6nâ;;;;;;abstjêdrE;abst6nô;abstjê;abst6ne;abstjê;abstjEn;abstjê;abst6ny;abst6ny;abst6ny;abst6ny;;abstjEn;;;;
25;abstraire;;;;;;;;;;;;;;;;;;;abstrEr;;;;;;;;;;;;;;;;;;abstrE;;;;abstrE;abstrEt;;abstrE;abstrE;;;;;;
26;abuser;;abyzE;;;;abyza;;;;;;abyz6ra;;abyzE;;;abyzE;abyzE;abyze;;;;;;;abyzô;abyze;abyz;abyzâ;;abyz6rE;;abyz6rE;;abyz6rE;abyzô;abyz;abyze;abyz;abyz;abyz;abyze;abyze;abyze;abyze;;;;;;
27;abâtardir;;;;;;;;abatardirE;;;;;;;;;;;abatardir;;;;;;;;;;abatardisâ;;;;;;;;;;;;;;;;;;;;;;
28;abêtir;;;;;;abEti;;;;;;;;;;;;;abEtir;;;;;;;;;;;;;;;;;;;;;;;;;;abEti;;;;;;
29;abîmer;;abimE;;;;abima;;;;abim6ra;abim6rô;abim6ra;abimjô;;;;abimE;abimE;abime;;;;;;;;abime;abim;abimâ;;abim6rE;;;;abim6rE;abimô;abim;abime;abim;abim;abim;abime;abime;abime;abime;;;;;;
30;acagnarder;;akaJardE;;;;;;;;;;;;;;;;akaJardE;akaJarde;;;;;;;;;;;;;;;;;;;;;;;;;;akaJarde;;;;;;
31;accabler;;akablE;;;akablEr;akabla;;;;;;;;akablE;;;akablE;akablE;akable;;;;;;akabla;;akable;akabl;akablâ;;;;;akabl6rE;;;akabl;akable;;akabl;akabl;akable;akable;akable;akable;;;;;;
32;accaparer;;;;;;akapara;;;;;;;;;;;akaparE;akaparE;akapare;;;;;;;;;akapar;akaparâ;;;;;;akapar6rE;;akapar;;;;akapar;akapare;akapare;akapare;akapare;;;;;;
33;accentuer;;aksâtyE;;;aksâtyEr;aksâtya;;;;;;;;;;;aksâtyE;aksâtyE;aksâtye;;;;;;;;aksâtye;aksâty;aksâtyâ;;;;;;;;aksâty;aksâtye;;aksâty;aksâty;aksâtye;aksâtye;aksâtye;aksâtye;;;;;;
34;accepter;aksEptam;aksEptE;;;aksEptEr;aksEpta;aksEpt6rô;aksEpt6rE;aksEpt6re;aksEpt6ra;aksEpt6rô;aksEpt6ra;aksEptjô;aksEptE;aksEptje;aksEptE;aksEptE;aksEptE;aksEpte;;;;aksEptas;;aksEpta;aksEptô;aksEpte;aksEpt;aksEptâ;aksEpt6rjô;aksEpt6rE;aksEpt6rje;aksEpt6rE;aksEpt6rE;aksEpt6rE;aksEptô;aksEpt;aksEpte;aksEpt;aksEpt;aksEpt;aksEpte;aksEpte;aksEpte;aksEpte;;aksEpt;;;;aksEpt
35;accidenter;;;;;;;;;;;;;;;;;;;aksidâte;;;;;;;;;;;;;;;;;;;;;;aksidât;;aksidâte;;aksidâte;;;;;;
36;acclamer;;;;;;aklama;;;;;;;;;aklamje;;aklamE;aklamE;aklame;;;;;;;;aklame;aklam;aklamâ;;;;;;aklam6rE;aklamô;aklam;;;;aklam;;aklame;aklame;aklame;;;;;;
37;acclimater;;;;;;;;;;;;;;;;;;;aklimate;;;;;;;;;;;;;;;;;;aklimat;;;;aklimat;;;aklimate;aklimate;;;;;;
38;accoler;;;;;;;;;;;;;;;;;;akOlE;akOle;;;;;;;;;;akOlâ;;;;;;;;;;;akOl;;akOle;akOle;akOle;akOle;;;;;;
39;accommoder;;;;;akOmOdEr;akOmOda;;akOmOd6rE;akOmOd6re;;akOmOd6rô;akOmOd6ra;akOmOdjô;akOmOdE;;;akOmOdE;akOmOdE;akOmOde;;;;;;akOmOda;;;akOmOd;akOmOdâ;;akOmOd6rE;;;akOmOd6rE;akOmOd6rE;akOmOdô;akOmOd;;;akOmOd;akOmOd;;akOmOde;akOmOde;akOmOde;;;;;;
40;accompagner;akôpaJam;akôpaJE;;;akôpaJEr;akôpaJa;akôpaJ6rô;akôpaJ6rE;akôpaJ6re;akôpaJ6ra;akôpaJ6rô;akôpaJ6ra;;akôpaJE;akôpaJe;akôpaJE;akôpaJE;akôpaJE;akôpaJe;;;;;;akôpaJa;akôpaJô;akôpaJe;akôpaJ;akôpaJâ;;akôpaJ6rE;;akôpaJ6rE;akôpaJ6rE;akôpaJ6rE;akôpaJô;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ;akôpaJe;akôpaJe;akôpaJe;akôpaJe;;akôpaJ;akôpaJe;akôpaJ;;
41;accomplir;;;;;akôplir;akôpli;;akôplirE;akôplire;;;akôplira;akôplisjô;akôplisE;;;akôplisE;akôplisE;akôplir;;;;;;;akôplisô;akôplise;akôpli;akôplisâ;;akôplirE;;;akôplirE;akôplirE;akôplisô;akôpli;akôplise;akôpli;akôplis;akôpli;akôpli;akôpli;akôpli;akôpli;;akôplis;;;;akôplis
42;accorder;;akOrdE;;;akOrdEr;akOrda;akOrd6rô;akOrd6rE;akOrd6re;akOrd6ra;akOrd6rô;akOrd6ra;akOrdjô;akOrdE;akOrdje;akOrdE;akOrdE;akOrdE;akOrde;;;;;akOrdas;akOrda;akOrdô;akOrde;akOrd;akOrdâ;;akOrd6rE;akOrd6rje;akOrd6rE;akOrd6rE;akOrd6rE;akOrdô;akOrd;akOrde;akOrd;akOrd;akOrd;akOrde;akOrde;akOrde;akOrde;;akOrd;akOrdje;;;akOrd
43;accoster;;;;;;akOsta;;;;;;;;akOstE;akOstje;;;akOstE;akOste;;;;;;;;akOste;akOst;akOstâ;;;;;;;;akOst;akOste;;akOst;akOst;akOste;akOste;;akOste;;;;;;
44;accoter;;;;;akOtEr;akOta;;;;;;;;;;;akOtE;akOtE;akOte;;;;;;;;;;akOtâ;;;;;;;akOtô;;;;;akOt;akOte;akOte;akOte;akOte;;;;;;
45;accoucher;;;;;;akuSa;;;;akuS6ra;;akuS6ra;;akuSE;;;;akuSE;akuSe;;;;;;;;akuSe;akuS;akuSâ;;;;;;akuS6rE;;akuS;akuSe;akuS;akuS;akuS;;akuSe;;akuSe;;;;;;
46;accouder;;akudE;;;akudEr;akuda;;;;;;;akudjô;akudE;;;akudE;akudE;akude;;;;;;;;;;akudâ;;;;;;;;;;;;akud;;akude;akude;akude;;;;;;
47;accoupler;;;;;;;;;;;;;;akuplE;;;akuplE;akuplE;akuple;;;;;;;;;;akuplâ;;;;;;akupl6rE;;akupl;;;akupl;akupl;akuple;akuple;akuple;akuple;;;;;;
48;accourir;;akury;;;akuryr;akury;;akurrE;;;;;;akurE;;;akurE;akurE;akurir;;;;;akurys;;;akure;akur;akurâ;;akurrE;;;akurrE;akurrE;akurô;akur;akure;akur;akur;akur;akury;akury;akury;akury;;akur;;;;akur
49;accoutrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akutr;;akutre;akutre;akutre;;;;;;
50;accoutumer;;akutymE;;;;;;;;;;;;akutymE;;;akutymE;akutymE;akutyme;;;;;;;;;;akutymâ;;;;;;;;akutym;;;akutym;akutym;akutyme;akutyme;akutyme;akutyme;;;;;;
51;accrocher;;akrOSE;;;akrOSEr;akrOSa;;akrOS6rE;;;;akrOS6ra;akrOSjô;akrOSE;akrOSje;akrOSE;akrOSE;akrOSE;akrOSe;;;;;;akrOSa;akrOSô;akrOSe;akrOS;akrOSâ;;akrOS6rE;;;;akrOS6rE;akrOSô;akrOS;akrOSe;akrOS;akrOS;akrOS;akrOSe;akrOSe;akrOSe;akrOSe;;;;akrOS;;
52;accroire;;;;;;;;;;;;;;;;;;;akrwar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;accroupir;;;;;akrupir;akrupi;;;;;;;;akrupisE;;;akrupisE;akrupisE;akrupir;;;;;;;;;akrupi;akrupisâ;;;;;;;akrupisô;akrupi;;akrupi;akrupis;akrupi;akrupi;akrupi;akrupi;akrupi;;;;;;akrupis
54;accroître;;;;;akryr;akry;;;;;akrwatrô;;;;;;akrwasE;akrwasE;akrwatr;;;;;;;;akrwase;;;;;;;;;;akrwa;;;;akrwa;akry;akry;akry;akry;;;;;;akrwas
55;accréditer;;;;;;;;;;;;;;;;;akrEditE;akrEditE;akrEdite;;;;;;;;;;akrEditâ;;;;;;;;;;;;;;akrEdite;akrEdite;akrEdite;;;;;;
56;accueillir;;ak6ji;;;ak6jir;ak6ji;ak6j6rô;ak6j6rE;ak6j6re;;ak6j6rô;ak6j6ra;;ak6jE;;ak6jE;ak6jE;ak6jE;ak6jir;;;;;;ak6ji;ak6jô;ak6je;ak9j;ak6jâ;;;;;ak6j6rE;ak6j6rE;ak6jô;ak9j;ak6je;ak9j;ak9j;ak9j;ak6ji;ak6ji;ak6ji;ak6ji;;;;;;
57;acculer;;;;;akylEr;;;;;;;;;akylE;;;akylE;akylE;akyle;;;;;;;;akyle;;;;;;;akyl6rE;;;akyl;;;akyl;akyl;;akyle;akyle;akyle;;;;;;
58;accumuler;;akymylE;;;akymylEr;akymyla;;;;;;;;akymylE;;;akymylE;akymylE;akymyle;;;;;;;;akymyle;akymyl;akymylâ;;;;;;;;akymyl;akymyle;;akymyl;akymyl;akymyle;akymyle;akymyle;akymyle;;;;;;
59;accuser;;akyzE;;;akyzEr;akyza;;;;;;akyz6ra;;akyzE;;akyzE;akyzE;akyzE;akyze;;;;;;;akyzô;akyze;akyz;akyzâ;;akyz6rE;akyz6rje;akyz6rE;akyz6rE;akyz6rE;akyzô;akyz;akyze;akyz;akyz;akyz;akyze;akyze;akyze;akyze;;;;;;akyz
60;accéder;aksEdam;;;;;aksEda;;;;;;aksEd6ra;;aksEdE;;;aksEdE;aksEdE;aksEde;;;;;;;;aksEde;aksEd;;;aksEd6rE;;;aksEd6rE;aksEd6rE;aksEdô;aksEd;aksEde;;aksEd;aksEd;;;;;;;;;;aksEd
61;accélérer;;aksElErE;;;aksElErEr;aksElEra;;;;;;;;aksElErE;;;aksElErE;aksElErE;aksElEre;;;;;;;aksElErô;aksElEre;aksElEr;aksElErâ;;;;;;aksElEr6rE;aksElErô;aksElEr;aksElEre;aksElEr;aksElEr;aksElEr;aksElEre;aksElEre;;aksElEre;;;;aksElEr;;
62;achalander;;;;;;;;;;;;;;;;;aSalâdE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;acharner;;;;;aSarnEr;aSarna;;;;;;aSarn6ra;;aSarnE;;;aSarnE;aSarnE;aSarne;;;;;;;;aSarne;aSarn;aSarnâ;;;;;;;;aSarn;aSarne;aSarn;aSarn;aSarn;aSarne;aSarne;aSarne;aSarne;;;;;;
64;acheminer;;aS6minE;;;aS6minEr;aS6mina;;;;;aS6min6rô;;;;;;aS6minE;aS6minE;aS6mine;;;;;;;;;aS6min;aS6minâ;;;;;;;aS6minô;aS6min;;;aS6min;aS6min;aS6mine;;aS6mine;aS6mine;;;;;;
