;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
65;acheter;aS6tam;aS6tE;;;aS6tEr;aS6ta;aSEt6rô;aSEt6rE;aSEt6re;aSEt6ra;aSEt6rô;aSEt6ra;aS6tjô;aS6tE;aS6tje;aS6tE;aS6tE;aS6tE;aS6te;;;;;aS6tas;aS6ta;aS6tô;aS6te;aSEt;aS6tâ;aSEt6rjô;aSEt6rE;aSEt6rje;aSEt6rE;aSEt6rE;aSEt6rE;aS6tô;aSEt;aS6te;aSEt;aSEt;aSEt;aS6te;aS6te;aS6te;aS6te;;;;aSEt;;
66;achever;aS6vam;aS6vE;;;aS6vEr;aS6va;;aSEv6rE;aSEv6re;;aSEv6rô;aSEv6ra;aS6vjô;aS6vE;;;aS6vE;aS6vE;aS6ve;;;;;;;aS6vô;aS6ve;aSEv;aS6vâ;;;;;aSEv6rE;aSEv6rE;aS6vô;aSEv;aS6ve;aSEv;aSEv;aSEv;aS6ve;aS6ve;aS6ve;aS6ve;;;;;;
67;achopper;;aSOpE;;;;aSOpa;;;;;;;;aSOpE;;;;aSOpE;;;;;;;;;;;;;;;;;;;aSOp;;;;;;;;aSOpe;;;;;;
68;aciduler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asidyle;;asidyle;;;;;;;
69;acoquiner;;;;;;;;;;;;;;;;;;;akOkine;;;;;;;;;;;;;;;;;;;;;;;;akOkine;akOkine;;;;;;;
70;acquiescer;;akjEsE;;;akjEsEr;akjEsa;;;;;akjEs6rô;;;akjEsE;;;akjEsE;akjEsE;akjEse;;;;;;;;;akjEs;akjEsâ;;;;;;;;akjEs;;;akjEs;akjEs;;;;;;;;;;
71;acquitter;;;;;;akita;;akit6rE;akit6re;;;akit6ra;akitjô;akitE;;;akitE;akitE;akite;;;;;;akita;;;akit;akitâ;;;;;;akit6rE;;akit;akite;akit;akit;akit;;akite;akite;akite;;akit;;;;
72;acquérir;;aki;;;akir;aki;;;;;;;;akErE;;;akErE;akErE;akErir;;;;;;;;;;akErâ;;;;;akErrE;;akErô;akjEr;;;akjEr;akjEr;akiz;akiz;;;;akjEr;;;;akjEr
73;actionner;;aksjOnE;;;;aksjOna;;;;;aksjOn6rô;;;aksjOnE;;;aksjOnE;aksjOnE;aksjOne;;;;;;;;aksjOne;aksjOn;aksjOnâ;;;;;;;;aksjOn;aksjOne;;;aksjOn;;;aksjOne;aksjOne;;;;;;
74;activer;;;;;;;;;;;;aktiv6ra;;;;;aktivE;aktivE;aktive;;;;;;;aktivô;aktive;aktiv;aktivâ;;;;;;aktiv6rE;aktivô;aktiv;aktive;aktiv;aktiv;aktiv;aktive;aktive;aktive;aktive;;;;;;aktiv
75;actualiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aktyalize;;;aktyalize;;;;;;
76;acérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asEre;;asEre;asEre;;;;;;
77;adapter;;adaptE;;;adaptEr;adapta;;adapt6rE;;;;adapt6ra;;adaptE;;;adaptE;adaptE;adapte;;;;;;adapta;;adapte;adapt;adaptâ;;;;;;adapt6rE;;adapt;;adapt;adapt;adapt;adapte;adapte;adapte;adapte;;;;;;
78;additionner;;;;;;;;;;;;;;adisjOnE;;;adisjOnE;adisjOnE;adisjOne;;;;;;;;adisjOne;adisjOn;adisjOnâ;;;;;adisjOn6rE;adisjOn6rE;;adisjOn;;;adisjOn;adisjOn;adisjOne;;adisjOne;;;;;;;
79;adhérer;;;;;;;;;;;;;;;;;adErE;adErE;adEre;;;;;;;;adEre;adEr;adErâ;;;;;;;;adEr;adEre;;adEr;adEr;;;;;;;;;;
80;adjoindre;;;;;;;;;;;adZwêdrô;;;;;;;adZwaJE;adZwêdr;;;;;;adZwaJi;;;;adZwaJâ;;;;;;;;adZwê;;;;adZwê;;adZwêt;adZwê;adZwê;;adZwaJ;;;;
81;adjuger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adZyZâ;;;;;;;;adZyZ;;;;adZyZ;;;;adZyZe;;;;;;
82;adjurer;;adZyrE;;;;adZyra;;;;;;;;adZyrE;;;;adZyrE;adZyre;;;;;;;;;;adZyrâ;;;;;;;;adZyr;;;;adZyr;;;;adZyre;;;;;;
83;admettre;;admi;;;admir;admi;admEtrô;admEtrE;admEtre;admEtra;;admEtra;;admEtE;admEtje;admEtE;admEtE;admEtE;admEtr;;;;;;;admEtô;admEte;admE;admEtâ;;admEtrE;admEtrie;admEtrE;admEtrE;admEtrE;admEtô;admE;admEte;admE;admEt;admE;admiz;admiz;;;;admEt;;admEt;;admEt
84;administrer;;;;;;administra;administr6rô;administr6rE;;;;administr6ra;;administrE;;;administrE;administrE;administre;;;;;;administra;;administre;administr;administrâ;;;;;;;;administr;administre;administr;administr;administr;;administre;administre;administre;;;;;;
85;admirer;;admirE;;;admirEr;admira;;admir6rE;;;admir6rô;;admirjô;admirE;admirje;admirE;admirE;admirE;admire;;;;;;;admirô;admire;admir;admirâ;;admir6rE;;admir6rE;;admir6rE;admirô;admir;admire;admir;admir;admir;admire;admire;admire;admire;;;;;;
86;admonester;;;;;;;;;;;;;;;;;;;;;;;;;admOnEsta;;;;;;;;;;;;;;;;admOnEst;;;;admOnEste;;;;;;
87;adonner;;;;;;adOna;;;;;;;adOnjô;adOnE;;;adOnE;adOnE;adOne;;;;;;;;;;adOnâ;;;;;;;;adOn;;;adOn;adOn;adOne;;adOne;adOne;;;;;;
88;adopter;;adOptE;;;adOptEr;adOpta;;;adOpt6re;;adOpt6rô;adOpt6ra;adOptjô;adOptE;;;;adOptE;adOpte;;;;;;adOpta;adOptô;adOpte;adOpt;adOptâ;;;;;adOpt6rE;adOpt6rE;adOptô;adOpt;adOpte;;adOpt;adOpt;adOpte;adOpte;adOpte;adOpte;;;;;;
89;adorer;;adOrE;;;;adOra;;adOr6rE;adOr6re;adOr6ra;adOr6rô;adOr6ra;adOrjô;adOrE;adOrje;adOrE;adOrE;adOrE;adOre;;;;;;;adOrô;adOre;adOr;adOrâ;adOr6rjô;adOr6rE;;adOr6rE;adOr6rE;adOr6rE;adOrô;adOr;adOre;adOr;adOr;adOr;adOre;adOre;adOre;adOre;;;;;adOr;adOr
90;adosser;;adOsE;;;adOsEr;adOsa;;;;;;;;adOsE;;;adOsE;adOsE;adOse;;;;;;;;;ados;adOsâ;;;;;;;;ados;;;;ados;adOse;adOse;adOse;adOse;;;;;;
91;adouber;;;;;;aduba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adube;;;;;;
92;adoucir;;;;;;adusi;;;;;;;;;;;adusisE;adusisE;adusir;;;;;;adusi;;adusise;adusi;;;;;;;adusirE;;adusi;;adusi;adusis;adusi;adusi;adusi;adusi;adusi;;adusis;;;;
93;adresser;;adrEsE;;;adrEsEr;adrEsa;adrEs6rô;adrEs6rE;adrEs6re;;;adrEs6ra;adrEsjô;adrEsE;adrEsje;adrEsE;adrEsE;adrEsE;adrEse;;;;;;adrEsa;adrEsô;adrEse;adrEs;adrEsâ;;adrEs6rE;;adrEs6rE;adrEs6rE;adrEs6rE;adrEsô;adrEs;adrEse;adrEs;adrEs;adrEs;adrEse;adrEse;adrEse;adrEse;;adrEs;;;;adrEs
94;aduler;;;;;;;;;;;;;;;;;adylE;adylE;adyle;;;;;;;;;;;;;;;;;;;;;adyl;;;adyle;adyle;adyle;;;;;;
95;advenir;;;;;;advê;;;;;;advjêdra;;;;;;adv6nE;adv6nir;;;;;;advê;;;;;;;;;;advjêdrE;;;;;;advjê;;;;;;;;;;advjEn
96;affabuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afabyl;;afabyl;;afabyl;;;;afabyle;;;;;;
97;affadir;;;;;;afadi;;;;;;;;;;;afadisE;afadisE;;;;;;;;;;;;;;;;;;;;;;;;;afadi;;afadi;;afadis;;;;afadis
98;affaiblir;;;;;;afEbli;;;;;;afEblira;;;;;afEblisE;afEblisE;afEblir;;;;;;;;;afEbli;afEblisâ;;;;;;;;afEbli;;afEbli;afEblis;afEbli;;afEbli;afEbli;afEbli;;;;;;
99;affairer;;afErE;;;afErEr;afEra;;;;;;;;;;;afErE;afErE;afEre;;;;;;;;;afEr;afErâ;;;;;afEr6rE;;afErô;afEr;;afEr;afEr;afEr;afEre;afEre;afEre;afEre;;;;afEr;;
100;affaisser;;;;;afEsEr;afEsa;;;;;;;afEsjô;;;;afEsE;afEsE;afEse;;;;;;;;;afEs;afEsâ;;;;;afEs6rE;afEs6rE;;;;;afEs;afEs;afEse;afEse;afEse;afEse;;;;;;
101;affaler;;afalE;;;afalEr;afala;;;;;;;;;;;afalE;afalE;afale;;;;;;;;afale;afal;afalâ;;;;;;;;afal;;;afal;afal;afale;afale;afale;afale;;;;;;
102;affamer;;;;;;;;;;;;;;;;;afamE;afamE;afame;;;;;;;;;afam;afamâ;;;;;;;;afam;;;afam;afam;afame;afame;afame;afame;;;;;;
103;affecter;;afEktE;;;afEktEr;afEkta;;;;;;afEkt6ra;;afEktE;;;afEktE;afEktE;afEkte;;;;;afEktas;afEkta;afEktô;afEkte;afEkt;afEktâ;;;;;;afEkt6rE;afEktô;afEkt;afEkte;;afEkt;afEkt;afEkte;afEkte;afEkte;afEkte;;;;;;
104;affectionner;;;;;;;;;;;;;;afEksjOnE;;;afEksjOnE;afEksjOnE;afEksjOne;;;;;;;;;;afEksjOnâ;;;;;;;;afEksjOn;;;afEksjOn;afEksjOn;;afEksjOne;;afEksjOne;;;;;;
105;affermir;;;;;;afErmi;;;;;;;;;;;afErmisE;afErmisE;afErmir;;;;;;;;;;afErmisâ;;;;;;;;afErmi;;;afErmis;afErmi;;afErmi;afErmi;afErmi;;;;;;afErmis
106;afficher;;;;;afiSEr;afiSa;;afiS6rE;;;;afiS6ra;afiSjô;afiSE;;afiSE;afiSE;afiSE;afiSe;;;;;;;afiSô;afiSe;afiS;afiSâ;;;;;;afiS6rE;afiSô;afiS;afiSe;afiS;afiS;afiS;afiSe;afiSe;afiSe;afiSe;;;;afiS;;
107;affiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;afil;;;;;;;;;;
