;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
895;crépiter;;;;;;;;;;;;;;;;;krèpitè;krèpitè;krèpite;;;;;;;;;krèpit;;;;;;;;;;;;;krèpit;;;;;;;;;;
896;crêper;;;;;;;;;;;;;;;;;;krèpè;;;;;;;;;;;;;;;;;;;;;;;;;;krèpe;;;;;;;
897;cueillir;;;;;;k6ji;;;;;;;;k6jè;;;k6jè;k6jè;k6jir;;;;;;;;;k9j;;;;;;;;k6jô;k9j;;;k9j;k9j;k6ji;k6ji;k6ji;k6ji;;;;;;
898;cuirasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kHirase;;;;;;
899;cuire;;;;;;;;kHirè;;;;;;;;;kHizè;kHizè;kHir;;;;;;;;;kHi;;;;;;;kHirè;;;;kHi;;kHi;;;kHi;kHi;;kHiz;;;;
900;cuisiner;;;;;;;;;;;;;;;;;kHizinè;;kHizine;;;;;;;;kHizine;kHizin;;;;;;;;;kHizin;;kHizin;;kHizin;;;;kHizine;;;;;;kHizin
901;cuiter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kHite;;;;;;
902;cuivrer;;;;;;kHivra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kHivre;;;;;;;
903;culbuter;;;;;;;;;;;;;;;;;kylbytè;kylbytè;kylbyte;;;;;;;;;;;;;;;;;;kylbyt;;;;;;;;;;;;;;
904;culminer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kylmin;;;;;;;;;;
905;culotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kylòte;;kylòte;kylòte;;;;;;
