;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abEsE;abEsat;abEsa;abEsEr;abEsa;abEs6rô;abEs6rE;abEs6re;abEs6ra;;abEs6ra;abEsjô;abEsE;abEsje;abEsE;abEsE;abEsE;abEse;abEsasjô;;abEsasje;;abEsas;;abEsô;abEse;abEs;abEsâ;;abEs6rE;abEs6rje;abEs6rE;abEs6rE;abEs6rE;abEsô;abEs;abEse;abEs;abEs;abEs;abEse;abEse;abEse;abEse;abEsjô;abEs;abEsje;abEs;;abEs
1;abandonner;abâdOnam;abâdOnE;abâdOnat;abâdOna;abâdOnEr;abâdOna;abâdOn6rô;abâdOn6rE;abâdOn6re;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;abâdOnje;abâdOnE;abâdOnE;abâdOnE;abâdOne;abâdOnasjô;abâdOnas;abâdOnasje;abâdOnas;abâdOnas;abâdOna;abâdOnô;abâdOne;abâdOn;abâdOnâ;abâdOn6rjô;abâdOn6rE;abâdOn6rje;abâdOn6rE;abâdOn6rE;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;abâdOnjô;abâdOn;abâdOnje;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;abazurdisE;;;abazurdir;;abazurdis;;;;;;;;;;;;;;;;abazurdi;;;;;;abazurdi;abazurdi;abazurdi;abazurdisjô;;abazurdisje;;abazurdis;
3;abattre;abatim;abati;abatit;abati;abatir;abati;abatrô;abatrE;abatre;abatra;abatrô;abatra;abatjô;abatE;abatje;abatE;abatE;abatE;abatr;abatisjô;abatis;abatisje;abatis;abatis;abati;abatô;abate;aba;abatâ;abatriô;abatrE;abatrie;abatrE;abatrE;abatrE;abatô;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;abatjô;abat;abatje;abat;abat;abat
4;abdiquer;;abdikE;;;;abdika;;;;;;abdik6ra;;abdikE;;;abdikE;abdikE;abdike;;;;;;;abdikô;abdike;abdik;abdikâ;;abdik6rE;;;;abdik6rE;;abdik;abdike;;;abdik;abdike;abdike;;abdike;;;;;;
5;aberrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abErâ;;;;;;;;;;;;;;;;;;;;;;
6;abhorrer;;abOrE;;;;;;;;;;;;abOrE;;;;abOrE;abOre;;;;;;;;;;abOrâ;;abOr6rE;;;;;abOrô;abOr;abOre;;;abOr;;abOre;abOre;abOre;;;;;;
7;abjurer;;abZyrE;;;;;;;;;;;;;;;;;abZyre;abZyrasjô;;;;abZyras;;;abZyre;abZyr;abZyrâ;;abZyr6rE;;;abZyr6rE;;abZyrô;abZyr;abZyre;;;abZyr;;;;abZyre;;;abZyrje;;abZyr;abZyr
8;abolir;;;;abOli;;abOli;;abOlirE;abOlire;abOlira;;abOlira;abOlisjô;abOlisE;abOlisje;;abOlisE;abOlisE;abOlir;abOlisjô;;abOlisje;abOlis;abOlis;;abOlisô;abOlise;;abOlisâ;abOlirjô;abOlirE;abOlirje;;abOlirE;abOlirE;abOlisô;abOli;;abOli;abOlis;abOli;abOli;abOli;abOli;abOli;;abOlis;abOlisje;;;abOlis
9;abonder;;abôdE;;;;abôda;;;;abôd6ra;abôd6rô;;;abôdE;;abôdE;abôdE;abôdE;abôde;abôdasjô;abôdas;;;abôdas;;;abôde;;abôdâ;;abôd6rE;;abôd6rE;abôd6rE;;;abôd;;abôd;abôd;abôd;;;;;;;;;;
