;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
40;acclimater;;aklimatE;;;;aklimata;;;;;;;;;;;;;aklimate;;;;;;;;aklimate;;;;;;;;aklimat6rE;;aklimat;aklimate;aklimat;aklimat;aklimat;;;aklimate;aklimate;;;;;;
41;accointer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akwête;akwête;;;;;;
42;accoler;;;;;;akOla;;;;;;;;;;;;akOlE;akOle;;;;;;;akOlô;;;akOlâ;;akOl6rE;;;;;;;;;akOl;akOl;akOle;akOle;akOle;akOle;;;;;;
43;accommoder;;akOmOdE;;;akOmOdEr;akOmOda;;akOmOd6rE;akOmOd6re;;akOmOd6rô;akOmOd6ra;akOmOdjô;akOmOdE;;;akOmOdE;akOmOdE;akOmOde;;;;akOmOdas;;akOmOda;;;akOmOd;akOmOdâ;akOmOd6rjô;akOmOd6rE;;;akOmOd6rE;akOmOd6rE;akOmOdô;akOmOd;;;akOmOd;akOmOd;;akOmOde;akOmOde;akOmOde;;;;;;
44;accompagner;akôpaJam;akôpaJE;;;akôpaJEr;akôpaJa;akôpaJ6rô;akôpaJ6rE;akôpaJ6re;akôpaJ6ra;akôpaJ6rô;akôpaJ6ra;akôpaJô;akôpaJE;akôpaJe;akôpaJE;akôpaJE;akôpaJE;akôpaJe;akôpaJasjô;;;;;akôpaJa;akôpaJô;akôpaJe;akôpaJ;akôpaJâ;;akôpaJ6rE;akôpaJ6rje;akôpaJ6rE;akôpaJ6rE;akôpaJ6rE;akôpaJô;akôpaJ;akôpaJe;akôpaJ;akôpaJ;akôpaJ;akôpaJe;akôpaJe;akôpaJe;akôpaJe;;akôpaJ;akôpaJe;akôpaJ;;
45;accomplir;;;;;akôplir;akôpli;akôplirô;akôplirE;akôplire;akôplira;akôplirô;akôplira;akôplisjô;akôplisE;akôplisje;;akôplisE;akôplisE;akôplir;;;;;akôplis;akôpli;akôplisô;akôplise;akôpli;akôplisâ;;akôplirE;;;akôplirE;akôplirE;akôplisô;akôpli;akôplise;akôpli;akôplis;akôpli;akôpli;akôpli;akôpli;akôpli;;akôplis;;;;akôplis
46;accorder;;akOrdE;;akOrda;akOrdEr;akOrda;akOrd6rô;akOrd6rE;akOrd6re;akOrd6ra;akOrd6rô;akOrd6ra;akOrdjô;akOrdE;akOrdje;akOrdE;akOrdE;akOrdE;akOrde;;;;;akOrdas;akOrda;akOrdô;akOrde;akOrd;akOrdâ;;akOrd6rE;akOrd6rje;akOrd6rE;akOrd6rE;akOrd6rE;akOrdô;akOrd;akOrde;akOrd;akOrd;akOrd;akOrde;akOrde;akOrde;akOrde;;akOrd;akOrdje;;;akOrd
47;accoster;;;;;;akOsta;akOst6rô;;akOst6re;;;;;akOstE;akOstje;;akOstE;akOstE;akOste;;;;;;;akOstô;akOste;akOst;akOstâ;;;;;;;;akOst;akOste;;akOst;akOst;akOste;akOste;;akOste;;;;;;
48;accoter;;;;;akOtEr;akOta;;;;;;;;;;;akOtE;akOtE;akOte;;;;;;;;;;akOtâ;;;;;;;akOtô;;;;akOt;akOt;akOte;akOte;akOte;akOte;;;;;;
49;accoucher;;;;;;akuSa;;;;akuS6ra;;akuS6ra;;akuSE;;;akuSE;akuSE;akuSe;;;;;;;;akuSe;akuS;akuSâ;;;;;;akuS6rE;;akuS;akuSe;akuS;akuS;akuS;;akuSe;akuSe;akuSe;;;;;;
50;accouder;;akudE;;;akudEr;akuda;;;;;;;akudjô;akudE;;;akudE;akudE;akude;;;;;;;;;;akudâ;;;;;;;akudô;;;;;akud;akude;akude;akude;akude;;akud;;;;
51;accoupler;;;;;akuplEr;akupla;;;;;akupl6rô;akupl6ra;;akuplE;;;akuplE;akuplE;akuple;;;;;;;;;;akuplâ;;;;;;akupl6rE;;akupl;;;akupl;akupl;akuple;akuple;akuple;akuple;;;;;;
52;accourcir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akursisâ;;;;;;;;;;;;;;;;;;;;;;
53;accourir;;akury;;;akuryr;akury;;akurrE;;;akurrô;akurra;;akurE;akurje;akurE;akurE;akurE;akurir;;;;;akurys;akury;;akure;akur;akurâ;;akurrE;;;akurrE;akurrE;akurô;akur;akure;akur;akur;akur;akury;akury;akury;akury;;akur;;akur;;akur
54;accoutrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;akutr;;akutre;akutre;akutre;;;;;;
55;accoutumer;;akutymE;;;;akutyma;;;;;;;;akutymE;;;akutymE;akutymE;akutyme;;;;;;;;;;akutymâ;;;;;;akutym6rE;;akutym;;;akutym;akutym;akutyme;akutyme;akutyme;akutyme;;;;;;
56;accrocher;;akrOSE;;;akrOSEr;akrOSa;;akrOS6rE;akrOS6re;;akrOS6rô;akrOS6ra;akrOSjô;akrOSE;akrOSje;akrOSE;akrOSE;akrOSE;akrOSe;;akrOSas;;;;akrOSa;akrOSô;akrOSe;akrOS;akrOSâ;;akrOS6rE;akrOS6rje;;akrOS6rE;akrOS6rE;akrOSô;akrOS;akrOSe;akrOS;akrOS;akrOS;akrOSe;akrOSe;akrOSe;akrOSe;;;;akrOS;;
57;accroire;;;;;;;;;;;;;;;;;;;akrwar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;accroupir;;;;;akrupir;akrupi;;;;;;;;akrupisE;;;akrupisE;akrupisE;akrupir;;;;;;;;;akrupi;akrupisâ;;;;;;;akrupisô;akrupi;;akrupi;akrupis;akrupi;akrupi;akrupi;akrupi;akrupi;;akrupis;;;;akrupis
59;accroître;;;;;akryr;akry;;;;;akrwatrô;akrwatra;;;;;akrwasE;akrwasE;akrwatr;;;;;;akry;;akrwase;;akrwasâ;;;;;;akrwatrE;;akrwa;akrwase;;akrwas;akrwa;akry;akry;akry;akry;;;;;;akrwas
60;accréditer;;;;;;akrEdita;;;;;;;;;;;akrEditE;akrEditE;akrEdite;;;;;;;;;;akrEditâ;;;;;;;;;;;;;;akrEdite;akrEdite;akrEdite;;;;;;
61;accueillir;;ak6ji;;;ak6jir;ak6ji;ak6j6rô;ak6j6rE;ak6j6re;ak6j6ra;ak6j6rô;ak6j6ra;;ak6jE;;ak6jE;ak6jE;ak6jE;ak6jir;;;;;;ak6ji;ak6jô;ak6je;ak9j;ak6jâ;;;ak6j6rje;;ak6j6rE;ak6j6rE;ak6jô;ak9j;ak6je;ak9j;ak9j;ak9j;ak6ji;ak6ji;ak6ji;ak6ji;;;;;;
62;acculer;;;;;akylEr;akyla;;;;;;akyl6ra;;akylE;;;akylE;akylE;akyle;;;;;;akyla;;akyle;;akylâ;;;;;akyl6rE;;;akyl;akyle;;akyl;akyl;akyle;akyle;akyle;akyle;;;;;;
63;accumuler;;akymylE;;;akymylEr;akymyla;;;akymyl6re;;;;;akymylE;;;akymylE;akymylE;akymyle;;;;;;akymyla;;akymyle;akymyl;akymylâ;;;;;;;;akymyl;akymyle;;akymyl;akymyl;akymyle;akymyle;akymyle;akymyle;;;;;;
64;accuser;;akyzE;;;akyzEr;akyza;akyz6rô;;akyz6re;;akyz6rô;akyz6ra;akyzjô;akyzE;akyzje;akyzE;akyzE;akyzE;akyze;;;;;;akyza;akyzô;akyze;akyz;akyzâ;akyz6rjô;akyz6rE;akyz6rje;akyz6rE;akyz6rE;akyz6rE;akyzô;akyz;akyze;akyz;akyz;akyz;akyze;akyze;akyze;akyze;;;;akyz;;akyz
65;accéder;aksEdam;aksEdE;;;;aksEda;;aksEd6rE;;aksEd6ra;;aksEd6ra;;aksEdE;;;aksEdE;aksEdE;aksEde;;;;;;;;aksEde;aksEd;aksEdâ;;aksEd6rE;;;aksEd6rE;aksEd6rE;aksEdô;aksEd;aksEde;aksEd;aksEd;aksEd;;;;;;;;;;aksEd
66;accélérer;;aksElErE;;;aksElErEr;aksElEra;;;;aksElEr6ra;;aksElEr6ra;;aksElErE;aksElErje;;aksElErE;aksElErE;aksElEre;;;;;;;aksElErô;aksElEre;aksElEr;aksElErâ;;;;;;aksElEr6rE;aksElErô;aksElEr;aksElEre;aksElEr;aksElEr;aksElEr;aksElEre;aksElEre;aksElEre;aksElEre;;;;aksElEr;;
67;achalander;;;;;;;;;;;;;;;;;aSalâdE;;;;;;;;;;;;;;;;;;;;;;;;;;;aSalâde;;;;;;;
68;acharner;;aSarnE;;;aSarnEr;aSarna;;aSarn6rE;;;;aSarn6ra;;aSarnE;;;aSarnE;aSarnE;aSarne;;;;;;;;aSarne;aSarn;aSarnâ;;;;;;aSarn6rE;;aSarn;aSarne;aSarn;aSarn;aSarn;aSarne;aSarne;aSarne;aSarne;;;aSarnje;;;
69;acheminer;aS6minam;aS6minE;;;aS6minEr;aS6mina;;;;;aS6min6rô;;;;;;aS6minE;aS6minE;aS6mine;;;;;;;;;aS6min;aS6minâ;;;;;;;aS6minô;aS6min;;;aS6min;aS6min;aS6mine;aS6mine;aS6mine;aS6mine;;;;;;
70;acheter;aS6tam;aS6tE;;aS6ta;aS6tEr;aS6ta;aSEt6rô;aSEt6rE;aSEt6re;aSEt6ra;aSEt6rô;aSEt6ra;aS6tjô;aS6tE;aS6tje;aS6tE;aS6tE;aS6tE;aS6te;;;;;aS6tas;aS6ta;aS6tô;aS6te;aSEt;aS6tâ;aSEt6rjô;aSEt6rE;aSEt6rje;aSEt6rE;aSEt6rE;aSEt6rE;aS6tô;aSEt;aS6te;aSEt;aSEt;aSEt;aS6te;aS6te;aS6te;aS6te;;;;aSEt;;
71;achever;aS6vam;aS6vE;;aS6va;aS6vEr;aS6va;aSEv6rô;aSEv6rE;aSEv6re;;aSEv6rô;aSEv6ra;aS6vjô;aS6vE;aS6vje;;aS6vE;aS6vE;aS6ve;;;;;;aS6va;aS6vô;aS6ve;aSEv;aS6vâ;;;;;aSEv6rE;aSEv6rE;aS6vô;aSEv;aS6ve;aSEv;aSEv;aSEv;aS6ve;aS6ve;aS6ve;aS6ve;;;;;;
72;achopper;;aSOpE;;;;aSOpa;;;;;;;;aSOpE;;;aSOpE;aSOpE;aSOpe;;;;;;;;;;;;;;;;;;aSOp;;;;aSOp;;aSOpe;;aSOpe;;;;;;
73;aciduler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asidyle;asidyle;asidyle;asidyle;;;;;;
74;acoquiner;;;;;;akOkina;;;;;;;;;;;;;akOkine;;;;;;;;;;;;;;;;;;akOkin;;;;akOkin;;akOkine;akOkine;akOkine;;;;;;
75;acquiescer;;akjEsE;;;akjEsEr;akjEsa;;;;;akjEs6rô;;;akjEsE;;;akjEsE;akjEsE;akjEse;;;;;;;;;akjEs;akjEsâ;;;;;;;akjEsô;akjEs;;akjEs;akjEs;akjEs;;;;;;;;;;
76;acquitter;;akitE;;;;akita;;akit6rE;akit6re;;;akit6ra;akitjô;akitE;;;akitE;akitE;akite;;;;;;akita;;akite;akit;akitâ;;akit6rE;;;;akit6rE;;akit;akite;akit;akit;akit;;akite;akite;akite;;akit;;;;
77;acquérir;;aki;;;akir;aki;;akErrE;;;akErrô;akErra;akErjô;akErE;;;akErE;akErE;akErir;;;;;;;;;akjEr;akErâ;;;;;akErrE;;akErô;akjEr;;akjEr;akjEr;akjEr;akiz;akiz;;;;akjEr;;;;akjEr
78;actionner;;aksjOnE;;;;aksjOna;;aksjOn6rE;;;aksjOn6rô;;;aksjOnE;;;aksjOnE;aksjOnE;aksjOne;;;;;;aksjOna;;aksjOne;aksjOn;aksjOnâ;;;;;;;;aksjOn;aksjOne;;aksjOn;aksjOn;aksjOne;aksjOne;aksjOne;aksjOne;;;;;;
79;activer;aktivam;aktivE;;;aktivEr;aktiva;;aktiv6rE;;aktiv6ra;;aktiv6ra;;;;;aktivE;aktivE;aktive;;;;;;;aktivô;aktive;aktiv;aktivâ;;;;;;aktiv6rE;aktivô;aktiv;aktive;aktiv;aktiv;aktiv;aktive;aktive;aktive;aktive;;;;;;aktiv
80;actualiser;;;;;;;;;;;;;;;;;;;aktyalize;;;;;;;;aktyalize;;;;;;;;;;;;;;aktyaliz;aktyalize;aktyalize;;aktyalize;;;;;;
81;acérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asEre;;asEre;asEre;;;;;;
82;adapter;;adaptE;;;adaptEr;adapta;adapt6rô;adapt6rE;adapt6re;adapt6ra;adapt6rô;adapt6ra;;adaptE;;adaptE;adaptE;adaptE;adapte;;;;;;adapta;;adapte;adapt;adaptâ;;adapt6rE;;;;adapt6rE;;adapt;adapte;adapt;adapt;adapt;adapte;adapte;adapte;adapte;;;;adapt;;
83;additionner;;;;;;;;;;;;;;adisjOnE;;;adisjOnE;adisjOnE;adisjOne;;;;;;;;adisjOne;adisjOn;adisjOnâ;;;;;adisjOn6rE;adisjOn6rE;;adisjOn;adisjOne;;adisjOn;adisjOn;adisjOne;adisjOne;adisjOne;adisjOne;;;;;;
84;adhérer;;;;;;adEra;;;;;;;;adErE;;;adErE;adErE;adEre;;;;;;;;adEre;adEr;adErâ;;;;;;;;adEr;adEre;;adEr;adEr;;;;;;;;;;
85;adjoindre;;;;;;adZwaJi;;;;;adZwêdrô;adZwêdra;;;;;;adZwaJE;adZwêdr;;;;;;adZwaJi;;;;adZwaJâ;;;;;;;;adZwê;;;;adZwê;;adZwêt;adZwê;adZwê;;adZwaJ;;;;
86;adjuger;;;;;;;;;;;;;;;;;;adZyZE;adZyZe;;;;;;;;adZyZe;adZyZ;adZyZâ;;;;;;;;adZyZ;;;;adZyZ;;adZyZe;adZyZe;adZyZe;;;;;;
87;adjurer;;adZyrE;;;;adZyra;;adZyr6rE;;;;;;adZyrE;;;adZyrE;adZyrE;adZyre;;;;;;;;;;adZyrâ;;;;;;adZyr6rE;;adZyr;;;;adZyr;;;;adZyre;;;;;;
88;admettre;;admi;;;admir;admi;admEtrô;admEtrE;admEtre;admEtra;admEtrô;admEtra;admEtjô;admEtE;admEtje;admEtE;admEtE;admEtE;admEtr;;;;;;admi;admEtô;admEte;admE;admEtâ;;admEtrE;admEtrie;admEtrE;admEtrE;admEtrE;admEtô;admE;admEte;admE;admEt;admE;admiz;admiz;;;;admEt;;admEt;;admEt
89;administrer;;administrE;;;;administra;administr6rô;administr6rE;;;;administr6ra;;administrE;;;administrE;administrE;administre;;;;;;administra;;administre;administr;administrâ;;;;;;;;administr;administre;administr;administr;administr;administre;administre;administre;administre;;;;;;
90;admirer;admiram;admirE;;;admirEr;admira;;admir6rE;admir6re;;admir6rô;admir6ra;admirjô;admirE;admirje;admirE;admirE;admirE;admire;;;;;;;admirô;admire;admir;admirâ;;admir6rE;;admir6rE;admir6rE;admir6rE;admirô;admir;admire;admir;admir;admir;admire;admire;admire;admire;admirjô;;admirje;;;
91;admonester;;;;;;admOnEsta;;;;;;;;;;;;admOnEstE;admOnEste;;;;;;admOnEsta;;;;;;;;;;;;;;;;admOnEst;;;admOnEste;admOnEste;;;;;;
92;adoniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;adOnizâ;;;;;;;;;;;;;;;;;;;;;;
93;adonner;;adOnE;;;;adOna;;;;;;;adOnjô;adOnE;;;adOnE;adOnE;adOne;;;;;;;;;;adOnâ;;;;;;adOn6rE;;adOn;adOne;;adOn;adOn;adOne;adOne;adOne;adOne;;;;;;
94;adopter;;adOptE;;;adOptEr;adOpta;adOpt6rô;adOpt6rE;adOpt6re;;adOpt6rô;adOpt6ra;adOptjô;adOptE;;;adOptE;adOptE;adOpte;;;;;;adOpta;adOptô;adOpte;adOpt;adOptâ;;;;;adOpt6rE;adOpt6rE;adOptô;adOpt;adOpte;;adOpt;adOpt;adOpte;adOpte;adOpte;adOpte;;;;;;
