;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
0;abaisser;;abEsE;;;;abEsa;;abEs6rE;;;;abEs6ra;;;;;abEsE;abEsE;abEse;;;;;;;;abEse;abEs;abEsâ;;;;;;;;abEs;abEse;;abEs;abEs;;abEse;abEse;abEse;;;;;;
1;abandonner;abâdOnam;abâdOnE;;abâdOna;abâdOnEr;abâdOna;abâdOn6rô;abâdOn6rE;;abâdOn6ra;abâdOn6rô;abâdOn6ra;abâdOnjô;abâdOnE;;abâdOnE;abâdOnE;abâdOnE;abâdOne;;;;;;abâdOna;abâdOnô;abâdOne;abâdOn;abâdOnâ;;abâdOn6rE;abâdOn6rje;abâdOn6rE;;abâdOn6rE;abâdOnô;abâdOn;abâdOne;abâdOn;abâdOn;abâdOn;abâdOne;abâdOne;abâdOne;abâdOne;;;;abâdOn;abâdOn;abâdOn
2;abasourdir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abazurdi;;abazurdi;;;;;;
3;abattre;;;;;abatir;abati;;abatrE;;;abatrô;abatra;;abatE;;;abatE;abatE;abatr;;;;;;;abatô;abate;aba;abatâ;;;;;abatrE;abatrE;;aba;abate;aba;abat;aba;abaty;abaty;abaty;abaty;;abat;;;;abat
4;abdiquer;;;;;;abdika;;;;;;;;abdikE;;;;abdikE;;;;;;;;;;abdik;;;;;;;;;abdik;;;;abdik;;;;abdike;;;;;;
5;abhorrer;;;;;;;;;;;;;;;;;;abOrE;abOre;;;;;;;;;;;;;;;;;;;abOre;;;abOr;;;;;;;;;;
6;abjurer;;;;;;;;;;;;;;;;;;;abZyre;;;;;;;;abZyre;abZyr;;;;;;;;;abZyr;abZyre;;;abZyr;;;;abZyre;;;;;;
7;abolir;;;;;;abOli;;;;;;;;abOlisE;;;abOlisE;;abOlir;;;;;;;;;;abOlisâ;;;;;;;;abOli;;;;abOli;abOli;abOli;abOli;abOli;;;;;;
8;abonder;;;;;;;;;;;;;;;;;abôdE;abôdE;abôde;;;;;;;;;;abôdâ;;;;;;;;abôd;;;abôd;;;;;;;;;;;
9;abonner;;abOnE;;;;;;;;;;;;;;;;;abOne;;;;;;;;abOne;abOn;;;;;;;;;;;;;;;abOne;;abOne;;;;;;
