;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
32;absorber;absOrbam;absOrbE;absOrbat;absOrba;absOrbEr;absOrba;absOrb6rô;absOrb6rE;absOrb6re;absOrb6ra;absOrb6rô;absOrb6ra;absOrbjô;absOrbE;absOrbje;absOrbE;absOrbE;absOrbE;absOrbe;absOrbasjô;absOrbas;absOrbasje;absOrbas;absOrbas;absOrba;absOrbô;absOrbe;absOrb;absOrbâ;absOrb6rjô;absOrb6rE;absOrb6rje;absOrb6rE;absOrb6rE;absOrb6rE;absOrbô;absOrb;absOrbe;absOrb;absOrb;absOrb;absOrbe;absOrbe;absOrbe;absOrbe;absOrbjô;absOrb;absOrbje;absOrb;absOrb;absOrb
33;absoudre;;;;;;;absudrô;absudrE;absudre;absudra;absudrô;absudra;absOlvjô;absOlvE;absOlvje;absOlvE;absOlvE;absOlvE;absudr;;;;;;;absOlvô;absOlve;absu;absOlvâ;absudriô;absudrE;absudrie;absudrE;absudrE;absudrE;absOlvô;absu;absOlve;absu;absOlv;absu;absut;absut;absu;absu;absOlvjô;absOlv;absOlvje;absOlv;absOlv;absOlv
34;abstenir;abstêm;abstê;abstêt;abstê;abstêr;abstê;abstjêdrô;abstjêdrE;abstjêdre;abstjêdra;abstjêdrô;abstjêdra;abst6njô;abst6nE;abst6nje;abst6nE;abst6nE;abst6nE;abst6nir;abstêsjô;abstês;abstêsje;abstês;abstês;abstê;abst6nô;abst6ne;abstjê;abst6nâ;abstjêdriô;abstjêdrE;abstjêdrie;abstjêdrE;abstjêdrE;abstjêdrE;abst6nô;abstjê;abst6ne;abstjê;abstjEn;abstjê;abst6ny;abst6ny;abst6ny;abst6ny;abst6njô;abstjEn;abst6nje;abstjEn;abstjEn;abstjEn
35;absterger;abstErZam;abstErZE;abstErZat;abstErZa;abstErZEr;abstErZa;abstErZ6rô;abstErZ6rE;abstErZ6re;abstErZ6ra;abstErZ6rô;abstErZ6ra;abstErZjô;abstErZE;abstErZje;abstErZE;abstErZE;abstErZE;abstErZe;abstErZasjô;abstErZas;abstErZasje;abstErZas;abstErZas;abstErZa;abstErZô;abstErZe;abstErZ;abstErZâ;abstErZ6rjô;abstErZ6rE;abstErZ6rje;abstErZ6rE;abstErZ6rE;abstErZ6rE;abstErZô;abstErZ;abstErZe;abstErZ;abstErZ;abstErZ;abstErZe;abstErZe;abstErZe;abstErZe;abstErZjô;abstErZ;abstErZje;abstErZ;abstErZ;abstErZ
36;abstraire;;;;;;;abstrErô;abstrErE;abstrEre;abstrEra;abstrErô;abstrEra;abstrEjô;abstrEjE;abstrEje;abstrEjE;abstrEjE;abstrEjE;abstrEr;;;;;;;abstrEjô;abstrEje;abstrE;abstrEjâ;abstrErjô;abstrErE;abstrErje;abstrErE;abstrErE;abstrErE;abstrEjô;abstrE;abstrEje;abstrE;abstrE;abstrE;abstrEt;abstrEt;abstrE;abstrE;abstrEjô;abstrE;abstrEje;abstrE;abstrE;abstrE
37;abuser;abyzam;abyzE;abyzat;abyza;abyzEr;abyza;abyz6rô;abyz6rE;abyz6re;abyz6ra;abyz6rô;abyz6ra;abyzjô;abyzE;abyzje;abyzE;abyzE;abyzE;abyze;abyzasjô;abyzas;abyzasje;abyzas;abyzas;abyza;abyzô;abyze;abyz;abyzâ;abyz6rjô;abyz6rE;abyz6rje;abyz6rE;abyz6rE;abyz6rE;abyzô;abyz;abyze;abyz;abyz;abyz;abyze;abyze;abyze;abyze;abyzjô;abyz;abyzje;abyz;abyz;abyz
38;abâtardir;abatardim;abatardi;abatardit;abatardi;abatardir;abatardi;abatardirô;abatardirE;abatardire;abatardira;abatardirô;abatardira;abatardisjô;abatardisE;abatardisje;abatardisE;abatardisE;abatardisE;abatardir;abatardisjô;abatardis;abatardisje;abatardis;abatardis;abatardi;abatardisô;abatardise;abatardi;abatardisâ;abatardirjô;abatardirE;abatardirje;abatardirE;abatardirE;abatardirE;abatardisô;abatardi;abatardise;abatardi;abatardis;abatardi;abatardi;abatardi;abatardi;abatardi;abatardisjô;abatardis;abatardisje;abatardis;abatardis;abatardis
39;abécher;abESam;abESE;abESat;abESa;abESEr;abESa;abES6rô;abES6rE;abES6re;abES6ra;abES6rô;abES6ra;abESjô;abESE;abESje;abESE;abESE;abESE;abESe;abESasjô;abESas;abESasje;abESas;abESas;abESa;abESô;abESe;abES;abESâ;abES6rjô;abES6rE;abES6rje;abES6rE;abES6rE;abES6rE;abESô;abES;abESe;abES;abES;abES;abESe;abESe;abESe;abESe;abESjô;abES;abESje;abES;abES;abES
40;abêtir;abEtim;abEti;abEtit;abEti;abEtir;abEti;abEtirô;abEtirE;abEtire;abEtira;abEtirô;abEtira;abEtisjô;abEtisE;abEtisje;abEtisE;abEtisE;abEtisE;abEtir;abEtisjô;abEtis;abEtisje;abEtis;abEtis;abEti;abEtisô;abEtise;abEti;abEtisâ;abEtirjô;abEtirE;abEtirje;abEtirE;abEtirE;abEtirE;abEtisô;abEti;abEtise;abEti;abEtis;abEti;abEti;abEti;abEti;abEti;abEtisjô;abEtis;abEtisje;abEtis;abEtis;abEtis
41;abîmer;abimam;abimE;abimat;abima;abimEr;abima;abim6rô;abim6rE;abim6re;abim6ra;abim6rô;abim6ra;abimjô;abimE;abimje;abimE;abimE;abimE;abime;abimasjô;abimas;abimasje;abimas;abimas;abima;abimô;abime;abim;abimâ;abim6rjô;abim6rE;abim6rje;abim6rE;abim6rE;abim6rE;abimô;abim;abime;abim;abim;abim;abime;abime;abime;abime;abimjô;abim;abimje;abim;abim;abim
42;acagnarder;akaJardam;akaJardE;akaJardat;akaJarda;akaJardEr;akaJarda;akaJard6rô;akaJard6rE;akaJard6re;akaJard6ra;akaJard6rô;akaJard6ra;akaJardjô;akaJardE;akaJardje;akaJardE;akaJardE;akaJardE;akaJarde;akaJardasjô;akaJardas;akaJardasje;akaJardas;akaJardas;akaJarda;akaJardô;akaJarde;akaJard;akaJardâ;akaJard6rjô;akaJard6rE;akaJard6rje;akaJard6rE;akaJard6rE;akaJard6rE;akaJardô;akaJard;akaJarde;akaJard;akaJard;akaJard;akaJarde;akaJarde;akaJarde;akaJarde;akaJardjô;akaJard;akaJardje;akaJard;akaJard;akaJard
43;accabler;akablam;akablE;akablat;akabla;akablEr;akabla;akabl6rô;akabl6rE;akabl6re;akabl6ra;akabl6rô;akabl6ra;akabljô;akablE;akablje;akablE;akablE;akablE;akable;akablasjô;akablas;akablasje;akablas;akablas;akabla;akablô;akable;akabl;akablâ;akabl6rjô;akabl6rE;akabl6rje;akabl6rE;akabl6rE;akabl6rE;akablô;akabl;akable;akabl;akabl;akabl;akable;akable;akable;akable;akabljô;akabl;akablje;akabl;akabl;akabl
44;accaparer;akaparam;akaparE;akaparat;akapara;akaparEr;akapara;akapar6rô;akapar6rE;akapar6re;akapar6ra;akapar6rô;akapar6ra;akaparjô;akaparE;akaparje;akaparE;akaparE;akaparE;akapare;akaparasjô;akaparas;akaparasje;akaparas;akaparas;akapara;akaparô;akapare;akapar;akaparâ;akapar6rjô;akapar6rE;akapar6rje;akapar6rE;akapar6rE;akapar6rE;akaparô;akapar;akapare;akapar;akapar;akapar;akapare;akapare;akapare;akapare;akaparjô;akapar;akaparje;akapar;akapar;akapar
45;accastiller;akastijam;akastijE;akastijat;akastija;akastijEr;akastija;akastij6rô;akastij6rE;akastij6re;akastij6ra;akastij6rô;akastij6ra;akastijô;akastijE;akastije;akastijE;akastijE;akastijE;akastije;akastijasjô;akastijas;akastijasje;akastijas;akastijas;akastija;akastijô;akastije;akastij;akastijâ;akastij6rjô;akastij6rE;akastij6rje;akastij6rE;akastij6rE;akastij6rE;akastijô;akastij;akastije;akastij;akastij;akastij;akastije;akastije;akastije;akastije;akastijô;akastij;akastije;akastij;akastij;akastij
